Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2021-08-14,19:30,La Liga,Matchweek 1,Sat,Away,D,1,1,Cádiz,0.9,0.6,57,6941,José Luis Morales,4-4-2,4-2-3-1,Santiago Jaime,Match Report,
2021-08-22,22:00,La Liga,Matchweek 2,Sun,Home,D,3,3,Real Madrid,1.9,1.6,39,9838,José Luis Morales,4-3-3,4-3-3,Guillermo Cuadra,Match Report,
2021-08-28,19:30,La Liga,Matchweek 3,Sat,Away,L,0,1,Real Sociedad,0.4,1.0,49,7758,Roger Martí,4-4-2,4-1-4-1,José Luis Munuera,Match Report,
2021-09-11,18:30,La Liga,Matchweek 4,Sat,Home,D,1,1,Rayo Vallecano,1.0,2.2,45,12974,José Luis Morales,4-3-3,4-2-3-1,Alberola Rojas,Match Report,
2021-09-18,18:30,La Liga,Matchweek 5,Sat,Away,D,1,1,Elche,1.1,0.4,46,11507,José Luis Morales,3-5-2,5-3-2,Miguel Ángel Ortiz Arias,Match Report,
2021-09-21,22:00,La Liga,Matchweek 6,Tue,Home,L,0,2,Celta Vigo,1.7,0.7,46,11989,José Luis Morales,3-5-2,4-1-3-2,Jorge Figueroa,Match Report,
2021-09-26,16:15,La Liga,Matchweek 7,Sun,Away,L,0,3,Barcelona,0.8,2.9,30,35334,Sergio Postigo,4-4-2,4-2-3-1,Isidro Díaz de Mera,Match Report,
2021-10-02,16:15,La Liga,Matchweek 8,Sat,Away,L,0,1,Mallorca,1.2,0.6,48,11803,José Luis Morales,4-4-2,4-2-3-1,Alejandro Muñíz,Match Report,
2021-10-16,18:30,La Liga,Matchweek 9,Sat,Home,D,0,0,Getafe,0.9,0.6,53,14551,José Luis Morales,4-1-4-1,4-4-1-1,Mario Melero,Match Report,
2021-10-24,14:00,La Liga,Matchweek 10,Sun,Away,L,3,5,Sevilla,1.9,1.6,40,30601,José Luis Morales,4-4-2,4-2-3-1,Valentín Pizarro,Match Report,
2021-10-28,21:30,La Liga,Matchweek 11,Thu,Home,D,2,2,Atlético Madrid,1.8,0.9,36,16298,José Luis Morales,5-3-2,3-4-3,Pablo González,Match Report,
2021-11-01,21:00,La Liga,Matchweek 12,Mon,Home,L,0,3,Granada,1.1,1.0,48,14512,José Luis Morales,3-1-4-2,4-4-2,José Sánchez,Match Report,
2021-11-06,18:30,La Liga,Matchweek 13,Sat,Away,L,1,2,Alavés,0.8,1.5,40,12176,José Luis Morales,4-4-1-1,4-3-3,Adrián Cordero,Match Report,
2021-11-19,21:00,La Liga,Matchweek 14,Fri,Home,D,0,0,Athletic Club,0.5,0.5,49,15230,José Luis Morales,4-3-3,4-4-2,José Luis Munuera,Match Report,
2021-11-28,14:00,La Liga,Matchweek 15,Sun,Away,L,1,3,Betis,0.3,2.6,40,45012,José Luis Morales,4-1-4-1,4-2-3-1,Miguel Ángel Ortiz Arias,Match Report,
2021-12-02,19:00,Copa del Rey,First round,Thu,Away,W,8,0,CD Huracán Melilla,,,73,2000,Coke,4-4-2,4-2-3-1,Mario Melero,Match Report,
2021-12-05,18:30,La Liga,Matchweek 16,Sun,Home,D,0,0,Osasuna,0.5,0.3,58,15361,José Luis Morales,4-3-3,5-3-2,Valentín Pizarro,Match Report,
2021-12-11,14:00,La Liga,Matchweek 17,Sat,Away,L,3,4,Espanyol,2.9,2.3,48,15193,José Luis Morales,4-4-2,4-3-3,Adrián Cordero,Match Report,
2021-12-14,21:00,Copa del Rey,Second round,Tue,Away,D,3 (1),3 (3),Alcoyano,,,63,4850,Coke,4-4-2,4-4-2,Jorge Figueroa,Match Report,Alcoyano won on penalty kicks following extra time
2021-12-20,21:00,La Liga,Matchweek 18,Mon,Home,L,3,4,Valencia,2.7,2.1,52,18851,José Luis Morales,4-4-2,4-1-4-1,Pablo González,Match Report,
2022-01-03,19:00,La Liga,Matchweek 19,Mon,Away,L,0,5,Villarreal,0.4,3.4,43,13462,Roger Martí,4-1-4-1,4-4-2,Alejandro Hernández,Match Report,
2022-01-08,14:00,La Liga,Matchweek 20,Sat,Home,W,2,0,Mallorca,1.2,1.2,43,13330,Roger Martí,5-3-2,4-2-3-1,Jorge Figueroa,Match Report,
2022-01-22,14:00,La Liga,Matchweek 22,Sat,Home,L,0,2,Cádiz,1.0,0.7,66,14063,José Luis Morales,4-4-2,4-4-2,César Soto,Match Report,
2022-02-04,21:00,La Liga,Matchweek 23,Fri,Away,L,0,3,Getafe,0.5,0.8,59,8475,Roger Martí,3-4-3,5-3-2,Alejandro Muñíz,Match Report,
2022-02-13,16:15,La Liga,Matchweek 24,Sun,Home,L,2,4,Betis,1.7,2.2,42,16103,José Luis Morales,3-4-3,4-2-3-1,Santiago Jaime,Match Report,
2022-02-16,19:00,La Liga,Matchweek 21,Wed,Away,W,1,0,Atlético Madrid,0.6,1.3,46,43456,Roger Martí,5-3-2,4-4-2,José Luis Munuera,Match Report,
2022-02-21,21:00,La Liga,Matchweek 25,Mon,Away,D,1,1,Celta Vigo,1.7,1.2,38,9776,José Luis Morales,5-3-2,4-1-3-2,Valentín Pizarro,Match Report,
2022-02-25,21:00,La Liga,Matchweek 26,Fri,Home,W,3,0,Elche,2.1,0.6,43,14237,José Luis Morales,3-4-3,4-4-2,Pablo González,Match Report,
2022-03-07,21:00,La Liga,Matchweek 27,Mon,Away,L,1,3,Athletic Club,0.5,3.1,50,29485,José Luis Morales,3-4-3,4-4-2,Alejandro Muñíz,Match Report,
2022-03-12,14:00,La Liga,Matchweek 28,Sat,Home,D,1,1,Espanyol,1.1,0.4,56,13407,Roger Martí,3-4-3,4-3-3,Isidro Díaz de Mera,Match Report,
2022-03-19,18:30,La Liga,Matchweek 29,Sat,Away,L,1,3,Osasuna,1.0,2.3,55,19429,José Luis Morales,5-3-2,4-3-3,Alberola Rojas,Match Report,
