Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2021-08-14,22:00,La Liga,Matchweek 1,Sat,Away,W,4,1,Alavés,1.7,1.7,58,3968.0,Karim Benzema,4-3-3,4-2-3-1,César Soto,Match Report,
2021-08-22,22:00,La Liga,Matchweek 2,Sun,Away,D,3,3,Levante,1.6,1.9,61,9838.0,Karim Benzema,4-3-3,4-3-3,Guillermo Cuadra,Match Report,
2021-08-28,22:00,La Liga,Matchweek 3,Sat,Away,W,1,0,Betis,0.9,0.6,50,22590.0,Karim Benzema,4-3-3,4-2-3-1,Alejandro Hernández,Match Report,
2021-09-12,21:00,La Liga,Matchweek 4,Sun,Home,W,5,2,Celta Vigo,3.2,1.8,60,19874.0,Karim Benzema,4-4-2,4-1-3-2,José Sánchez,Match Report,
2021-09-15,21:00,Champions Lg,Group stage,Wed,Away,W,1,0,it Inter,1.2,2.4,53,37082.0,Karim Benzema,4-3-3,3-5-2,Daniel Siebert,Match Report,
2021-09-19,21:00,La Liga,Matchweek 5,Sun,Away,W,2,1,Valencia,1.3,0.9,61,26689.0,Karim Benzema,4-4-1-1,4-4-2,Pablo González,Match Report,
2021-09-22,22:00,La Liga,Matchweek 6,Wed,Home,W,6,1,Mallorca,2.6,1.4,59,20113.0,Karim Benzema,4-3-3,4-2-3-1,Alberola Rojas,Match Report,
2021-09-25,21:00,La Liga,Matchweek 7,Sat,Home,D,0,0,Villarreal,1.1,0.5,48,23985.0,Karim Benzema,4-3-3,4-3-3,Jesús Gil,Match Report,
2021-09-28,21:00,Champions Lg,Group stage,Tue,Home,L,1,2,md Sheriff Tiraspol,3.1,0.4,75,24522.0,Karim Benzema,4-3-3,4-2-3-1,Lawrence Visser,Match Report,
2021-10-03,16:15,La Liga,Matchweek 8,Sun,Away,L,1,2,Espanyol,1.6,1.2,65,23377.0,Karim Benzema,4-1-3-2,4-1-4-1,Guillermo Cuadra,Match Report,
2021-10-19,22:00,Champions Lg,Group stage,Tue,Away,W,5,0,ua Shakhtar,2.6,0.7,58,34037.0,Karim Benzema,4-3-3,4-2-3-1,Srđan Jovanović,Match Report,
2021-10-24,16:15,La Liga,Matchweek 10,Sun,Away,W,2,1,Barcelona,1.5,1.6,49,86422.0,Karim Benzema,4-3-3,4-3-3,José Sánchez,Match Report,
2021-10-27,21:30,La Liga,Matchweek 11,Wed,Home,D,0,0,Osasuna,0.7,0.5,74,35691.0,Karim Benzema,4-3-3,5-3-2,César Soto,Match Report,
2021-10-30,14:00,La Liga,Matchweek 12,Sat,Away,W,2,1,Elche,1.1,1.1,56,23010.0,Marcelo,4-3-3,4-4-1-1,Ricardo de Burgos,Match Report,
2021-11-03,18:45,Champions Lg,Group stage,Wed,Home,W,2,1,ua Shakhtar,2.0,1.3,54,38105.0,Karim Benzema,4-3-3,4-2-3-1,Benoît Bastien,Match Report,
2021-11-06,21:00,La Liga,Matchweek 13,Sat,Home,W,2,1,Rayo Vallecano,2.1,1.4,54,43283.0,Karim Benzema,4-3-3,4-2-3-1,Pablo González,Match Report,
2021-11-21,16:15,La Liga,Matchweek 14,Sun,Away,W,4,1,Granada,3.5,0.7,68,17460.0,Karim Benzema,4-3-3,4-4-2,Juan Martínez,Match Report,
2021-11-24,22:00,Champions Lg,Group stage,Wed,Away,W,3,0,md Sheriff Tiraspol,1.5,1.4,69,5932.0,Karim Benzema,4-3-3,4-2-3-1,Szymon Marciniak,Match Report,
2021-11-28,21:00,La Liga,Matchweek 15,Sun,Home,W,2,1,Sevilla,1.2,0.7,53,45281.0,Karim Benzema,4-3-3,4-3-3,José Sánchez,Match Report,
2021-12-01,21:00,La Liga,Matchweek 9,Wed,Home,W,1,0,Athletic Club,1.8,2.4,62,33627.0,Karim Benzema,4-3-3,4-4-2,Isidro Díaz de Mera,Match Report,
2021-12-04,21:00,La Liga,Matchweek 16,Sat,Away,W,2,0,Real Sociedad,1.6,0.7,49,35765.0,Karim Benzema,4-3-3,4-4-2,Jesús Gil,Match Report,
2021-12-07,21:00,Champions Lg,Group stage,Tue,Home,W,2,0,it Inter,1.2,0.9,50,44887.0,Luka Modrić,4-3-3,3-5-2,Felix Brych,Match Report,
2021-12-12,21:00,La Liga,Matchweek 17,Sun,Home,W,2,0,Atlético Madrid,0.4,0.7,61,51024.0,Karim Benzema,4-3-3,4-4-2,Antonio Matéu Lahoz,Match Report,
2021-12-19,21:00,La Liga,Matchweek 18,Sun,Home,D,0,0,Cádiz,2.0,0.2,82,38818.0,Karim Benzema,4-3-3,4-2-3-1,Santiago Jaime,Match Report,
2021-12-22,21:30,La Liga,Matchweek 21,Wed,Away,W,2,1,Athletic Club,1.1,1.0,59,42722.0,Karim Benzema,4-3-3,4-4-2,César Soto,Match Report,
2022-01-02,14:00,La Liga,Matchweek 19,Sun,Away,L,0,1,Getafe,0.7,0.9,73,11890.0,Karim Benzema,4-3-3,5-3-2,Mario Melero,Match Report,
2022-01-05,21:30,Copa del Rey,Round of 32,Wed,Away,W,3,1,Alcoyano,,,58,4850.0,Marcelo,4-3-3,4-2-3-1,Adrián Cordero,Match Report,
2022-01-08,21:00,La Liga,Matchweek 20,Sat,Home,W,4,1,Valencia,3.9,1.3,67,40617.0,Karim Benzema,4-3-3,4-4-2,Alejandro Hernández,Match Report,
2022-01-12,22:00,Supercopa de España,Semi-finals,Wed,Away,W,3,2,Barcelona,,,47,,Karim Benzema,4-3-3,4-3-3,José Luis Munuera,Match Report,Required Extra Time
2022-01-16,21:30,Supercopa de España,Final,Sun,Away,W,2,0,Athletic Club,,,57,,Karim Benzema,4-3-3,4-4-2,César Soto,Match Report,
2022-01-20,19:00,Copa del Rey,Round of 16,Thu,Away,W,2,1,Elche,,,59,23528.0,Marcelo,4-3-3,4-4-2,Jorge Figueroa,Match Report,Required Extra Time
2022-01-23,16:15,La Liga,Matchweek 22,Sun,Home,D,2,2,Elche,3.4,0.6,65,39796.0,Karim Benzema,4-3-3,4-4-2,Ricardo de Burgos,Match Report,
2022-02-03,21:30,Copa del Rey,Quarter-finals,Thu,Away,L,0,1,Athletic Club,,,58,38750.0,Nacho,4-3-3,4-4-2,Jesús Gil,Match Report,
2022-02-06,21:00,La Liga,Matchweek 23,Sun,Home,W,1,0,Granada,2.1,0.6,66,36665.0,Marcelo,4-3-3,4-4-2,Antonio Matéu Lahoz,Match Report,
2022-02-12,16:15,La Liga,Matchweek 24,Sat,Away,D,0,0,Villarreal,1.7,0.4,56,17894.0,Marcelo,4-3-3,4-4-2,José Sánchez,Match Report,
2022-02-15,21:00,Champions Lg,Round of 16,Tue,Away,L,0,1,fr Paris S-G,0.2,2.0,43,47443.0,Karim Benzema,4-3-3,4-3-3,Daniele Orsato,Match Report,Leg 1 of 2
2022-02-19,21:00,La Liga,Matchweek 25,Sat,Home,W,3,0,Alavés,2.9,0.6,69,42180.0,Karim Benzema,4-3-3,4-1-4-1,José Luis Munuera,Match Report,
2022-02-26,18:30,La Liga,Matchweek 26,Sat,Away,W,1,0,Rayo Vallecano,2.1,0.9,66,9952.0,Karim Benzema,4-3-3,4-2-3-1,Isidro Díaz de Mera,Match Report,
2022-03-05,21:00,La Liga,Matchweek 27,Sat,Home,W,4,1,Real Sociedad,2.0,0.8,64,52410.0,Karim Benzema,4-3-3,4-4-2,Jesús Gil,Match Report,
2022-03-09,21:00,Champions Lg,Round of 16,Wed,Home,W,3,1,fr Paris S-G,2.0,0.8,44,59895.0,Karim Benzema,4-3-3,4-3-3,Danny Makkelie,Match Report,Leg 2 of 2; Real Madrid won
2022-03-14,21:00,La Liga,Matchweek 28,Mon,Away,W,3,0,Mallorca,1.8,1.4,62,17191.0,Karim Benzema,4-3-3,4-4-2,José Sánchez,Match Report,
2022-03-20,21:00,La Liga,Matchweek 29,Sun,Home,L,0,4,Barcelona,0.8,3.4,40,60017.0,Nacho,4-2-4-0,4-3-3,Juan Martínez,Match Report,
2022-04-02,18:30,La Liga,Matchweek 30,Sat,Away,W,2,1,Celta Vigo,2.9,1.6,45,15714.0,Karim Benzema,4-3-3,4-1-3-2,Pablo González,Match Report,
2022-04-06,20:00,Champions Lg,Quarter-finals,Wed,Away,W,3,1,eng Chelsea,1.8,1.3,43,38689.0,Karim Benzema,4-3-3,3-4-3,Clément Turpin,Match Report,Leg 1 of 2
