Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2022-08-05,21:00,Ligue 1,Matchweek 1,Fri,Away,L,1,2,Lyon,1.5,1.3,33,48516,Vincent Marchetti,4-4-2,4-3-3,Benoît Bastien,Match Report,
2022-08-14,15:00,Ligue 1,Matchweek 2,Sun,Home,D,0,0,Lens,0.5,1.4,36,9070,Vincent Marchetti,4-4-2,3-4-1-2,Stéphanie Frappart,Match Report,
2022-08-21,17:05,Ligue 1,Matchweek 3,Sun,Away,L,1,2,Rennes,1.4,1.2,45,27592,Vincent Marchetti,4-4-2,4-4-2,Hakim Ben El Hadj Salem,Match Report,
2022-08-26,21:00,Ligue 1,Matchweek 4,Fri,Home,L,1,3,Lille,1.5,1.7,42,9070,Vincent Marchetti,4-4-2,4-2-3-1,Thomas Léonard,Match Report,
2022-08-31,19:00,Ligue 1,Matchweek 5,Wed,Away,L,0,2,Montpellier,1.2,1.7,62,10051,Vincent Marchetti,4-4-2,4-2-3-1,Bastien Dechepy,Match Report,
2022-09-04,15:00,Ligue 1,Matchweek 6,Sun,Home,L,0,1,Lorient,0.5,0.8,58,7000,Riad Nouri,4-4-2,4-3-3,Jeremy Stinat,Match Report,
2022-09-11,15:00,Ligue 1,Matchweek 7,Sun,Home,L,0,1,Nice,1.2,1.2,45,7068,Mathieu Coutadeur,4-4-2,4-4-2,Eric Wattellier,Match Report,
2022-09-18,15:00,Ligue 1,Matchweek 8,Sun,Away,W,1,0,Brest,0.5,0.6,41,11153,Mathieu Coutadeur,4-4-2,5-3-2,Stéphanie Frappart,Match Report,
2022-10-02,15:00,Ligue 1,Matchweek 9,Sun,Home,L,1,3,Clermont Foot,1.5,1.0,52,6610,Mathieu Coutadeur,4-4-2,3-4-1-2,Clément Turpin,Match Report,
2022-10-08,17:00,Ligue 1,Matchweek 10,Sat,Away,W,2,1,Marseille,0.2,1.7,36,63312,Mathieu Coutadeur,4-4-2,3-4-3,Willy Delajod,Match Report,
2022-10-16,15:00,Ligue 1,Matchweek 11,Sun,Away,D,1,1,Troyes,2.4,0.6,49,7731,Mathieu Coutadeur,4-4-2,3-4-3,Jérôme Brisard,Match Report,
2022-10-21,21:00,Ligue 1,Matchweek 12,Fri,Home,L,0,3,Paris S-G,0.3,2.5,35,10000,Mathieu Coutadeur,4-4-2,4-3-1-2,Johan Hamel,Match Report,
2022-10-30,13:00,Ligue 1,Matchweek 13,Sun,Away,L,0,1,Auxerre,0.4,1.5,59,15092,Mathieu Coutadeur,4-4-2,4-4-2,Benoît Millot,Match Report,
2022-11-05,17:00,Ligue 1,Matchweek 14,Sat,Home,W,4,2,Strasbourg,3.7,0.9,49,7203,Mathieu Coutadeur,4-4-2,3-4-3,Mathieu Vernice,Match Report,
2022-11-13,15:00,Ligue 1,Matchweek 15,Sun,Away,D,2,2,Nantes,2.5,1.1,47,29407,Mathieu Coutadeur,4-4-2,4-2-3-1,Jérémie Pignard,Match Report,
2022-12-28,15:00,Ligue 1,Matchweek 16,Wed,Home,W,1,0,Angers,1.6,1.9,46,7088,Mathieu Coutadeur,4-4-2,4-2-3-1,Jeremy Stinat,Match Report,
2023-01-01,15:00,Ligue 1,Matchweek 17,Sun,Away,L,0,2,Toulouse,0.0,1.1,38,25957,Mathieu Coutadeur,4-4-2,4-3-3,Pierre Gaillouste,Match Report,
2023-01-08,15:30,Coupe de France,Round of 64,Sun,Away,W,2,1,Jura Sud Foot,,,55,1957,Vincent Marchetti,4-2-3-1,4-2-3-1,Stéphanie Frappart,Match Report,
2023-01-11,19:00,Ligue 1,Matchweek 18,Wed,Home,L,0,1,Reims,1.0,0.9,48,6648,Vincent Marchetti,4-4-2,4-2-3-1,Willy Delajod,Match Report,
