Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2021-08-08,15:00,Ligue 1,Matchweek 1,Sun,Home,L,0,2,Clermont Foot,0.7,3.1,44.0,18748.0,Laurent Koscielny,4-2-3-1,4-2-3-1,Florent Batta,Match Report,
2021-08-15,20:45,Ligue 1,Matchweek 2,Sun,Away,D,2,2,Marseille,0.3,1.0,34.0,50000.0,Laurent Koscielny,5-3-2,3-2-4-1,Ruddy Buquet,Match Report,
2021-08-22,15:00,Ligue 1,Matchweek 3,Sun,Home,D,1,1,Angers,0.5,0.9,54.0,18281.0,Laurent Koscielny,5-3-2,3-4-1-2,Pierre Gaillouste,Match Report,
2021-08-28,17:00,Ligue 1,Matchweek 4,Sat,Away,L,0,4,Nice,1.1,3.2,57.0,,Laurent Koscielny,5-3-2,4-4-2,Jérémie Pignard,Match Report,
2021-09-12,15:00,Ligue 1,Matchweek 5,Sun,Home,L,2,3,Lens,0.8,2.5,56.0,19763.0,Laurent Koscielny,4-1-3-2,3-4-1-2,Luís Godinho,Match Report,
2021-09-18,21:00,Ligue 1,Matchweek 6,Sat,Away,W,2,1,Saint-Étienne,2.3,1.4,45.0,23869.0,Benoît Costil,5-3-2,3-4-3,Antony Gautier,Match Report,
2021-09-22,19:00,Ligue 1,Matchweek 7,Wed,Away,D,3,3,Montpellier,1.2,1.3,45.0,9585.0,Benoît Costil,3-4-3,4-2-3-1,Mikael Lesage,Match Report,
2021-09-26,13:00,Ligue 1,Matchweek 8,Sun,Home,D,1,1,Rennes,0.7,2.0,47.0,16675.0,Benoît Costil,3-4-3,4-4-2,Hakim Ben El Hadj Salem,Match Report,
2021-10-03,15:00,Ligue 1,Matchweek 9,Sun,Away,L,0,3,Monaco,0.3,1.6,43.0,3667.0,Benoît Costil,3-4-3,4-2-3-1,Clément Turpin,Match Report,
2021-10-17,15:00,Ligue 1,Matchweek 10,Sun,Home,D,1,1,Nantes,0.5,1.3,59.0,39510.0,Laurent Koscielny,4-1-3-2,4-2-3-1,Willy Delajod,Match Report,
2021-10-24,15:00,Ligue 1,Matchweek 11,Sun,Away,D,1,1,Lorient,1.0,1.2,46.0,11678.0,Laurent Koscielny,4-1-3-2,5-3-2,Thomas Léonard,Match Report,
2021-10-31,15:00,Ligue 1,Matchweek 12,Sun,Home,W,3,2,Reims,1.8,1.4,53.0,11020.0,Laurent Koscielny,4-3-3,4-2-3-1,Eric Wattellier,Match Report,
2021-11-06,21:00,Ligue 1,Matchweek 13,Sat,Home,L,2,3,Paris S-G,1.4,1.5,44.0,41172.0,Laurent Koscielny,4-4-1-1,4-3-3,Ruddy Buquet,Match Report,
2021-11-21,15:00,Ligue 1,Matchweek 14,Sun,Away,D,3,3,Metz,2.2,1.2,54.0,16077.0,Benoît Costil,4-4-1-1,3-4-3,Benoît Millot,Match Report,
2021-11-28,15:00,Ligue 1,Matchweek 15,Sun,Home,L,1,2,Brest,1.4,2.4,65.0,15280.0,Benoît Costil,4-4-1-1,4-2-2-2,Pierre Gaillouste,Match Report,
2021-12-01,19:00,Ligue 1,Matchweek 16,Wed,Away,L,2,5,Strasbourg,1.1,2.8,50.0,24378.0,Benoît Costil,4-3-3,5-3-2,Willy Delajod,Match Report,
2021-12-05,20:45,Ligue 1,Matchweek 17,Sun,Home,D,2,2,Lyon,2.6,2.3,30.0,25210.0,Benoît Costil,4-4-2,3-4-3,Jérôme Brisard,Match Report,
2021-12-12,15:00,Ligue 1,Matchweek 18,Sun,Away,W,2,1,Troyes,1.3,1.5,35.0,7950.0,Laurent Koscielny,4-2-3-1,3-5-2,Romain Lissorgue,Match Report,
2021-12-19,18:20,Coupe de France,Round of 64,Sun,Home,W,10,0,AS Jumeaux de Mzouazia,,,,7636.0,Jimmy Briand,4-1-4-1,4-2-2-2,Stéphanie Frappart,Match Report,
2021-12-22,21:00,Ligue 1,Matchweek 19,Wed,Home,L,2,3,Lille,1.2,1.3,42.0,39967.0,Laurent Koscielny,4-2-3-1,4-4-2,Mikael Lesage,Match Report,
2022-01-02,13:45,Coupe de France,Round of 32,Sun,Away,L,0,3,Brest,,,41.0,4039.0,Jimmy Briand,4-4-2,4-4-2,Ruddy Buquet,Match Report,
2022-01-07,21:00,Ligue 1,Matchweek 20,Fri,Home,L,0,1,Marseille,0.5,2.4,34.0,,Benoît Costil,4-4-2,4-3-3,Eric Wattellier,Match Report,
2022-01-16,13:00,Ligue 1,Matchweek 21,Sun,Away,L,0,6,Rennes,0.3,3.1,43.0,4951.0,Benoît Costil,4-4-2,4-4-2,Bastien Dechepy,Match Report,
2022-01-23,15:00,Ligue 1,Matchweek 22,Sun,Home,W,4,3,Strasbourg,1.9,1.9,35.0,3308.0,Yacine Adli,4-2-3-1,3-5-2,Mikael Lesage,Match Report,
2022-02-06,15:00,Ligue 1,Matchweek 23,Sun,Away,L,0,5,Reims,0.1,2.0,51.0,8858.0,Yacine Adli,4-2-3-1,4-4-2,Antony Gautier,Match Report,
2022-02-13,17:05,Ligue 1,Matchweek 24,Sun,Away,L,2,3,Lens,0.9,2.1,56.0,32662.0,Remi Oudin,4-4-2,3-4-1-2,François Letexier,Match Report,
2022-02-20,17:05,Ligue 1,Matchweek 25,Sun,Home,D,1,1,Monaco,0.5,1.8,46.0,29557.0,Josuha Guilavogui,5-4-1,4-1-4-1,Jérémie Pignard,Match Report,
2022-02-27,15:00,Ligue 1,Matchweek 26,Sun,Away,D,1,1,Clermont Foot,0.8,0.7,46.0,12032.0,Josuha Guilavogui,3-4-3,4-3-3,Eric Wattellier,Match Report,
2022-03-06,15:00,Ligue 1,Matchweek 27,Sun,Home,L,0,2,Troyes,0.7,2.2,61.0,20287.0,Josuha Guilavogui,3-4-3,3-4-3,Ruddy Buquet,Match Report,
2022-03-13,13:00,Ligue 1,Matchweek 28,Sun,Away,L,0,3,Paris S-G,0.8,1.2,43.0,44000.0,Josuha Guilavogui,3-4-3,4-3-3,François Letexier,Match Report,
2022-03-20,15:00,Ligue 1,Matchweek 29,Sun,Home,L,0,2,Montpellier,3.5,0.4,58.0,15000.0,Josuha Guilavogui,4-3-3,4-2-3-1,Thomas Léonard,Match Report,
2022-04-02,19:00,Ligue 1,Matchweek 30,Sat,Away,D,0,0,Lille,0.0,2.7,35.0,36351.0,Yacine Adli,3-4-3,4-2-3-1,Bastien Dechepy,Match Report,
2022-04-10,13:00,Ligue 1,Matchweek 31,Sun,Home,W,3,1,Metz,2.0,0.5,58.0,21652.0,Josuha Guilavogui,3-4-1-2,3-4-1-2,Jérémie Pignard,Match Report,
2022-04-17,17:05,Ligue 1,Matchweek 32,Sun,Away,L,1,6,Lyon,2.2,1.7,40.0,38713.0,Josuha Guilavogui,3-4-1-2,4-3-3,Florent Batta,Match Report,
2022-04-20,19:00,Ligue 1,Matchweek 33,Wed,Home,D,2,2,Saint-Étienne,0.9,0.9,47.0,38515.0,Josuha Guilavogui,3-4-1-2,3-4-3,Benoît Bastien,Match Report,
2022-04-24,15:00,Ligue 1,Matchweek 34,Sun,Away,L,3,5,Nantes,2.8,2.5,44.0,30000.0,Josuha Guilavogui,3-4-1-2,4-2-3-1,Clément Turpin,Match Report,
2022-05-01,17:05,Ligue 1,Matchweek 35,Sun,Home,L,0,1,Nice,0.3,2.7,45.0,23552.0,Josuha Guilavogui,3-4-1-2,4-4-2,Johan Hamel,Match Report,
2022-05-08,15:00,Ligue 1,Matchweek 36,Sun,Away,L,1,4,Angers,0.8,2.9,58.0,10852.0,Josuha Guilavogui,3-4-1-2,5-3-2,Benoît Millot,Match Report,
2022-05-14,21:00,Ligue 1,Matchweek 37,Sat,Home,D,0,0,Lorient,1.0,0.6,48.0,23191.0,Josuha Guilavogui,3-4-1-2,4-3-3,Ruddy Buquet,Match Report,
2022-05-21,21:00,Ligue 1,Matchweek 38,Sat,Away,W,4,2,Brest,2.8,0.9,52.0,14484.0,Josuha Guilavogui,3-4-1-2,4-4-2,Hakim Ben El Hadj Salem,Match Report,
