Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2022-08-06,21:00,Ligue 1,Matchweek 1,Sat,Home,L,0,5,Paris S-G,0.3,3.5,38,12203,Florent Ogier,4-2-3-1,3-4-3,Jeremy Stinat,Match Report,
2022-08-14,15:00,Ligue 1,Matchweek 2,Sun,Away,W,4,2,Reims,1.9,2.7,58,9456,Florent Ogier,4-2-3-1,3-4-3,Johan Hamel,Match Report,
2022-08-21,15:00,Ligue 1,Matchweek 3,Sun,Home,W,1,0,Nice,0.7,1.4,48,11500,Florent Ogier,4-2-3-1,4-2-3-1,Thomas Léonard,Match Report,
2022-08-28,15:00,Ligue 1,Matchweek 4,Sun,Away,L,1,2,Lorient,0.6,2.9,60,10591,Florent Ogier,4-2-3-1,4-2-3-1,Willy Delajod,Match Report,
2022-08-31,21:00,Ligue 1,Matchweek 5,Wed,Away,L,0,1,Marseille,0.1,2.5,40,62763,Florent Ogier,3-4-3,3-4-3,Eric Wattellier,Match Report,
2022-09-04,15:00,Ligue 1,Matchweek 6,Sun,Home,W,2,0,Toulouse,1.3,1.3,34,10085,Johan Gastien,3-4-3,4-2-3-1,François Letexier,Match Report,
2022-09-11,13:00,Ligue 1,Matchweek 7,Sun,Away,D,0,0,Strasbourg,0.8,1.2,57,25089,Johan Gastien,3-4-3,4-3-1-2,Marc Bollengier,Match Report,
2022-09-18,15:00,Ligue 1,Matchweek 8,Sun,Home,L,1,3,Troyes,1.0,1.5,58,10753,Johan Gastien,3-4-3,5-4-1,Jérôme Brisard,Match Report,
2022-10-02,15:00,Ligue 1,Matchweek 9,Sun,Away,W,3,1,Ajaccio,1.0,1.5,48,6610,Johan Gastien,3-4-1-2,4-4-2,Clément Turpin,Match Report,
2022-10-09,15:00,Ligue 1,Matchweek 10,Sun,Home,W,2,1,Auxerre,1.1,1.0,48,11119,Johan Gastien,3-4-3,4-1-4-1,Mathieu Vernice,Match Report,
2022-10-16,17:05,Ligue 1,Matchweek 11,Sun,Away,D,1,1,Monaco,1.9,1.1,65,4731,Yohann Magnin,3-4-1-2,4-4-2,Ruddy Buquet,Match Report,
2022-10-23,15:00,Ligue 1,Matchweek 12,Sun,Home,L,1,3,Brest,1.0,3.0,62,7275,Johan Gastien,3-4-3,4-3-3,Jérémie Pignard,Match Report,
2022-10-30,15:00,Ligue 1,Matchweek 13,Sun,Away,D,1,1,Nantes,0.7,1.7,45,30894,Florent Ogier,3-4-3,4-2-3-1,Benoît Bastien,Match Report,
2022-11-06,15:00,Ligue 1,Matchweek 14,Sun,Home,D,1,1,Montpellier,3.4,1.2,54,10990,Florent Ogier,3-4-1-2,5-3-2,Marc Bollengier,Match Report,
2022-11-12,17:00,Ligue 1,Matchweek 15,Sat,Away,L,1,2,Lens,0.2,1.5,39,37519,Johan Gastien,3-4-1-2,3-4-3,Hakim Ben El Hadj Salem,Match Report,
2022-12-28,19:00,Ligue 1,Matchweek 16,Wed,Home,L,0,2,Lille,0.7,1.6,43,13122,Yohann Magnin,3-4-3,3-4-3,François Letexier,Match Report,
