Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Angers,31,26.0,38,3420,90,100,38.0,418,81,251,164,18,170,1.63,58,40,18,0.47,52.3,41.6,10.7,0.28
vs Bordeaux,28,25.8,38,3420,90,100,38.0,418,81,252,164,18,176,1.66,56,42,14,0.37,54.9,43.5,11.4,0.3
vs Brest,26,26.0,38,3420,90,100,38.0,418,84,255,160,22,181,1.71,66,50,16,0.42,58.1,50.0,8.1,0.21
vs Dijon,33,26.0,38,3420,90,100,38.0,418,82,257,161,20,181,2.21,73,25,48,1.26,72.5,33.7,38.8,1.02
vs Lens,27,26.0,38,3420,90,100,38.0,418,83,257,158,21,179,1.18,54,55,-1,-0.03,46.8,56.4,-9.6,-0.25
vs Lille,21,26.2,38,3420,90,100,38.0,418,83,262,150,19,191,0.53,23,64,-41,-1.08,29.8,48.5,-18.7,-0.49
vs Lorient,27,25.8,38,3420,90,100,38.0,418,82,259,155,20,180,1.66,68,50,18,0.47,52.5,48.6,4.0,0.1
vs Lyon,29,26.3,38,3420,90,100,38.0,418,81,257,157,21,184,0.74,43,81,-38,-1.0,41.5,81.4,-40.0,-1.05
vs Marseille,31,25.8,38,3420,90,100,38.0,418,82,262,153,18,186,1.11,47,54,-7,-0.18,47.4,47.0,0.4,0.01
vs Metz,27,26.3,38,3420,90,100,38.0,418,83,265,148,18,193,1.47,48,44,4,0.11,49.2,44.1,5.2,0.14
vs Monaco,30,26.2,38,3420,90,100,38.0,418,81,243,164,23,176,0.79,42,76,-34,-0.89,34.6,68.7,-34.1,-0.9
vs Montpellier,25,25.9,38,3420,90,100,38.0,418,82,259,155,19,182,1.26,62,60,2,0.05,66.2,51.9,14.3,0.38
vs Nantes,25,26.0,38,3420,90,100,38.0,418,83,262,154,21,184,1.61,55,47,8,0.21,53.7,49.0,4.7,0.12
vs Nice,31,26.1,38,3420,90,100,38.0,418,83,261,156,19,186,1.45,53,50,3,0.08,55.6,47.9,7.6,0.2
vs Nîmes,33,25.9,38,3420,90,100,38.0,418,83,244,166,21,170,1.87,71,40,31,0.82,64.2,43.3,20.9,0.55
vs Paris S-G,33,25.9,38,3420,90,100,38.0,418,82,247,163,20,177,0.74,28,86,-58,-1.53,40.6,80.1,-39.5,-1.04
vs Reims,29,26.0,38,3420,90,100,38.0,418,82,269,148,21,193,1.5,50,42,8,0.21,59.0,32.7,26.3,0.69
vs Rennes,32,26.1,38,3420,90,100,38.0,418,82,259,154,20,184,1.21,40,52,-12,-0.32,38.1,47.8,-9.7,-0.26
vs Saint-Étienne,40,25.8,38,3420,90,100,38.0,418,80,264,153,19,183,1.53,54,42,12,0.32,50.1,48.7,1.4,0.04
vs Strasbourg,26,26.1,38,3420,90,100,38.0,418,84,263,154,18,184,1.66,58,49,9,0.24,50.7,52.8,-2.1,-0.06
