Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Ajaccio,3,38.0,23,6,0,3,1,30.0,0.25,8.0,0.21,156,414,37.7,926,154,31.7,33.1,245,49.0,39.5,504,31,6.2,28,0.74,13.4
vs Angers,2,38.0,33,4,1,3,2,36.6,0.26,5.6,0.15,156,440,35.5,914,138,34.1,34.0,252,50.8,39.7,466,41,8.8,30,0.79,12.9
vs Auxerre,3,38.0,35,7,1,5,3,32.3,0.2,0.3,0.01,174,400,43.5,886,167,31.6,31.2,281,42.7,35.8,494,29,5.9,37,0.97,14.2
vs Brest,2,38.0,44,7,1,10,1,37.0,0.22,-6.0,-0.16,125,382,32.7,858,182,32.9,31.7,283,35.3,33.9,625,49,7.8,27,0.71,10.9
vs Clermont Foot,2,38.0,45,7,0,5,1,49.8,0.3,5.8,0.15,121,326,37.1,882,189,26.2,30.4,236,40.3,36.6,443,25,5.6,27,0.71,13.4
vs Lens,2,38.0,68,6,0,3,2,61.6,0.29,-4.4,-0.12,168,510,32.9,864,155,39.9,35.2,326,50.6,39.3,637,33,5.2,35,0.92,12.0
vs Lille,2,38.0,65,11,0,7,0,64.9,0.27,-0.1,0.0,230,620,37.1,1095,169,42.9,37.2,290,51.7,41.3,521,19,3.6,31,0.82,12.9
vs Lorient,2,38.0,52,4,3,8,3,43.7,0.25,-5.3,-0.14,147,341,43.1,736,155,32.6,33.2,222,45.5,37.2,346,17,4.9,39,1.03,15.2
vs Lyon,2,38.0,65,6,2,7,2,62.7,0.28,-0.3,-0.01,188,487,38.6,944,167,38.5,35.4,258,48.1,37.0,522,32,6.1,36,0.95,13.1
vs Marseille,2,38.0,67,6,2,11,6,55.5,0.28,-5.5,-0.15,243,717,33.9,1024,150,51.3,39.9,309,62.1,44.8,591,33,5.6,25,0.66,10.7
vs Monaco,1,38.0,70,5,1,10,1,69.2,0.3,0.2,0.01,153,460,33.3,1120,206,31.8,32.1,256,40.6,35.2,514,38,7.4,26,0.68,11.9
vs Montpellier,4,38.0,65,7,2,7,1,56.0,0.29,-8.0,-0.21,158,371,42.6,823,175,28.8,31.3,261,51.3,41.2,507,29,5.7,48,1.26,13.0
vs Nantes,2,38.0,37,3,0,5,2,41.2,0.25,6.2,0.16,196,496,39.5,973,190,37.3,34.6,271,49.1,39.0,652,53,8.1,31,0.82,10.9
vs Nice,2,38.0,48,6,0,6,1,55.7,0.26,8.7,0.23,132,346,38.2,961,215,24.3,30.7,269,41.6,36.4,534,29,5.4,31,0.82,13.9
vs Paris S-G,2,38.0,89,5,2,6,3,85.1,0.32,-0.9,-0.02,133,345,38.6,803,160,33.0,33.6,254,31.5,31.4,317,19,6.0,20,0.53,11.4
vs Reims,2,38.0,45,7,0,5,0,54.0,0.28,9.0,0.24,230,617,37.3,1053,168,40.0,35.4,348,56.3,41.2,528,39,7.4,58,1.53,14.1
vs Rennes,2,38.0,69,3,1,6,3,59.4,0.3,-6.6,-0.17,161,510,31.6,918,130,38.9,34.8,264,58.0,43.1,431,21,4.9,21,0.55,12.4
vs Strasbourg,1,38.0,51,5,1,8,3,51.1,0.29,3.1,0.08,176,493,35.7,1053,174,34.1,34.1,276,48.6,38.8,525,48,9.1,39,1.03,13.8
vs Toulouse,1,38.0,51,4,1,7,1,48.8,0.27,-1.2,-0.03,155,480,32.3,905,163,36.0,34.6,296,52.0,40.2,534,44,8.2,24,0.63,11.3
vs Troyes,2,38.0,45,5,1,3,2,36.5,0.24,-6.5,-0.17,139,340,40.9,889,141,29.2,31.3,222,36.0,33.3,423,30,7.1,47,1.24,15.7
