Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Angers,30,34.0,865,25.44,654,65,50,51,26,19,96,2.82,67,9,5,10,5,0
vs Auxerre,29,34.0,812,23.88,592,74,49,44,42,11,87,2.56,63,5,8,5,6,0
vs Brest,30,34.0,726,21.35,530,81,22,48,32,13,97,2.85,75,6,3,8,5,0
vs Le Havre,31,34.0,848,24.94,619,65,42,68,34,20,119,3.5,87,3,8,10,6,5
vs Lens,33,34.0,662,19.47,487,50,36,40,36,13,67,1.97,42,4,4,7,8,2
vs Lille,27,34.0,578,17.0,419,46,37,32,23,21,60,1.76,42,3,2,7,4,2
vs Lyon,31,34.0,790,23.24,564,62,58,48,45,13,79,2.32,52,5,9,7,5,1
vs Marseille,32,34.0,537,15.79,376,50,30,31,32,18,81,2.38,55,4,8,5,7,2
vs Monaco,28,34.0,586,17.24,450,41,34,29,19,13,68,2.0,48,3,5,8,3,1
vs Montpellier,35,34.0,931,27.38,667,82,51,65,39,27,132,3.88,92,6,12,12,6,4
vs Nantes,30,34.0,771,22.68,583,65,29,47,40,7,87,2.56,66,3,2,7,9,0
vs Nice,31,34.0,814,23.94,601,74,32,52,36,19,73,2.15,59,3,3,5,3,0
vs Paris S-G,28,34.0,537,15.79,383,49,36,36,21,12,56,1.65,35,6,5,5,5,0
vs Reims,34,34.0,877,25.79,659,69,49,61,26,13,81,2.38,53,7,5,11,5,0
vs Rennes,35,34.0,663,19.5,506,53,29,40,19,16,86,2.53,65,4,6,6,3,2
vs Saint-Étienne,32,34.0,934,27.47,662,77,50,81,41,23,120,3.53,79,5,8,14,11,3
vs Strasbourg,30,34.0,812,23.88,636,52,30,46,29,19,67,1.97,44,2,2,9,7,3
vs Toulouse,27,34.0,624,18.35,455,49,44,37,33,6,73,2.15,56,3,6,3,5,0
