Date,Comp,venue,opponent,goals_for,goals_against,result
2020-08-22,Ligue 1,Away,Lille,1,1,D
2020-08-29,Ligue 1,Home,Montpellier,2,1,W
2020-09-13,Ligue 1,Away,Nîmes,4,2,W
2020-09-19,Ligue 1,Home,Monaco,2,1,W
2020-09-26,Ligue 1,Away,Saint-Étienne,3,0,W
2020-10-04,Ligue 1,Home,Reims,2,2,D
2020-10-16,Ligue 1,Away,Dijon,1,1,D
2020-10-23,Ligue 1,Home,Angers,1,2,L
2020-10-31,Ligue 1,Home,Brest,2,1,W
2020-11-07,Ligue 1,Away,Paris S-G,0,3,L
2020-11-20,Ligue 1,Home,Bordeaux,0,1,L
2020-11-27,Ligue 1,Away,Strasbourg,1,1,D
2020-12-05,Ligue 1,Home,Lens,0,2,L
2020-12-13,Ligue 1,Away,Nice,1,0,W
2020-12-16,Ligue 1,Home,Marseille,2,1,W
2020-12-20,Ligue 1,Away,Lorient,3,0,W
2020-12-23,Ligue 1,Home,Metz,1,0,W
2021-01-06,Ligue 1,Away,Nantes,0,0,D
2021-01-09,Ligue 1,Home,Lyon,2,2,D
2021-01-17,Ligue 1,Away,Brest,2,1,W
2021-01-24,Ligue 1,Home,Lille,0,1,L
2021-02-03,Ligue 1,Home,Lorient,1,1,D
2021-02-06,Ligue 1,Away,Lens,0,0,D
2021-02-14,Ligue 1,Home,Saint-Étienne,0,2,L
2021-02-21,Ligue 1,Away,Montpellier,1,2,L
2021-02-26,Ligue 1,Home,Nice,1,2,L
2021-03-03,Ligue 1,Away,Lyon,0,1,L
2021-03-10,Ligue 1,Away,Marseille,0,1,L
2021-03-14,Ligue 1,Home,Strasbourg,1,0,W
2021-03-20,Ligue 1,Away,Metz,3,1,W
2021-04-04,Ligue 1,Away,Reims,2,2,D
2021-04-11,Ligue 1,Home,Nantes,1,0,W
2021-04-17,Ligue 1,Away,Angers,3,0,W
2021-04-25,Ligue 1,Home,Dijon,5,1,W
2021-05-02,Ligue 1,Away,Bordeaux,0,1,L
2021-05-09,Ligue 1,Home,Paris S-G,1,1,D
2021-05-16,Ligue 1,Away,Monaco,1,2,L
2021-05-23,Ligue 1,Home,Nîmes,2,0,W
