Date,Comp,venue,opponent,goals_for,goals_against,result
2022-08-07,Ligue 1,Home,Reims,4,1,W
2022-08-14,Ligue 1,Away,Brest,1,1,D
2022-08-20,Ligue 1,Home,Nantes,2,1,W
2022-08-28,Ligue 1,Away,Nice,3,0,W
2022-08-31,Ligue 1,Home,Clermont Foot,1,0,W
2022-09-03,Ligue 1,Away,Auxerre,2,0,W
2022-09-10,Ligue 1,Home,Lille,2,1,W
2022-09-18,Ligue 1,Home,Rennes,1,1,D
2022-09-30,Ligue 1,Away,Angers,3,0,W
2022-10-08,Ligue 1,Home,Ajaccio,1,2,L
2022-10-16,Ligue 1,Away,Paris S-G,0,1,L
2022-10-22,Ligue 1,Home,Lens,0,1,L
2022-10-29,Ligue 1,Away,Strasbourg,2,2,D
2022-11-06,Ligue 1,Home,Lyon,1,0,W
2022-11-13,Ligue 1,Away,Monaco,3,2,W
2022-12-29,Ligue 1,Home,Toulouse,6,1,W
2023-01-02,Ligue 1,Away,Montpellier,2,1,W
2023-01-11,Ligue 1,Away,Troyes,2,0,W
2023-01-14,Ligue 1,Home,Lorient,3,1,W
2023-01-28,Ligue 1,Home,Monaco,1,1,D
2023-02-01,Ligue 1,Away,Nantes,2,0,W
2023-02-05,Ligue 1,Home,Nice,1,3,L
2023-02-11,Ligue 1,Away,Clermont Foot,2,0,W
2023-02-19,Ligue 1,Away,Toulouse,3,2,W
2023-02-26,Ligue 1,Home,Paris S-G,0,3,L
2023-03-05,Ligue 1,Away,Rennes,1,0,W
2023-03-12,Ligue 1,Home,Strasbourg,2,2,D
2023-03-19,Ligue 1,Away,Reims,2,1,W
2023-03-31,Ligue 1,Home,Montpellier,1,1,D
2023-04-09,Ligue 1,Away,Lorient,0,0,D
2023-04-16,Ligue 1,Home,Troyes,3,1,W
2023-04-23,Ligue 1,Away,Lyon,2,1,W
2023-04-30,Ligue 1,Home,Auxerre,2,1,W
2023-05-06,Ligue 1,Away,Lens,1,2,L
2023-05-14,Ligue 1,Home,Angers,3,1,W
2023-05-20,Ligue 1,Away,Lille,1,2,L
2023-05-27,Ligue 1,Home,Brest,1,2,L
2023-06-03,Ligue 1,Away,Ajaccio,0,1,L
