Date,Comp,venue,opponent,goals_for,goals_against,result
2022-08-07,Ligue 1,Home,Troyes,3,2,W
2022-08-13,Ligue 1,Away,Paris S-G,2,5,L
2022-08-21,Ligue 1,Home,Auxerre,1,2,L
2022-08-28,Ligue 1,Away,Brest,7,0,W
2022-08-31,Ligue 1,Home,Ajaccio,2,0,W
2022-09-04,Ligue 1,Home,Lille,1,3,L
2022-09-11,Ligue 1,Away,Angers,1,2,L
2022-09-17,Ligue 1,Home,Strasbourg,2,1,W
2022-10-02,Ligue 1,Away,Toulouse,2,4,L
2022-10-09,Ligue 1,Home,Monaco,0,2,L
2022-10-15,Ligue 1,Away,Lens,0,1,L
2022-10-22,Ligue 1,Home,Lyon,1,2,L
2022-10-30,Ligue 1,Away,Rennes,0,3,L
2022-11-06,Ligue 1,Away,Clermont Foot,1,1,D
2022-11-13,Ligue 1,Home,Reims,1,1,D
2022-12-29,Ligue 1,Away,Lorient,2,0,W
2023-01-02,Ligue 1,Home,Marseille,1,2,L
2023-01-11,Ligue 1,Away,Nice,1,6,L
2023-01-15,Ligue 1,Home,Nantes,0,3,L
2023-01-29,Ligue 1,Away,Auxerre,2,0,W
2023-02-01,Ligue 1,Home,Paris S-G,1,3,L
2023-02-05,Ligue 1,Away,Strasbourg,0,2,L
2023-02-12,Ligue 1,Home,Brest,3,0,W
2023-02-19,Ligue 1,Away,Troyes,1,0,W
2023-02-25,Ligue 1,Home,Lens,1,1,D
2023-03-05,Ligue 1,Home,Angers,5,0,W
2023-03-12,Ligue 1,Away,Ajaccio,1,0,W
2023-03-19,Ligue 1,Home,Clermont Foot,2,1,W
2023-03-31,Ligue 1,Away,Marseille,1,1,D
2023-04-09,Ligue 1,Home,Toulouse,1,2,L
2023-04-16,Ligue 1,Away,Lille,1,2,L
2023-04-23,Ligue 1,Home,Rennes,1,0,W
2023-04-30,Ligue 1,Away,Monaco,4,0,W
2023-05-07,Ligue 1,Away,Lyon,4,5,L
2023-05-14,Ligue 1,Home,Lorient,1,1,D
2023-05-20,Ligue 1,Away,Nantes,3,0,W
2023-05-27,Ligue 1,Home,Nice,2,3,L
2023-06-03,Ligue 1,Away,Reims,3,1,W
