Date,Comp,venue,opponent,goals_for,goals_against,result
2022-08-06,Ligue 1,Home,Monaco,1,2,L
2022-08-14,Ligue 1,Away,Nice,1,1,D
2022-08-21,Ligue 1,Home,Reims,1,1,D
2022-08-27,Ligue 1,Away,Auxerre,0,1,L
2022-08-31,Ligue 1,Home,Nantes,1,1,D
2022-09-04,Ligue 1,Away,Brest,1,1,D
2022-09-11,Ligue 1,Home,Clermont Foot,0,0,D
2022-09-17,Ligue 1,Away,Montpellier,1,2,L
2022-10-01,Ligue 1,Home,Rennes,1,3,L
2022-10-09,Ligue 1,Away,Angers,3,2,W
2022-10-14,Ligue 1,Home,Lille,0,3,L
2022-10-23,Ligue 1,Away,Toulouse,2,2,D
2022-10-29,Ligue 1,Home,Marseille,2,2,D
2022-11-05,Ligue 1,Away,Ajaccio,2,4,L
2022-11-13,Ligue 1,Home,Lorient,1,1,D
2022-12-28,Ligue 1,Away,Paris S-G,1,2,L
2023-01-02,Ligue 1,Home,Troyes,2,3,L
2023-01-11,Ligue 1,Home,Lens,2,2,D
2023-01-14,Ligue 1,Away,Lyon,2,1,W
2023-01-29,Ligue 1,Home,Toulouse,1,2,L
2023-02-01,Ligue 1,Away,Rennes,0,3,L
2023-02-05,Ligue 1,Home,Montpellier,2,0,W
2023-02-12,Ligue 1,Away,Lille,0,2,L
2023-02-18,Ligue 1,Home,Angers,2,1,W
2023-02-26,Ligue 1,Away,Clermont Foot,1,1,D
2023-03-05,Ligue 1,Home,Brest,0,1,L
2023-03-12,Ligue 1,Away,Marseille,2,2,D
2023-03-19,Ligue 1,Home,Auxerre,2,0,W
2023-04-02,Ligue 1,Away,Monaco,3,4,L
2023-04-07,Ligue 1,Away,Lens,1,2,L
2023-04-16,Ligue 1,Home,Ajaccio,3,1,W
2023-04-23,Ligue 1,Away,Reims,2,0,W
2023-04-28,Ligue 1,Home,Lyon,1,2,L
2023-05-07,Ligue 1,Away,Nantes,2,0,W
2023-05-13,Ligue 1,Home,Nice,2,0,W
2023-05-21,Ligue 1,Away,Troyes,1,1,D
2023-05-27,Ligue 1,Home,Paris S-G,1,1,D
2023-06-03,Ligue 1,Away,Lorient,1,2,L
