Date,Comp,venue,opponent,goals_for,goals_against,result
2023-08-11,Ligue 1,Away,Nice,1,1,D
2023-08-20,Ligue 1,Home,Nantes,2,0,W
2023-08-27,Ligue 1,Away,Lorient,1,4,L
2023-09-03,Ligue 1,Home,Montpellier,1,0,W
2023-09-16,Ligue 1,Away,Rennes,2,2,D
2023-09-26,Ligue 1,Home,Reims,1,2,L
2023-10-01,Ligue 1,Away,Le Havre,2,0,W
2023-10-08,Ligue 1,Away,Lens,1,1,D
2023-10-22,Ligue 1,Home,Brest,1,0,W
2023-10-29,Ligue 1,Home,Monaco,2,0,W
2023-11-04,Ligue 1,Away,Marseille,0,0,D
2023-11-12,Ligue 1,Home,Toulouse,1,1,D
2023-11-26,Ligue 1,Away,Lyon,2,0,W
2023-12-03,Ligue 1,Home,Metz,2,0,W
2023-12-10,Ligue 1,Away,Clermont Foot,0,0,D
2023-12-17,Ligue 1,Home,Paris S-G,1,1,D
2023-12-20,Ligue 1,Away,Strasbourg,1,2,L
2024-01-14,Ligue 1,Home,Lorient,3,0,W
2024-01-28,Ligue 1,Away,Montpellier,0,0,D
2024-02-04,Ligue 1,Home,Clermont Foot,4,0,W
2024-02-10,Ligue 1,Away,Paris S-G,1,3,L
2024-02-17,Ligue 1,Home,Le Havre,3,0,W
2024-02-25,Ligue 1,Away,Toulouse,1,3,L
2024-03-02,Ligue 1,Away,Reims,1,0,W
2024-03-10,Ligue 1,Home,Rennes,2,2,D
2024-03-17,Ligue 1,Away,Brest,1,1,D
2024-03-29,Ligue 1,Home,Lens,2,1,W
2024-04-05,Ligue 1,Home,Marseille,3,1,W
2024-04-21,Ligue 1,Home,Strasbourg,1,0,W
2024-04-24,Ligue 1,Away,Monaco,0,1,L
2024-04-28,Ligue 1,Away,Metz,2,1,W
2024-05-06,Ligue 1,Home,Lyon,3,4,L
2024-05-12,Ligue 1,Away,Nantes,2,1,W
2024-05-19,Ligue 1,Home,Nice,2,2,D
