Date,Comp,venue,opponent,goals_for,goals_against,result
2024-08-17,Ligue 1,Home,Marseille,1,5,L
2024-08-25,Ligue 1,Away,Lens,0,2,L
2024-08-31,Ligue 1,Home,Saint-Étienne,4,0,W
2024-09-14,Ligue 1,Away,Paris S-G,1,3,L
2024-09-22,Ligue 1,Home,Toulouse,2,0,W
2024-09-27,Ligue 1,Away,Auxerre,0,3,L
2024-10-06,Ligue 1,Home,Le Havre,2,0,W
2024-10-19,Ligue 1,Home,Rennes,1,1,D
2024-10-26,Ligue 1,Away,Reims,2,1,W
2024-11-02,Ligue 1,Home,Nice,0,1,L
2024-11-10,Ligue 1,Away,Montpellier,1,3,L
2024-11-22,Ligue 1,Away,Monaco,2,3,L
2024-11-30,Ligue 1,Home,Strasbourg,3,1,W
2024-12-06,Ligue 1,Away,Lille,1,3,L
2024-12-15,Ligue 1,Home,Nantes,4,1,W
2025-01-05,Ligue 1,Away,Angers,0,2,L
2025-01-11,Ligue 1,Home,Lyon,2,1,W
2025-01-18,Ligue 1,Away,Rennes,2,1,W
2025-01-26,Ligue 1,Away,Le Havre,1,0,W
2025-02-01,Ligue 1,Home,Paris S-G,2,5,L
2025-02-07,Ligue 1,Away,Nantes,2,0,W
2025-02-14,Ligue 1,Home,Auxerre,2,2,D
2025-02-23,Ligue 1,Away,Strasbourg,0,0,D
2025-03-02,Ligue 1,Away,Lyon,1,2,L
2025-03-09,Ligue 1,Home,Angers,2,0,W
2025-03-16,Ligue 1,Home,Reims,0,0,D
2025-03-30,Ligue 1,Away,Toulouse,4,2,W
2025-04-05,Ligue 1,Home,Monaco,2,1,W
2025-04-13,Ligue 1,Away,Saint-Étienne,3,3,D
2025-04-20,Ligue 1,Home,Lens,1,3,L
2025-04-27,Ligue 1,Away,Marseille,1,4,L
2025-05-04,Ligue 1,Home,Montpellier,1,0,W
2025-05-10,Ligue 1,Home,Lille,2,0,W
2025-05-17,Ligue 1,Away,Nice,0,6,L
