Date,Comp,venue,opponent,goals_for,goals_against,result
2024-08-17,Ligue 1,Home,Lille,0,2,L
2024-08-25,Ligue 1,Away,Marseille,2,2,D
2024-09-01,Ligue 1,Home,Rennes,2,1,W
2024-09-15,Ligue 1,Away,Nantes,2,1,W
2024-09-21,Ligue 1,Home,Paris S-G,1,1,D
2024-09-29,Ligue 1,Away,Angers,3,1,W
2024-10-06,Ligue 1,Home,Montpellier,4,2,W
2024-10-20,Ligue 1,Away,Auxerre,1,2,L
2024-10-26,Ligue 1,Home,Brest,1,2,L
2024-11-03,Ligue 1,Away,Toulouse,0,1,L
2024-11-10,Ligue 1,Away,Le Havre,3,0,W
2024-11-23,Ligue 1,Home,Lyon,1,1,D
2024-11-29,Ligue 1,Home,Lens,0,2,L
2024-12-08,Ligue 1,Away,Strasbourg,0,0,D
2024-12-14,Ligue 1,Home,Monaco,0,0,D
2025-01-04,Ligue 1,Away,Saint-Étienne,1,3,L
2025-01-11,Ligue 1,Home,Nice,2,4,L
2025-01-19,Ligue 1,Home,Le Havre,1,1,D
2025-01-25,Ligue 1,Away,Paris S-G,1,1,D
2025-02-02,Ligue 1,Home,Nantes,1,2,L
2025-02-09,Ligue 1,Away,Lyon,0,4,L
2025-02-16,Ligue 1,Home,Angers,0,1,L
2025-02-21,Ligue 1,Away,Rennes,0,1,L
2025-02-28,Ligue 1,Away,Monaco,0,3,L
2025-03-09,Ligue 1,Home,Auxerre,0,2,L
2025-03-16,Ligue 1,Away,Brest,0,0,D
2025-03-29,Ligue 1,Home,Marseille,3,1,W
2025-04-06,Ligue 1,Home,Strasbourg,0,1,L
2025-04-11,Ligue 1,Away,Lens,2,0,W
2025-04-20,Ligue 1,Home,Toulouse,1,0,W
2025-04-27,Ligue 1,Away,Montpellier,0,0,D
2025-05-02,Ligue 1,Away,Nice,0,1,L
2025-05-10,Ligue 1,Home,Saint-Étienne,0,2,L
2025-05-17,Ligue 1,Away,Lille,1,2,L
