Date,Comp,venue,opponent,goals_for,goals_against,result
2024-08-17,Ligue 1,Away,Monaco,0,1,L
2024-08-24,Ligue 1,Home,Le Havre,0,2,L
2024-08-31,Ligue 1,Away,Brest,0,4,L
2024-09-13,Ligue 1,Home,Lille,1,0,W
2024-09-20,Ligue 1,Away,Nice,0,8,L
2024-09-29,Ligue 1,Away,Nantes,2,2,D
2024-10-05,Ligue 1,Home,Auxerre,3,1,W
2024-10-19,Ligue 1,Home,Lens,0,2,L
2024-10-26,Ligue 1,Away,Angers,2,4,L
2024-11-02,Ligue 1,Home,Strasbourg,2,0,W
2024-11-10,Ligue 1,Away,Lyon,0,1,L
2024-11-23,Ligue 1,Home,Montpellier,1,0,W
2024-11-30,Ligue 1,Away,Rennes,0,5,L
2024-12-08,Ligue 1,Home,Marseille,0,2,L
2024-12-13,Ligue 1,Away,Toulouse,1,2,L
2025-01-04,Ligue 1,Home,Reims,3,1,W
2025-01-12,Ligue 1,Away,Paris S-G,1,2,L
2025-01-19,Ligue 1,Home,Nantes,1,1,D
2025-01-24,Ligue 1,Away,Auxerre,1,1,D
2025-02-01,Ligue 1,Away,Lille,1,4,L
2025-02-08,Ligue 1,Home,Rennes,0,2,L
2025-02-15,Ligue 1,Away,Marseille,1,5,L
2025-02-22,Ligue 1,Home,Angers,3,3,D
2025-03-01,Ligue 1,Home,Nice,1,3,L
2025-03-09,Ligue 1,Away,Le Havre,1,1,D
2025-03-16,Ligue 1,Away,Montpellier,2,0,W
2025-03-29,Ligue 1,Home,Paris S-G,1,6,L
2025-04-06,Ligue 1,Away,Lens,0,1,L
2025-04-13,Ligue 1,Home,Brest,3,3,D
2025-04-20,Ligue 1,Home,Lyon,2,1,W
2025-04-26,Ligue 1,Away,Strasbourg,1,3,L
2025-05-03,Ligue 1,Home,Monaco,1,3,L
2025-05-10,Ligue 1,Away,Reims,2,0,W
2025-05-17,Ligue 1,Home,Toulouse,2,3,L
