Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2020-08-30,21:00,Ligue 1,Matchweek 2,Sun,Away,W,3,2,Brest,1.0,2.6,41.0,,Steve Mandanda,4-3-3,4-2-3-1,Amaury Delerue,Match Report,
2020-09-13,21:00,Ligue 1,Matchweek 3,Sun,Away,W,1,0,Paris S-G,0.8,2.4,35.0,,Steve Mandanda,4-3-3,4-3-3,Jérôme Brisard,Match Report,
2020-09-17,21:00,Ligue 1,Matchweek 1,Thu,Home,L,0,2,Saint-Étienne,2.2,1.3,59.0,,Steve Mandanda,4-3-3,4-4-2,Ruddy Buquet,Match Report,
2020-09-20,21:00,Ligue 1,Matchweek 4,Sun,Home,D,1,1,Lille,0.7,1.5,56.0,,Steve Mandanda,4-2-3-1,4-4-2,Hakim Ben El Hadj Salem,Match Report,
2020-09-26,21:00,Ligue 1,Matchweek 5,Sat,Home,D,1,1,Metz,0.9,1.1,60.0,,Steve Mandanda,4-2-3-1,4-4-2,Eric Wattellier,Match Report,
2020-10-04,21:00,Ligue 1,Matchweek 6,Sun,Away,D,1,1,Lyon,0.3,3.2,32.0,,Steve Mandanda,4-1-4-1,4-2-3-1,Stéphanie Frappart,Match Report,
2020-10-17,21:00,Ligue 1,Matchweek 7,Sat,Home,W,3,1,Bordeaux,1.0,0.8,56.0,,Steve Mandanda,4-1-2-1-2◆,4-2-3-1,Franck Schneider,Match Report,
2020-10-21,22:00,Champions Lg,Group stage,Wed,Away,L,0,1,gr Olympiacos,0.9,1.0,49.0,,Steve Mandanda,4-1-4-1,4-4-2,Daniele Orsato,Match Report,
2020-10-24,17:00,Ligue 1,Matchweek 8,Sat,Away,W,1,0,Lorient,1.2,0.8,64.0,,Steve Mandanda,4-3-1-2,4-4-2,Benoît Bastien,Match Report,
2020-10-27,21:00,Champions Lg,Group stage,Tue,Home,L,0,3,eng Manchester City,0.1,1.9,36.0,,Steve Mandanda,5-3-2,4-3-3,Tobias Stieler,Match Report,
2020-11-03,20:00,Champions Lg,Group stage,Tue,Away,L,0,3,pt Porto,1.0,2.4,59.0,,Steve Mandanda,4-1-2-1-2◆,4-4-2,Antonio Matéu Lahoz,Match Report,
2020-11-06,21:00,Ligue 1,Matchweek 10,Fri,Away,W,1,0,Strasbourg,0.1,0.4,47.0,,Steve Mandanda,4-1-2-1-2◆,4-2-3-1,Johan Hamel,Match Report,
2020-11-25,21:00,Champions Lg,Group stage,Wed,Home,L,0,2,pt Porto,1.3,2.1,56.0,,Steve Mandanda,4-2-3-1,4-4-2,Andreas Ekberg,Match Report,
2020-11-28,17:00,Ligue 1,Matchweek 12,Sat,Home,W,3,1,Nantes,2.8,0.4,57.0,,Steve Mandanda,4-2-3-1,4-2-3-1,Mikael Lesage,Match Report,
2020-12-01,21:00,Champions Lg,Group stage,Tue,Home,W,2,1,gr Olympiacos,2.0,0.3,53.0,,Steve Mandanda,4-2-3-1,4-2-3-1,Jesús Gil,Match Report,
