Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2022-07-31,21:00,Trophée des Champions,Trophée des Champions,Sun,Neutral,L,0,4,Paris S-G,,,38,28000.0,Alban Lafont,3-4-1-2,3-4-3,Orel Grinfeeld,Match Report,
2022-08-07,15:00,Ligue 1,Matchweek 1,Sun,Away,D,0,0,Angers,1.5,1.5,51,12000.0,Alban Lafont,3-4-1-2,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,
2022-08-12,21:00,Ligue 1,Matchweek 2,Fri,Home,D,1,1,Lille,1.0,2.0,31,30689.0,Alban Lafont,3-5-2,4-2-3-1,Bastien Dechepy,Match Report,
2022-08-20,21:00,Ligue 1,Matchweek 3,Sat,Away,L,1,2,Marseille,2.2,1.1,44,63147.0,Alban Lafont,5-4-1,3-4-3,Jérémie Pignard,Match Report,
2022-08-28,13:00,Ligue 1,Matchweek 4,Sun,Home,W,3,1,Toulouse,1.5,0.6,50,26574.0,Alban Lafont,4-3-3,4-2-3-1,Mathieu Vernice,Match Report,
2022-08-31,19:00,Ligue 1,Matchweek 5,Wed,Away,D,1,1,Strasbourg,1.2,0.4,54,25162.0,Alban Lafont,4-2-3-1,3-5-2,Clément Turpin,Match Report,
2022-09-03,21:00,Ligue 1,Matchweek 6,Sat,Home,L,0,3,Paris S-G,0.4,2.7,40,34406.0,Alban Lafont,3-4-3,3-4-3,Pierre Gaillouste,Match Report,
2022-09-08,21:00,Europa Lg,Group stage,Thu,Home,W,2,1,gr Olympiacos,1.2,0.3,53,31276.0,Alban Lafont,4-2-3-1,3-4-3,Harald Lechner,Match Report,
2022-09-11,15:00,Ligue 1,Matchweek 7,Sun,Away,L,2,3,Lorient,0.5,1.3,52,15081.0,Alban Lafont,4-3-3,4-2-3-1,Johan Hamel,Match Report,
2022-09-15,20:45,Europa Lg,Group stage,Thu,Away,L,0,3,az Qarabağ,0.6,1.9,40,26495.0,Alban Lafont,4-4-2,4-2-3-1,Enea Jorgji,Match Report,
2022-09-18,17:05,Ligue 1,Matchweek 8,Sun,Home,D,0,0,Lens,0.9,0.9,42,28854.0,Alban Lafont,3-4-3,3-4-3,Willy Delajod,Match Report,
2022-10-02,17:05,Ligue 1,Matchweek 9,Sun,Away,L,1,4,Monaco,0.5,2.1,51,5202.0,Alban Lafont,5-4-1,4-4-2,Thomas Léonard,Match Report,
2022-10-06,21:00,Europa Lg,Group stage,Thu,Away,L,0,2,de Freiburg,1.5,1.4,40,33200.0,Alban Lafont,3-5-2,4-4-2,Glenn Nyberg,Match Report,
2022-10-09,17:05,Ligue 1,Matchweek 10,Sun,Away,L,0,3,Rennes,0.5,1.8,43,27844.0,Alban Lafont,4-2-3-1,4-4-2,Florent Batta,Match Report,
2022-10-13,18:45,Europa Lg,Group stage,Thu,Home,L,0,4,de Freiburg,1.0,1.8,43,31845.0,Alban Lafont,4-2-3-1,4-2-3-1,Horațiu Fesnic,Match Report,
