Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2021-08-08,13:00,Ligue 1,Matchweek 1,Sun,Home,D,1,1,Lens,0.7,2.1,59.0,22567.0,Hamari Traoré,4-3-3,3-4-1-2,Bastien Dechepy,Match Report,
2021-08-15,15:00,Ligue 1,Matchweek 2,Sun,Away,D,1,1,Brest,1.0,1.9,59.0,14271.0,Hamari Traoré,4-3-3,4-2-3-1,Benoît Bastien,Match Report,
2021-08-19,20:00,Conf Lg,Play-off round,Thu,Home,W,2,0,no Rosenborg,,,,14872.0,Hamari Traoré,4-4-2,4-3-3,Radu Petrescu,Match Report,Leg 1 of 2
2021-08-22,17:00,Ligue 1,Matchweek 3,Sun,Home,W,1,0,Nantes,0.9,0.5,62.0,27569.0,Hamari Traoré,4-2-3-1,4-4-2,Stéphanie Frappart,Match Report,
2021-08-26,19:00,Conf Lg,Play-off round,Thu,Away,W,3,1,no Rosenborg,,,,5116.0,Hamari Traoré,4-2-3-1,4-3-3,Paweł Raczkowski,Match Report,Leg 2 of 2; Rennes won
2021-08-29,15:00,Ligue 1,Matchweek 4,Sun,Away,L,0,2,Angers,0.9,2.2,48.0,6473.0,Hamari Traoré,4-2-3-1,3-4-1-2,Antony Gautier,Match Report,
2021-09-12,15:00,Ligue 1,Matchweek 5,Sun,Home,L,0,2,Reims,0.6,0.5,63.0,24486.0,Hamari Traoré,4-3-3,3-1-4-2,Thomas Léonard,Match Report,
2021-09-16,18:45,Conf Lg,Group stage,Thu,Home,D,2,2,eng Tottenham,2.0,1.3,42.0,22000.0,Hamari Traoré,4-1-4-1,4-2-3-1,Halis Özkahya,Match Report,
2021-09-19,17:00,Ligue 1,Matchweek 6,Sun,Away,L,0,2,Marseille,1.5,2.1,36.0,54188.0,Hamari Traoré,4-4-2,3-3-3-1,Willy Delajod,Match Report,
2021-09-22,19:00,Ligue 1,Matchweek 7,Wed,Home,W,6,0,Clermont Foot,2.4,0.3,55.0,24109.0,Benjamin Bourigeaud,4-3-3,4-2-3-1,Benoît Bastien,Match Report,
