Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2021-08-08,15:00,Ligue 1,Matchweek 1,Sun,Home,L,0,2,Angers,0.3,0.9,57,23250.0,Dimitri Liénard,4-4-2,3-4-1-2,Jeremy Stinat,Match Report,
2021-08-14,21:00,Ligue 1,Matchweek 2,Sat,Away,L,2,4,Paris S-G,0.7,3.1,35,46962.0,Dimitri Liénard,5-3-2,4-3-3,Willy Delajod,Match Report,
2021-08-22,15:00,Ligue 1,Matchweek 3,Sun,Home,D,1,1,Troyes,2.2,1.4,60,22185.0,Dimitri Liénard,5-3-2,3-4-3,Jérôme Brisard,Match Report,
2021-08-29,15:00,Ligue 1,Matchweek 4,Sun,Home,W,3,1,Brest,1.4,0.8,48,22341.0,Dimitri Liénard,5-3-2,4-3-3,Romain Lissorgue,Match Report,
2021-09-12,20:45,Ligue 1,Matchweek 5,Sun,Away,L,1,3,Lyon,1.6,1.6,42,33267.0,Alexander Djiku,5-3-2,4-2-3-1,Ruddy Buquet,Match Report,
2021-09-17,21:00,Ligue 1,Matchweek 6,Fri,Home,W,3,0,Metz,2.0,0.6,46,25437.0,Dimitri Liénard,5-3-2,3-4-3,Eric Wattellier,Match Report,
2021-09-22,21:00,Ligue 1,Matchweek 7,Wed,Away,W,1,0,Lens,1.1,1.5,41,,Alexander Djiku,5-3-2,3-4-1-2,Jeremy Stinat,Match Report,
2021-09-25,19:00,Ligue 1,Matchweek 8,Sat,Home,L,1,2,Lille,0.4,2.3,58,23762.0,Dimitri Liénard,5-3-2,4-4-2,François Letexier,Match Report,
2021-10-02,17:00,Ligue 1,Matchweek 9,Sat,Away,D,1,1,Montpellier,0.3,1.1,45,9851.0,Alexander Djiku,5-3-2,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,
2021-10-17,15:00,Ligue 1,Matchweek 10,Sun,Home,W,5,1,Saint-Étienne,2.1,1.0,52,25371.0,Dimitri Liénard,5-3-2,4-2-3-1,Mikael Lesage,Match Report,
2021-10-24,15:00,Ligue 1,Matchweek 11,Sun,Away,L,0,1,Rennes,0.9,1.2,37,27185.0,Alexander Djiku,5-3-2,4-4-2,Stéphanie Frappart,Match Report,
2021-10-31,15:00,Ligue 1,Matchweek 12,Sun,Home,W,4,0,Lorient,2.3,1.3,54,24002.0,Alexander Djiku,5-3-2,3-4-1-2,Florent Batta,Match Report,
2021-11-07,15:00,Ligue 1,Matchweek 13,Sun,Away,D,2,2,Nantes,2.1,2.3,53,18853.0,Alexander Djiku,5-3-2,4-2-3-1,Clément Turpin,Match Report,
2021-11-21,15:00,Ligue 1,Matchweek 14,Sun,Home,D,1,1,Reims,1.7,0.9,69,24439.0,Dimitri Liénard,5-3-2,4-2-3-1,Amaury Delerue,Match Report,
2021-11-28,15:00,Ligue 1,Matchweek 15,Sun,Away,D,1,1,Monaco,1.0,2.1,41,3478.0,Alexander Djiku,5-3-2,4-2-3-1,Antony Gautier,Match Report,
2021-12-01,19:00,Ligue 1,Matchweek 16,Wed,Home,W,5,2,Bordeaux,2.8,1.1,50,24378.0,Dimitri Liénard,5-3-2,4-3-3,Willy Delajod,Match Report,
2021-12-05,17:00,Ligue 1,Matchweek 17,Sun,Away,W,3,0,Nice,2.6,1.3,40,16220.0,Alexander Djiku,5-3-2,4-4-2,Jérémie Pignard,Match Report,
2021-12-12,17:00,Ligue 1,Matchweek 18,Sun,Home,L,0,2,Marseille,1.9,0.7,50,26028.0,Alexander Djiku,5-3-2,4-1-4-1,Mikael Lesage,Match Report,
2021-12-16,21:00,Coupe de France,Round of 64,Thu,Away,W,1,0,Valenciennes,,,61,3502.0,Dimitri Liénard,5-3-2,5-4-1,Olivier Thual,Match Report,
2022-01-02,16:00,Coupe de France,Round of 32,Sun,Away,L,0,1,Montpellier,,,51,4575.0,Dimitri Liénard,3-5-2,4-2-3-1,Amaury Delerue,Match Report,
2022-01-09,15:00,Ligue 1,Matchweek 20,Sun,Away,W,2,0,Metz,2.6,0.3,59,5000.0,Dimitri Liénard,5-3-2,5-3-2,Antony Gautier,Match Report,
2022-01-16,15:00,Ligue 1,Matchweek 21,Sun,Home,W,3,1,Montpellier,1.6,0.6,56,5217.0,Dimitri Liénard,3-5-2,4-2-3-1,Pierre Gaillouste,Match Report,
2022-01-19,19:00,Ligue 1,Matchweek 19,Wed,Away,W,2,0,Clermont Foot,1.5,0.6,45,4219.0,Adrien Thomasson,3-5-2,4-3-3,Bastien Dechepy,Match Report,
2022-01-23,15:00,Ligue 1,Matchweek 22,Sun,Away,L,3,4,Bordeaux,1.9,1.9,65,3308.0,Dimitri Liénard,3-5-2,4-2-3-1,Mikael Lesage,Match Report,
2022-02-06,15:00,Ligue 1,Matchweek 23,Sun,Home,W,1,0,Nantes,1.4,0.4,51,22240.0,Dimitri Liénard,3-5-2,5-3-2,Amaury Delerue,Match Report,
2022-02-13,15:00,Ligue 1,Matchweek 24,Sun,Away,W,1,0,Angers,0.3,0.5,36,6521.0,Dimitri Liénard,3-5-2,3-5-2,Pierre Gaillouste,Match Report,
