Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2020-09-14,18:30,DFB-Pokal,First round,Mon,Away,L,0,1,Rot-Weiss Essen,,,66,300.0,Fabian Klos,4-3-3,4-4-2,Harm Osmers,Match Report,
2020-09-19,15:30,Bundesliga,Matchweek 1,Sat,Away,D,1,1,Eint Frankfurt,0.8,2.3,38,6500.0,Fabian Klos,4-1-4-1,3-4-1-2,Benjamin Brand,Match Report,
2020-09-26,15:30,Bundesliga,Matchweek 2,Sat,Home,W,1,0,Köln,0.2,1.4,47,5460.0,Fabian Klos,4-3-3,4-2-3-1,Patrick Ittrich,Match Report,
2020-10-03,15:30,Bundesliga,Matchweek 3,Sat,Away,L,0,1,Werder Bremen,1.1,0.4,62,300.0,Fabian Klos,4-2-3-1,5-3-2,Robert Schröder,Match Report,
2020-10-17,18:30,Bundesliga,Matchweek 4,Sat,Home,L,1,4,Bayern Munich,1.4,3.1,34,,Fabian Klos,4-2-3-1,4-2-3-1,Daniel Siebert,Match Report,
2020-10-25,15:30,Bundesliga,Matchweek 5,Sun,Away,L,1,2,Wolfsburg,0.5,2.2,52,4519.0,Fabian Klos,4-2-3-1,4-1-4-1,Manuel Gräfe,Match Report,
2020-10-31,15:30,Bundesliga,Matchweek 6,Sat,Home,L,0,2,Dortmund,0.3,2.4,25,,Fabian Klos,5-3-2,4-2-3-1,Bastian Dankert,Match Report,
2020-11-07,15:30,Bundesliga,Matchweek 7,Sat,Away,L,0,5,Union Berlin,0.3,2.0,49,,Fabian Klos,4-2-3-1,4-2-3-1,Matthias Jöllenbeck,Match Report,
2020-11-21,15:30,Bundesliga,Matchweek 8,Sat,Home,L,1,2,Leverkusen,0.0,1.2,31,,Fabian Klos,4-1-4-1,4-3-3,Felix Brych,Match Report,
2020-11-28,15:30,Bundesliga,Matchweek 9,Sat,Away,L,1,2,RB Leipzig,1.6,2.5,42,,Fabian Klos,4-2-3-1,3-4-3,Robert Hartmann,Match Report,
2020-12-05,15:30,Bundesliga,Matchweek 10,Sat,Home,W,2,1,Mainz 05,1.2,2.8,48,,Fabian Klos,4-4-2,3-4-3,Marco Fritz,Match Report,
2020-12-12,15:30,Bundesliga,Matchweek 11,Sat,Away,L,0,2,Freiburg,0.2,2.4,52,,Fabian Klos,4-1-3-2,3-4-3,Harm Osmers,Match Report,
2020-12-16,20:30,Bundesliga,Matchweek 12,Wed,Home,L,0,1,Augsburg,0.6,0.4,48,,Fabian Klos,4-4-2,3-4-1-2,Patrick Ittrich,Match Report,
2020-12-19,15:30,Bundesliga,Matchweek 13,Sat,Away,W,1,0,Schalke 04,1.0,0.4,54,,Fabian Klos,4-4-2,4-2-3-1,Bastian Dankert,Match Report,
2021-01-02,15:30,Bundesliga,Matchweek 14,Sat,Home,L,0,1,Gladbach,0.9,2.5,42,,Fabian Klos,4-4-2,4-2-3-1,Sascha Stegemann,Match Report,
2021-01-10,18:00,Bundesliga,Matchweek 15,Sun,Home,W,1,0,Hertha BSC,0.7,0.6,49,,Fabian Klos,4-4-2,4-3-3,Guido Winkmann,Match Report,
