Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2022-07-31,15:31,DFB-Pokal,Round of 64,Sun,Away,W,4,0,Blau-Weiß Lohne,,,68,4150,Jeffrey Gouweleeuw,3-1-4-2,4-4-2,Sven Waschitzki,Match Report,
2022-08-06,15:30,Bundesliga,Matchweek 1,Sat,Home,L,0,4,Freiburg,0.7,1.2,53,25310,Jeffrey Gouweleeuw,3-1-4-2,4-2-3-1,Bastian Dankert,Match Report,
2022-08-13,15:30,Bundesliga,Matchweek 2,Sat,Away,W,2,1,Leverkusen,0.4,2.5,34,22903,Jeffrey Gouweleeuw,3-5-2,4-2-3-1,Benjamin Cortus,Match Report,
2022-08-20,15:30,Bundesliga,Matchweek 3,Sat,Home,L,1,2,Mainz 05,0.5,2.1,50,23755,Jeffrey Gouweleeuw,3-4-3,3-5-2,Sascha Stegemann,Match Report,
2022-08-27,15:30,Bundesliga,Matchweek 4,Sat,Away,L,0,1,Hoffenheim,0.6,1.9,50,17206,Jeffrey Gouweleeuw,3-4-1-2,3-5-2,Tobias Welz,Match Report,
2022-09-04,15:30,Bundesliga,Matchweek 5,Sun,Home,L,0,2,Hertha BSC,0.4,2.1,48,25789,Jeffrey Gouweleeuw,3-5-2,4-3-3,Harm Osmers,Match Report,
2022-09-09,20:30,Bundesliga,Matchweek 6,Fri,Away,W,1,0,Werder Bremen,1.0,1.3,32,41000,Jeffrey Gouweleeuw,3-4-3,3-1-4-2,Martin Petersen,Match Report,
2022-09-17,15:30,Bundesliga,Matchweek 7,Sat,Home,W,1,0,Bayern Munich,1.7,1.6,24,30660,Jeffrey Gouweleeuw,4-2-3-1,4-2-3-1,Marco Fritz,Match Report,
2022-10-02,17:30,Bundesliga,Matchweek 8,Sun,Away,W,3,2,Schalke 04,1.4,1.8,44,60328,Jeffrey Gouweleeuw,4-2-2-2,4-2-2-2,Daniel Schlager,Match Report,
2022-10-08,15:30,Bundesliga,Matchweek 9,Sat,Home,D,1,1,Wolfsburg,2.0,1.8,49,26220,Jeffrey Gouweleeuw,4-1-3-2,4-5-1,Daniel Siebert,Match Report,
2022-10-16,15:30,Bundesliga,Matchweek 10,Sun,Away,L,2,3,Köln,0.4,1.5,36,49000,Elvis Rexhbeçaj,4-4-2,4-1-3-2,Felix Zwayer,Match Report,
2022-10-19,20:45,DFB-Pokal,Round of 32,Wed,Home,L,2,5,Bayern Munich,,,33,30660,Jeffrey Gouweleeuw,4-4-2,4-2-3-1,Bastian Dankert,Match Report,
