Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2022-07-30,20:30,DFL-Supercup,DFL-Supercup,Sat,Away,W,5,3,RB Leipzig,,,58,47069,Manuel Neuer,4-2-3-1,3-4-3,Robert Schröder,Match Report,
2022-08-05,20:30,Bundesliga,Matchweek 1,Fri,Away,W,6,1,Eint Frankfurt,4.0,0.9,63,51500,Manuel Neuer,4-4-2,3-4-3,Deniz Aytekin,Match Report,
2022-08-14,17:30,Bundesliga,Matchweek 2,Sun,Home,W,2,0,Wolfsburg,2.0,0.5,68,75000,Manuel Neuer,4-2-3-1,4-5-1,Harm Osmers,Match Report,
2022-08-21,17:30,Bundesliga,Matchweek 3,Sun,Away,W,7,0,Bochum,2.9,0.7,64,26000,Manuel Neuer,4-4-2,4-4-2,Daniel Siebert,Match Report,
2022-08-27,18:30,Bundesliga,Matchweek 4,Sat,Home,D,1,1,Gladbach,2.8,0.5,69,75000,Manuel Neuer,4-2-2-2,4-2-3-1,Daniel Schlager,Match Report,
2022-08-31,20:46,DFB-Pokal,Round of 64,Wed,Away,W,5,0,Viktoria Köln,,,77,50000,Thomas Müller,4-2-3-1,4-3-3,Matthias Jöllenbeck,Match Report,
2022-09-03,15:30,Bundesliga,Matchweek 5,Sat,Away,D,1,1,Union Berlin,1.5,0.3,74,22012,Manuel Neuer,4-2-3-1,3-5-2,Frank Willenborg,Match Report,
2022-09-07,21:00,Champions Lg,Group stage,Wed,Away,W,2,0,it Inter,2.5,0.7,56,58951,Manuel Neuer,4-2-3-1,3-5-2,Clément Turpin,Match Report,
2022-09-10,15:30,Bundesliga,Matchweek 6,Sat,Home,D,2,2,Stuttgart,2.2,1.2,66,75000,Manuel Neuer,4-2-3-1,3-5-2,Christian Dingert,Match Report,
2022-09-13,21:00,Champions Lg,Group stage,Tue,Home,W,2,0,es Barcelona,1.7,2.0,47,75000,Manuel Neuer,4-2-3-1,4-3-3,Danny Makkelie,Match Report,
2022-09-17,15:30,Bundesliga,Matchweek 7,Sat,Away,L,0,1,Augsburg,1.6,1.7,76,30660,Manuel Neuer,4-2-3-1,4-2-3-1,Marco Fritz,Match Report,
2022-09-30,20:30,Bundesliga,Matchweek 8,Fri,Home,W,4,0,Leverkusen,1.9,0.8,62,75000,Manuel Neuer,4-2-3-1,4-2-3-1,Tobias Stieler,Match Report,
2022-10-04,18:45,Champions Lg,Group stage,Tue,Home,W,5,0,cz Viktoria Plzeň,2.4,0.5,70,75000,Manuel Neuer,4-2-3-1,4-2-3-1,Nikola Dabanović,Match Report,
2022-10-08,18:30,Bundesliga,Matchweek 9,Sat,Away,D,2,2,Dortmund,0.6,1.6,56,81365,Manuel Neuer,4-2-3-1,4-3-3,Deniz Aytekin,Match Report,
2022-10-12,21:00,Champions Lg,Group stage,Wed,Away,W,4,2,cz Viktoria Plzeň,3.0,1.2,67,11326,Thomas Müller,4-2-3-1,4-2-3-1,Bartosz Frankowski,Match Report,
2022-10-16,19:30,Bundesliga,Matchweek 10,Sun,Home,W,5,0,Freiburg,2.1,0.3,66,75000,Joshua Kimmich,4-2-3-1,4-4-2,Sascha Stegemann,Match Report,
2022-10-19,20:45,DFB-Pokal,Round of 32,Wed,Away,W,5,2,Augsburg,,,67,30660,Joshua Kimmich,4-2-3-1,4-4-2,Bastian Dankert,Match Report,
2022-10-22,15:30,Bundesliga,Matchweek 11,Sat,Away,W,2,0,Hoffenheim,2.4,0.8,58,30150,Joshua Kimmich,4-2-3-1,3-5-2,Sven Jablonski,Match Report,
2022-10-26,21:00,Champions Lg,Group stage,Wed,Away,W,3,0,es Barcelona,2.1,0.7,48,84016,Joshua Kimmich,4-2-3-1,4-3-3,Anthony Taylor,Match Report,
2022-10-29,15:30,Bundesliga,Matchweek 12,Sat,Home,W,6,2,Mainz 05,3.1,2.2,69,75000,Joshua Kimmich,4-2-3-1,5-3-2,Felix Zwayer,Match Report,
2022-11-01,21:00,Champions Lg,Group stage,Tue,Home,W,2,0,it Inter,1.5,0.7,60,75000,Joshua Kimmich,4-2-3-1,3-5-2,Ivan Kružliak,Match Report,
2022-11-05,15:30,Bundesliga,Matchweek 13,Sat,Away,W,3,2,Hertha BSC,1.9,1.2,72,74667,Manuel Neuer,4-2-3-1,4-4-2,Bastian Dankert,Match Report,
2022-11-08,20:30,Bundesliga,Matchweek 14,Tue,Home,W,6,1,Werder Bremen,4.4,1.3,61,75000,Manuel Neuer,4-2-3-1,3-1-4-2,Robert Hartmann,Match Report,
2022-11-12,18:30,Bundesliga,Matchweek 15,Sat,Away,W,2,0,Schalke 04,1.9,0.8,68,62271,Manuel Neuer,4-2-3-1,4-2-3-1,Felix Zwayer,Match Report,
2023-01-20,20:30,Bundesliga,Matchweek 16,Fri,Away,D,1,1,RB Leipzig,0.7,0.7,58,47069,Joshua Kimmich,4-2-3-1,4-2-3-1,Daniel Siebert,Match Report,
2023-01-24,20:30,Bundesliga,Matchweek 17,Tue,Home,D,1,1,Köln,1.4,0.8,77,75000,Joshua Kimmich,4-2-3-1,4-2-3-1,Tobias Stieler,Match Report,
2023-01-28,18:30,Bundesliga,Matchweek 18,Sat,Home,D,1,1,Eint Frankfurt,1.6,0.6,67,75000,Thomas Müller,4-1-4-1,3-4-3,Sven Jablonski,Match Report,
2023-02-01,20:45,DFB-Pokal,Round of 16,Wed,Away,W,4,0,Mainz 05,,,69,33305,Thomas Müller,3-1-4-2,3-4-3,Deniz Aytekin,Match Report,
2023-02-05,17:30,Bundesliga,Matchweek 19,Sun,Away,W,4,2,Wolfsburg,0.5,2.2,48,30000,Thomas Müller,4-2-3-1,3-5-2,Harm Osmers,Match Report,
2023-02-11,15:30,Bundesliga,Matchweek 20,Sat,Home,W,3,0,Bochum,3.7,0.3,64,75000,Thomas Müller,3-1-4-2,4-2-3-1,Matthias Jöllenbeck,Match Report,
2023-02-14,21:00,Champions Lg,Round of 16,Tue,Away,W,1,0,fr Paris S-G,1.4,0.8,54,46435,Joshua Kimmich,3-4-3,4-4-2,Michael Oliver,Match Report,Leg 1 of 2
2023-02-18,15:30,Bundesliga,Matchweek 21,Sat,Away,L,2,3,Gladbach,1.1,2.4,47,54042,Thomas Müller,3-1-4-2,4-2-3-1,Tobias Welz,Match Report,
2023-02-26,17:30,Bundesliga,Matchweek 22,Sun,Home,W,3,0,Union Berlin,3.6,0.4,69,75000,Thomas Müller,4-2-3-1,3-5-2,Marco Fritz,Match Report,
2023-03-04,18:30,Bundesliga,Matchweek 23,Sat,Away,W,2,1,Stuttgart,2.1,0.8,60,47800,Thomas Müller,4-2-3-1,4-3-3,Christian Dingert,Match Report,
2023-03-08,21:00,Champions Lg,Round of 16,Wed,Home,W,2,0,fr Paris S-G,1.7,1.1,45,75000,Thomas Müller,4-2-3-1,3-5-2,Daniele Orsato,Match Report,Leg 2 of 2; Bayern Munich won
2023-03-11,15:30,Bundesliga,Matchweek 24,Sat,Home,W,5,3,Augsburg,2.4,2.5,65,75000,Joshua Kimmich,3-4-3,4-2-3-1,Florian Badstübner,Match Report,
2023-03-19,17:30,Bundesliga,Matchweek 25,Sun,Away,L,1,2,Leverkusen,1.0,2.0,60,30210,Thomas Müller,3-1-4-2,3-4-3,Tobias Stieler,Match Report,
2023-04-01,18:30,Bundesliga,Matchweek 26,Sat,Home,W,4,2,Dortmund,2.4,1.5,48,75000,Thomas Müller,4-2-3-1,4-5-1,Marco Fritz,Match Report,
2023-04-04,20:45,DFB-Pokal,Quarter-finals,Tue,Home,L,1,2,Freiburg,,,67,75000,Thomas Müller,4-2-3-1,4-4-2,Harm Osmers,Match Report,
2023-04-08,15:30,Bundesliga,Matchweek 27,Sat,Away,W,1,0,Freiburg,3.5,1.0,66,34700,Thomas Müller,4-1-4-1,4-2-2-2,Daniel Siebert,Match Report,
2023-04-11,20:00,Champions Lg,Quarter-finals,Tue,Away,L,0,3,eng Manchester City,0.9,1.8,56,52257,Joshua Kimmich,4-2-3-1,3-2-4-1,Jesús Gil,Match Report,Leg 1 of 2
2023-04-15,15:30,Bundesliga,Matchweek 28,Sat,Home,D,1,1,Hoffenheim,1.6,0.4,66,75000,Thomas Müller,4-2-3-1,3-5-2,Bastian Dankert,Match Report,
2023-04-19,21:00,Champions Lg,Quarter-finals,Wed,Home,D,1,1,eng Manchester City,2.2,1.3,58,75000,Joshua Kimmich,4-2-3-1,3-2-4-1,Clément Turpin,Match Report,Leg 2 of 2; Manchester City won
2023-04-22,15:30,Bundesliga,Matchweek 29,Sat,Away,L,1,3,Mainz 05,1.9,1.6,74,33305,Thomas Müller,3-1-4-2,3-4-3,Felix Zwayer,Match Report,
2023-04-30,15:30,Bundesliga,Matchweek 30,Sun,Home,W,2,0,Hertha BSC,2.7,0.1,80,75000,Joshua Kimmich,4-2-3-1,4-4-2,Patrick Ittrich,Match Report,
2023-05-06,18:30,Bundesliga,Matchweek 31,Sat,Away,W,2,1,Werder Bremen,1.4,0.7,67,42100,Joshua Kimmich,4-2-3-1,3-5-2,Christian Dingert,Match Report,
2023-05-13,15:30,Bundesliga,Matchweek 32,Sat,Home,W,6,0,Schalke 04,5.3,0.4,62,75000,Thomas Müller,4-1-4-1,4-2-3-1,Robert Schröder,Match Report,
2023-05-20,18:30,Bundesliga,Matchweek 33,Sat,Home,L,1,3,RB Leipzig,1.6,2.8,60,75000,Thomas Müller,4-2-3-1,4-2-2-2,Deniz Aytekin,Match Report,
2023-05-27,15:30,Bundesliga,Matchweek 34,Sat,Away,W,2,1,Köln,1.3,1.3,53,50000,Thomas Müller,4-2-3-1,4-2-3-1,Sven Jablonski,Match Report,
