Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2022-07-30,13:00,DFB-Pokal,Round of 64,Sat,Away,W,3,0,Viktoria 1889,,,66,5573,Anthony Losilla,4-2-3-1,3-5-1-1,Patrick Alt,Match Report,
2022-08-06,15:30,Bundesliga,Matchweek 1,Sat,Home,L,1,2,Mainz 05,0.9,1.4,59,24110,Anthony Losilla,4-2-3-1,5-4-1,Felix Zwayer,Match Report,
2022-08-13,15:30,Bundesliga,Matchweek 2,Sat,Away,L,2,3,Hoffenheim,1.5,2.6,41,17005,Anthony Losilla,3-4-1-2,3-5-2,Patrick Ittrich,Match Report,
2022-08-21,17:30,Bundesliga,Matchweek 3,Sun,Home,L,0,7,Bayern Munich,0.7,2.9,36,26000,Anthony Losilla,4-4-2,4-4-2,Daniel Siebert,Match Report,
2022-08-26,20:30,Bundesliga,Matchweek 4,Fri,Away,L,0,1,Freiburg,1.2,3.9,52,32800,Anthony Losilla,4-2-3-1,4-2-3-1,Marco Fritz,Match Report,
2022-09-03,15:30,Bundesliga,Matchweek 5,Sat,Home,L,0,2,Werder Bremen,0.8,2.0,50,25800,Anthony Losilla,4-2-3-1,3-5-2,Robert Schröder,Match Report,
2022-09-10,18:30,Bundesliga,Matchweek 6,Sat,Away,L,1,3,Schalke 04,1.1,1.5,55,62041,Anthony Losilla,4-2-3-1,4-2-3-1,Felix Zwayer,Match Report,
2022-09-18,17:30,Bundesliga,Matchweek 7,Sun,Home,D,1,1,Köln,0.2,2.1,35,25800,Anthony Losilla,4-2-3-1,4-2-3-1,Bastian Dankert,Match Report,
2022-10-01,15:30,Bundesliga,Matchweek 8,Sat,Away,L,0,4,RB Leipzig,0.1,3.9,30,44403,Anthony Losilla,3-1-4-2,4-2-3-1,Florian Badstübner,Match Report,
2022-10-08,15:30,Bundesliga,Matchweek 9,Sat,Home,W,3,0,Eint Frankfurt,0.6,0.9,46,24850,Anthony Losilla,4-2-3-1,4-2-2-2,Martin Petersen,Match Report,
2022-10-15,15:30,Bundesliga,Matchweek 10,Sat,Away,L,1,4,Stuttgart,1.6,2.2,52,45400,Anthony Losilla,4-3-3,4-1-3-2,Christian Dingert,Match Report,
2022-10-18,20:45,DFB-Pokal,Round of 32,Tue,Away,W,1,0,Elversberg,,,56,6911,Anthony Losilla,4-2-3-1,3-4-3,Sven Waschitzki,Match Report,
