Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2023-08-12,15:30,DFB-Pokal,Round of 64,Sat,Away,W,6,1,Schott Mainz,,,73,30312,Emre Can,4-2-3-1,4-1-4-1,Benjamin Brand,Match Report,
2023-08-19,18:30,Bundesliga,Matchweek 1,Sat,Home,W,1,0,Köln,1.8,1.2,66,81365,Emre Can,4-2-3-1,4-2-3-1,Deniz Aytekin,Match Report,
2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Away,D,1,1,Bochum,1.3,1.0,64,26000,Emre Can,4-1-4-1,3-5-2,Robert Schröder,Match Report,
2023-09-01,20:30,Bundesliga,Matchweek 3,Fri,Home,D,2,2,Heidenheim,3.4,2.1,62,81365,Emre Can,4-3-3,4-2-3-1,Tobias Reichel,Match Report,
2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Away,W,4,2,Freiburg,2.3,1.0,50,34700,Emre Can,4-3-3,4-2-3-1,Tobias Stieler,Match Report,
2023-09-19,21:00,Champions Lg,Group stage,Tue,Away,L,0,2,fr Paris S-G,0.7,2.4,33,47379,Emre Can,3-5-2,4-3-3,Jesús Gil,Match Report,
2023-09-23,15:30,Bundesliga,Matchweek 5,Sat,Home,W,1,0,Wolfsburg,1.7,0.5,63,81365,Gregor Kobel,3-4-3,4-2-3-1,Sven Jablonski,Match Report,
2023-09-29,20:30,Bundesliga,Matchweek 6,Fri,Away,W,3,1,Hoffenheim,1.6,1.9,47,30150,Gregor Kobel,4-2-3-1,3-5-2,Florian Badstübner,Match Report,
2023-10-04,21:00,Champions Lg,Group stage,Wed,Home,D,0,0,it Milan,1.0,1.6,57,81365,Emre Can,4-2-3-1,4-3-3,Szymon Marciniak,Match Report,
2023-10-07,15:30,Bundesliga,Matchweek 7,Sat,Home,W,4,2,Union Berlin,1.6,1.4,66,81365,Emre Can,4-2-3-1,5-3-2,Patrick Ittrich,Match Report,
2023-10-20,20:30,Bundesliga,Matchweek 8,Fri,Home,W,1,0,Werder Bremen,2.6,0.4,57,81365,Emre Can,4-5-1,3-5-2,Felix Brych,Match Report,
2023-10-25,20:00,Champions Lg,Group stage,Wed,Away,W,1,0,eng Newcastle Utd,1.8,1.1,41,52024,Emre Can,4-3-3,4-3-3,Artur Soares Dias,Match Report,
2023-10-29,15:30,Bundesliga,Matchweek 9,Sun,Away,D,3,3,Eint Frankfurt,2.2,2.2,59,56500,Gregor Kobel,4-2-3-1,3-4-3,Robert Schröder,Match Report,
2023-11-01,18:00,DFB-Pokal,Round of 32,Wed,Home,W,1,0,Hoffenheim,,,54,81365,Gregor Kobel,4-1-4-1,3-4-1-2,Harm Osmers,Match Report,
2023-11-04,18:30,Bundesliga,Matchweek 10,Sat,Home,L,0,4,Bayern Munich,1.0,3.2,49,81365,Gregor Kobel,4-2-3-1,4-2-3-1,Deniz Aytekin,Match Report,
2023-11-07,18:45,Champions Lg,Group stage,Tue,Home,W,2,0,eng Newcastle Utd,1.4,0.6,46,81365,Gregor Kobel,4-2-3-1,4-3-3,Alejandro Hernández,Match Report,
2023-11-11,15:30,Bundesliga,Matchweek 11,Sat,Away,L,1,2,Stuttgart,1.0,4.2,41,55000,Gregor Kobel,4-3-3,4-2-2-2,Tobias Stieler,Match Report,
2023-11-25,15:30,Bundesliga,Matchweek 12,Sat,Home,W,4,2,Gladbach,3.2,1.0,51,81365,Emre Can,4-2-3-1,3-5-2,Sven Jablonski,Match Report,
2023-11-28,21:00,Champions Lg,Group stage,Tue,Away,W,3,1,it Milan,1.8,2.1,46,75292,Emre Can,4-2-3-1,4-2-3-1,István Kovács,Match Report,
2023-12-03,17:30,Bundesliga,Matchweek 13,Sun,Away,D,1,1,Leverkusen,0.7,2.1,31,30210,Emre Can,4-2-3-1,3-4-3,Daniel Siebert,Match Report,
2023-12-06,20:45,DFB-Pokal,Round of 16,Wed,Away,L,0,2,Stuttgart,,,46,54500,Emre Can,3-4-3,4-2-2-2,Benjamin Brand,Match Report,
2023-12-09,18:30,Bundesliga,Matchweek 14,Sat,Home,L,2,3,RB Leipzig,1.5,2.8,53,81365,Emre Can,4-2-3-1,3-4-3,Sven Jablonski,Match Report,
2023-12-13,21:00,Champions Lg,Group stage,Wed,Home,D,1,1,fr Paris S-G,1.4,2.8,41,81365,Gregor Kobel,4-2-3-1,3-4-3,Glenn Nyberg,Match Report,
2023-12-16,15:30,Bundesliga,Matchweek 15,Sat,Away,D,1,1,Augsburg,2.6,1.8,63,30660,Emre Can,4-3-3,4-2-3-1,Matthias Jöllenbeck,Match Report,
2023-12-19,20:30,Bundesliga,Matchweek 16,Tue,Home,D,1,1,Mainz 05,1.2,0.9,65,80350,Emre Can,4-3-3,3-4-3,Marco Fritz,Match Report,
2024-01-13,18:30,Bundesliga,Matchweek 17,Sat,Away,W,3,0,Darmstadt 98,3.1,1.0,52,17810,Emre Can,4-3-3,5-3-2,Deniz Aytekin,Match Report,
2024-01-20,15:30,Bundesliga,Matchweek 18,Sat,Away,W,4,0,Köln,3.4,1.3,61,50000,Gregor Kobel,4-3-3,4-4-2,Daniel Schlager,Match Report,
2024-01-28,17:30,Bundesliga,Matchweek 19,Sun,Home,W,3,1,Bochum,2.9,0.5,63,81365,Niklas Süle,4-2-2-2,4-3-3,Benjamin Brand,Match Report,
2024-02-02,20:30,Bundesliga,Matchweek 20,Fri,Away,D,0,0,Heidenheim,0.6,1.2,69,15000,Niklas Süle,4-2-2-2,4-2-3-1,Bastian Dankert,Match Report,
2024-02-09,20:30,Bundesliga,Matchweek 21,Fri,Home,W,3,0,Freiburg,1.9,0.3,66,81365,Emre Can,4-2-2-2,4-2-3-1,Harm Osmers,Match Report,
2024-02-17,15:30,Bundesliga,Matchweek 22,Sat,Away,D,1,1,Wolfsburg,1.4,1.8,63,28917,Emre Can,4-2-3-1,4-2-3-1,Martin Petersen,Match Report,
2024-02-20,21:00,Champions Lg,Round of 16,Tue,Away,D,1,1,nl PSV Eindhoven,0.9,1.6,45,34950,Emre Can,4-2-3-1,4-3-3,Srđan Jovanović,Match Report,Leg 1 of 2
2024-02-25,17:30,Bundesliga,Matchweek 23,Sun,Home,L,2,3,Hoffenheim,1.9,1.3,69,81365,Emre Can,4-2-3-1,3-4-1-2,Marco Fritz,Match Report,
2024-03-02,15:30,Bundesliga,Matchweek 24,Sat,Away,W,2,0,Union Berlin,1.6,1.2,61,22012,Emre Can,4-2-3-1,3-5-2,Christian Dingert,Match Report,
2024-03-09,18:30,Bundesliga,Matchweek 25,Sat,Away,W,2,1,Werder Bremen,1.2,1.8,54,42100,Emre Can,4-2-3-1,3-5-2,Deniz Aytekin,Match Report,
2024-03-13,21:00,Champions Lg,Round of 16,Wed,Home,W,2,0,nl PSV Eindhoven,1.5,1.5,48,81365,Emre Can,4-2-3-1,4-3-3,Daniele Orsato,Match Report,Leg 2 of 2; Dortmund won
2024-03-17,17:30,Bundesliga,Matchweek 26,Sun,Home,W,3,1,Eint Frankfurt,2.3,0.9,66,81365,Emre Can,4-3-3,3-4-3,Tobias Stieler,Match Report,
2024-03-30,18:30,Bundesliga,Matchweek 27,Sat,Away,W,2,0,Bayern Munich,0.9,1.5,39,75000,Emre Can,4-3-3,4-2-3-1,Harm Osmers,Match Report,
2024-04-06,18:30,Bundesliga,Matchweek 28,Sat,Home,L,0,1,Stuttgart,2.5,1.6,51,81365,Emre Can,4-3-3,3-4-3,Matthias Jöllenbeck,Match Report,
2024-04-10,21:00,Champions Lg,Quarter-finals,Wed,Away,L,1,2,es Atlético Madrid,0.9,2.2,66,68641,Emre Can,4-2-3-1,3-5-2,Marco Guida,Match Report,Leg 1 of 2
2024-04-13,15:30,Bundesliga,Matchweek 29,Sat,Away,W,2,1,Gladbach,1.3,1.1,54,54042,Gregor Kobel,4-2-3-1,3-4-3,Florian Badstübner,Match Report,
2024-04-16,21:00,Champions Lg,Quarter-finals,Tue,Home,W,4,2,es Atlético Madrid,1.5,1.9,52,81365,Emre Can,4-2-3-1,3-5-2,Slavko Vinčič,Match Report,Leg 2 of 2; Dortmund won
2024-04-21,17:30,Bundesliga,Matchweek 30,Sun,Home,D,1,1,Leverkusen,0.5,1.1,48,81365,Emre Can,4-1-4-1,3-4-3,Daniel Siebert,Match Report,
2024-04-27,15:30,Bundesliga,Matchweek 31,Sat,Away,L,1,4,RB Leipzig,1.6,2.6,61,47069,Gregor Kobel,4-5-1,4-2-2-2,Deniz Aytekin,Match Report,
2024-05-01,21:00,Champions Lg,Semi-finals,Wed,Home,W,1,0,fr Paris S-G,1.7,1.7,43,81365,Emre Can,4-2-3-1,4-3-3,Anthony Taylor,Match Report,Leg 1 of 2
2024-05-04,15:30,Bundesliga,Matchweek 32,Sat,Home,W,5,1,Augsburg,4.0,2.5,61,81365,Gregor Kobel,4-2-3-1,3-4-1-2,Robert Schröder,Match Report,
2024-05-07,21:00,Champions Lg,Semi-finals,Tue,Away,W,1,0,fr Paris S-G,0.7,3.0,31,46435,Emre Can,4-2-3-1,4-3-3,Daniele Orsato,Match Report,Leg 2 of 2; Dortmund won
2024-05-11,18:30,Bundesliga,Matchweek 33,Sat,Away,L,0,3,Mainz 05,0.4,2.1,68,33305,Niklas Süle,4-3-3,3-4-3,Tobias Stieler,Match Report,
2024-05-18,15:30,Bundesliga,Matchweek 34,Sat,Home,W,4,0,Darmstadt 98,2.6,0.3,72,81365,Marco Reus,4-3-3,3-4-1-2,Daniel Siebert,Match Report,
2024-06-01,20:00,Champions Lg,Final,Sat,Home,L,0,2,es Real Madrid,2.1,1.1,43,86212,Emre Can,4-3-3,4-3-1-2,Slavko Vinčič,Match Report,
