Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2020-09-12,15:30,DFB-Pokal,First round,Sat,Away,W,2,1,1860 Munich,,,71,,David Abraham,3-4-1-2,4-3-1-2,Martin Petersen,Match Report,
2020-09-19,15:30,Bundesliga,Matchweek 1,Sat,Home,D,1,1,Arminia,2.3,0.8,62,6500.0,David Abraham,3-4-1-2,4-1-4-1,Benjamin Brand,Match Report,
2020-09-25,20:30,Bundesliga,Matchweek 2,Fri,Away,W,3,1,Hertha BSC,1.5,1.2,44,4000.0,David Abraham,3-4-1-2,4-1-2-1-2,Bastian Dankert,Match Report,
2020-10-03,15:30,Bundesliga,Matchweek 3,Sat,Home,W,2,1,Hoffenheim,2.9,1.4,52,8000.0,David Abraham,3-4-1-2,3-1-4-2,Manuel Gräfe,Match Report,
2020-10-18,15:30,Bundesliga,Matchweek 4,Sun,Away,D,1,1,Köln,1.9,1.4,60,300.0,David Abraham,3-4-1-2,4-1-4-1,Sven Jablonski,Match Report,
2020-10-24,15:30,Bundesliga,Matchweek 5,Sat,Away,L,0,5,Bayern Munich,0.4,3.1,39,,Makoto Hasebe,3-4-1-2,4-2-3-1,Markus Schmidt,Match Report,
2020-10-31,15:30,Bundesliga,Matchweek 6,Sat,Home,D,1,1,Werder Bremen,2.0,0.8,71,,David Abraham,3-4-1-2,3-4-3,Felix Brych,Match Report,
2020-11-07,15:30,Bundesliga,Matchweek 7,Sat,Away,D,2,2,Stuttgart,3.2,2.0,59,,David Abraham,3-4-1-2,3-1-4-2,Sascha Stegemann,Match Report,
2020-11-21,18:30,Bundesliga,Matchweek 8,Sat,Home,D,1,1,RB Leipzig,1.0,0.8,38,,David Abraham,3-4-3,4-2-3-1,Sören Storks,Match Report,
2020-11-28,15:30,Bundesliga,Matchweek 9,Sat,Away,D,3,3,Union Berlin,1.4,2.4,56,,David Abraham,3-4-1-2,4-2-3-1,Tobias Reichel,Match Report,
2020-12-05,15:30,Bundesliga,Matchweek 10,Sat,Home,D,1,1,Dortmund,1.0,1.1,43,,David Abraham,3-4-3,3-4-3,Guido Winkmann,Match Report,
2020-12-11,20:30,Bundesliga,Matchweek 11,Fri,Away,L,1,2,Wolfsburg,1.5,2.9,46,,David Abraham,3-1-4-2,4-2-3-1,Markus Schmidt,Match Report,
2020-12-15,18:30,Bundesliga,Matchweek 12,Tue,Home,D,3,3,Gladbach,1.9,1.4,40,,David Abraham,3-4-3,4-2-3-1,Benjamin Cortus,Match Report,
2020-12-19,15:30,Bundesliga,Matchweek 13,Sat,Away,W,2,0,Augsburg,2.2,1.6,54,,Makoto Hasebe,3-4-3,4-4-2,Daniel Siebert,Match Report,
2021-01-02,15:30,Bundesliga,Matchweek 14,Sat,Home,W,2,1,Leverkusen,1.5,0.8,35,,David Abraham,3-4-3,4-3-3,Felix Brych,Match Report,
2021-01-09,15:30,Bundesliga,Matchweek 15,Sat,Away,W,2,0,Mainz 05,2.3,0.8,59,,David Abraham,3-4-3,4-2-3-1,Bastian Dankert,Match Report,
2021-01-12,20:45,DFB-Pokal,Second round,Tue,Away,L,1,4,Leverkusen,,,49,,Sebastian Rode,3-4-3,4-3-3,Christian Dingert,Match Report,
2021-01-17,18:00,Bundesliga,Matchweek 16,Sun,Home,W,3,1,Schalke 04,2.1,0.2,67,,David Abraham,3-4-3,4-4-2,Manuel Gräfe,Match Report,
2021-01-20,20:30,Bundesliga,Matchweek 17,Wed,Away,D,2,2,Freiburg,1.2,0.8,61,,Makoto Hasebe,3-4-3,4-4-2,Guido Winkmann,Match Report,
2021-01-23,15:30,Bundesliga,Matchweek 18,Sat,Away,W,5,1,Arminia,2.4,0.5,56,,Makoto Hasebe,3-4-3,4-1-3-2,Robert Schröder,Match Report,
2021-01-30,15:30,Bundesliga,Matchweek 19,Sat,Home,W,3,1,Hertha BSC,2.1,0.5,60,,Makoto Hasebe,3-4-3,4-2-3-1,Florian Badstübner,Match Report,
2021-02-07,15:30,Bundesliga,Matchweek 20,Sun,Away,W,3,1,Hoffenheim,1.3,0.9,53,,Makoto Hasebe,3-4-3,3-5-2,Daniel Siebert,Match Report,
2021-02-14,15:30,Bundesliga,Matchweek 21,Sun,Home,W,2,0,Köln,2.5,0.3,60,,Makoto Hasebe,3-4-3,3-1-4-2,Frank Willenborg,Match Report,
2021-02-20,15:30,Bundesliga,Matchweek 22,Sat,Home,W,2,1,Bayern Munich,1.4,2.2,40,,Makoto Hasebe,3-4-3,4-2-3-1,Sascha Stegemann,Match Report,
2021-02-26,20:30,Bundesliga,Matchweek 23,Fri,Away,L,1,2,Werder Bremen,1.2,1.0,68,,Makoto Hasebe,3-4-3,3-4-3,Robert Hartmann,Match Report,
2021-03-06,15:30,Bundesliga,Matchweek 24,Sat,Home,D,1,1,Stuttgart,1.5,0.5,58,,Makoto Hasebe,3-4-1-2,3-4-3,Robert Schröder,Match Report,
