Date,Comp,venue,opponent,goals_for,goals_against,result
2020-09-19,Bundesliga,Away,Werder Bremen,4,1,W
2020-09-25,Bundesliga,Home,Eint Frankfurt,1,3,L
2020-10-04,Bundesliga,Away,Bayern Munich,3,4,L
2020-10-17,Bundesliga,Home,Stuttgart,0,2,L
2020-10-24,Bundesliga,Away,RB Leipzig,1,2,L
2020-11-01,Bundesliga,Home,Wolfsburg,1,1,D
2020-11-07,Bundesliga,Away,Augsburg,3,0,W
2020-11-21,Bundesliga,Home,Dortmund,2,5,L
2020-11-29,Bundesliga,Away,Leverkusen,0,0,D
2020-12-04,Bundesliga,Home,Union Berlin,3,1,W
2020-12-12,Bundesliga,Away,Gladbach,1,1,D
2020-12-15,Bundesliga,Home,Mainz 05,0,0,D
2020-12-20,Bundesliga,Away,Freiburg,1,4,L
2021-01-02,Bundesliga,Home,Schalke 04,3,0,W
2021-01-10,Bundesliga,Away,Arminia,0,1,L
2021-01-16,Bundesliga,Away,Köln,0,0,D
2021-01-19,Bundesliga,Home,Hoffenheim,0,3,L
2021-01-23,Bundesliga,Home,Werder Bremen,1,4,L
2021-01-30,Bundesliga,Away,Eint Frankfurt,1,3,L
2021-02-05,Bundesliga,Home,Bayern Munich,0,1,L
2021-02-13,Bundesliga,Away,Stuttgart,1,1,D
2021-02-21,Bundesliga,Home,RB Leipzig,0,3,L
2021-02-27,Bundesliga,Away,Wolfsburg,0,2,L
2021-03-06,Bundesliga,Home,Augsburg,2,1,W
2021-03-13,Bundesliga,Away,Dortmund,0,2,L
2021-03-21,Bundesliga,Home,Leverkusen,3,0,W
2021-04-04,Bundesliga,Away,Union Berlin,1,1,D
2021-04-10,Bundesliga,Home,Gladbach,2,2,D
2021-05-03,Bundesliga,Away,Mainz 05,1,1,D
2021-05-06,Bundesliga,Home,Freiburg,3,0,W
2021-05-09,Bundesliga,Home,Arminia,0,0,D
2021-05-12,Bundesliga,Away,Schalke 04,2,1,W
2021-05-15,Bundesliga,Home,Köln,0,0,D
2021-05-22,Bundesliga,Away,Hoffenheim,1,2,L
