Date,Comp,venue,opponent,goals_for,goals_against,result
2020-09-19,Bundesliga,Away,Dortmund,0,3,L
2020-09-26,Bundesliga,Home,Union Berlin,1,1,D
2020-10-03,Bundesliga,Away,Köln,3,1,W
2020-10-17,Bundesliga,Home,Wolfsburg,1,1,D
2020-10-24,Bundesliga,Away,Mainz 05,3,2,W
2020-10-31,Bundesliga,Home,RB Leipzig,1,0,W
2020-11-08,Bundesliga,Away,Leverkusen,3,4,L
2020-11-21,Bundesliga,Home,Augsburg,1,1,D
2020-11-28,Bundesliga,Home,Schalke 04,4,1,W
2020-12-05,Bundesliga,Away,Freiburg,2,2,D
2020-12-12,Bundesliga,Home,Hertha BSC,1,1,D
2020-12-15,Bundesliga,Away,Eint Frankfurt,3,3,D
2020-12-19,Bundesliga,Home,Hoffenheim,1,2,L
2021-01-02,Bundesliga,Away,Arminia,1,0,W
2021-01-08,Bundesliga,Home,Bayern Munich,3,2,W
2021-01-16,Bundesliga,Away,Stuttgart,2,2,D
2021-01-19,Bundesliga,Home,Werder Bremen,1,0,W
2021-01-22,Bundesliga,Home,Dortmund,4,2,W
2021-01-30,Bundesliga,Away,Union Berlin,1,1,D
2021-02-06,Bundesliga,Home,Köln,1,2,L
2021-02-14,Bundesliga,Away,Wolfsburg,0,0,D
2021-02-20,Bundesliga,Home,Mainz 05,1,2,L
2021-02-27,Bundesliga,Away,RB Leipzig,2,3,L
2021-03-06,Bundesliga,Home,Leverkusen,0,1,L
2021-03-12,Bundesliga,Away,Augsburg,1,3,L
2021-03-20,Bundesliga,Away,Schalke 04,3,0,W
2021-04-03,Bundesliga,Home,Freiburg,2,1,W
2021-04-10,Bundesliga,Away,Hertha BSC,2,2,D
2021-04-17,Bundesliga,Home,Eint Frankfurt,4,0,W
2021-04-21,Bundesliga,Away,Hoffenheim,2,3,L
2021-04-25,Bundesliga,Home,Arminia,5,0,W
2021-05-08,Bundesliga,Away,Bayern Munich,0,6,L
2021-05-15,Bundesliga,Home,Stuttgart,1,2,L
2021-05-22,Bundesliga,Away,Werder Bremen,4,2,W
