Date,Comp,venue,opponent,goals_for,goals_against,result
2020-09-19,Bundesliga,Home,Freiburg,2,3,L
2020-09-26,Bundesliga,Away,Mainz 05,4,1,W
2020-10-03,Bundesliga,Home,Leverkusen,1,1,D
2020-10-17,Bundesliga,Away,Hertha BSC,2,0,W
2020-10-23,Bundesliga,Home,Köln,1,1,D
2020-10-30,Bundesliga,Away,Schalke 04,1,1,D
2020-11-07,Bundesliga,Home,Eint Frankfurt,2,2,D
2020-11-21,Bundesliga,Away,Hoffenheim,3,3,D
2020-11-28,Bundesliga,Home,Bayern Munich,1,3,L
2020-12-06,Bundesliga,Away,Werder Bremen,2,1,W
2020-12-12,Bundesliga,Away,Dortmund,5,1,W
2020-12-15,Bundesliga,Home,Union Berlin,2,2,D
2020-12-20,Bundesliga,Away,Wolfsburg,0,1,L
2021-01-02,Bundesliga,Home,RB Leipzig,0,1,L
2021-01-10,Bundesliga,Away,Augsburg,4,1,W
2021-01-16,Bundesliga,Home,Gladbach,2,2,D
2021-01-20,Bundesliga,Away,Arminia,0,3,L
2021-01-23,Bundesliga,Away,Freiburg,1,2,L
2021-01-29,Bundesliga,Home,Mainz 05,2,0,W
2021-02-06,Bundesliga,Away,Leverkusen,2,5,L
2021-02-13,Bundesliga,Home,Hertha BSC,1,1,D
2021-02-20,Bundesliga,Away,Köln,1,0,W
2021-02-27,Bundesliga,Home,Schalke 04,5,1,W
2021-03-06,Bundesliga,Away,Eint Frankfurt,1,1,D
2021-03-14,Bundesliga,Home,Hoffenheim,2,0,W
2021-03-20,Bundesliga,Away,Bayern Munich,0,4,L
2021-04-04,Bundesliga,Home,Werder Bremen,1,0,W
2021-04-10,Bundesliga,Home,Dortmund,2,3,L
2021-04-17,Bundesliga,Away,Union Berlin,1,2,L
2021-04-21,Bundesliga,Home,Wolfsburg,1,3,L
2021-04-25,Bundesliga,Away,RB Leipzig,0,2,L
2021-05-07,Bundesliga,Home,Augsburg,2,1,W
2021-05-15,Bundesliga,Away,Gladbach,2,1,W
2021-05-22,Bundesliga,Home,Arminia,0,2,L
