Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Bayern Munich,17,13,4,0,64,21,43,43,2.53,44.2,19.2,25.0,1.47,17,11,2,4,35,23,12,35,2.06,31.8,21.0,10.8,0.63
2,RB Leipzig,17,11,4,2,29,13,16,37,2.18,36.2,14.4,21.8,1.28,17,8,4,5,31,19,12,28,1.65,28.2,15.0,13.2,0.77
3,Dortmund,17,11,2,4,40,20,20,35,2.06,36.7,19.6,17.1,1.01,17,9,2,6,35,26,9,29,1.71,29.5,22.0,7.5,0.44
4,Wolfsburg,17,10,4,3,32,16,16,34,2.0,24.1,21.2,2.8,0.17,17,7,6,4,29,21,8,27,1.59,24.9,20.9,4.0,0.24
5,Eint Frankfurt,17,10,7,0,37,20,17,37,2.18,29.4,17.6,11.8,0.7,17,6,5,6,32,33,-1,23,1.35,29.1,29.3,-0.3,-0.01
6,Leverkusen,17,8,5,4,34,22,12,29,1.71,27.3,22.8,4.5,0.26,17,6,5,6,19,17,2,23,1.35,18.9,16.3,2.6,0.16
7,Union Berlin,17,8,8,1,32,18,14,32,1.88,25.4,17.7,7.6,0.45,17,4,6,7,18,25,-7,18,1.06,21.5,25.1,-3.5,-0.21
8,Gladbach,17,8,4,5,32,19,13,28,1.65,26.2,17.9,8.3,0.49,17,5,6,6,32,37,-5,21,1.24,28.7,27.9,0.9,0.05
9,Stuttgart,17,5,6,6,27,26,1,21,1.24,24.3,25.8,-1.5,-0.09,17,7,3,7,29,29,0,24,1.41,27.1,26.3,0.8,0.05
10,Freiburg,17,7,6,4,33,23,10,27,1.59,27.3,24.7,2.6,0.15,17,5,3,9,19,29,-10,18,1.06,18.3,27.7,-9.5,-0.56
11,Hoffenheim,17,8,3,6,32,24,8,27,1.59,24.9,25.0,-0.1,-0.01,17,3,7,7,20,30,-10,16,0.94,27.0,28.1,-1.1,-0.07
12,Mainz 05,17,4,4,9,16,26,-10,16,0.94,26.2,24.1,2.2,0.13,17,6,5,6,23,30,-7,23,1.35,23.7,28.0,-4.3,-0.25
13,Augsburg,17,6,4,7,21,25,-4,22,1.29,18.8,29.3,-10.5,-0.62,17,4,2,11,15,29,-14,14,0.82,18.5,28.0,-9.5,-0.56
14,Hertha BSC,17,5,5,7,21,26,-5,20,1.18,23.5,20.9,2.6,0.16,17,3,6,8,20,26,-6,15,0.88,18.4,26.6,-8.2,-0.48
15,Arminia,17,6,2,9,13,23,-10,20,1.18,17.5,27.2,-9.7,-0.57,17,3,6,8,13,29,-16,15,0.88,15.4,29.5,-14.1,-0.83
16,Köln,18,3,5,10,20,32,-12,14,0.78,20.8,26.2,-5.4,-0.32,18,6,4,8,19,30,-11,22,1.22,19.8,27.4,-7.6,-0.45
17,Werder Bremen,17,3,5,9,16,28,-12,14,0.82,15.4,24.9,-9.5,-0.56,17,4,5,8,20,29,-9,17,1.0,17.5,28.3,-10.7,-0.63
18,Schalke 04,17,3,3,11,14,34,-20,12,0.71,16.2,32.2,-16.0,-0.94,17,0,4,13,11,52,-41,4,0.24,12.5,37.0,-24.5,-1.44
