Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Arminia,26,57.8,34.0,23892,1954,7208,11721,5159,800,23886,537,322,60.0,214,39.9,13663,73263,36545,597,447,162,599,338,16052,1691
vs Augsburg,25,58.7,34.0,23777,1925,6742,11504,5730,911,23768,503,302,60.0,201,40.0,13799,70400,37566,698,481,167,564,308,15930,1662
vs Bayern Munich,29,38.9,34.0,18509,2927,7900,7239,3598,538,18506,541,317,58.6,224,41.4,9792,50827,24746,476,340,146,554,286,10741,1024
vs Dortmund,26,40.2,34.0,18918,2464,6931,8308,3905,537,18912,487,268,55.0,219,45.0,10187,55829,29360,534,426,113,529,297,11562,1107
vs Eint Frankfurt,25,46.0,34.0,19904,2376,7145,8659,4325,728,19898,597,333,55.8,263,44.1,10344,56044,28503,598,426,161,611,331,11659,1236
vs Freiburg,24,53.0,34.0,21614,2289,7284,9927,4634,690,21608,448,280,62.5,168,37.5,12026,67661,36242,670,519,155,560,263,14164,1254
vs Gladbach,23,48.1,34.0,21470,2306,7309,9906,4462,738,21464,531,316,59.5,215,40.5,11948,59414,28930,511,380,139,509,288,13805,1264
vs Hertha BSC,32,50.6,34.0,20327,1930,5898,9738,4892,677,20319,493,288,58.4,205,41.6,11248,61034,31353,588,464,114,578,280,12850,1394
vs Hoffenheim,30,48.9,34.0,21153,2305,7107,9944,4306,730,21144,539,310,57.5,229,42.5,11244,62150,32167,587,387,160,551,279,13392,1331
vs Köln,28,53.7,34.0,22441,1936,6449,11296,4891,726,22432,546,298,54.6,248,45.4,12534,66478,34561,551,423,124,590,338,14818,1472
vs Leverkusen,30,40.1,34.0,18528,2415,7163,7899,3662,613,18526,499,285,57.1,213,42.7,9391,49568,25000,501,317,136,565,287,10804,1022
vs Mainz 05,31,59.5,34.0,24350,2288,7770,11740,5034,741,24343,574,316,55.1,258,44.9,13586,68472,34782,594,424,128,651,335,16034,1502
vs RB Leipzig,25,40.0,34.0,18390,2721,7532,7845,3200,463,18387,460,270,58.7,190,41.3,9168,47158,22670,382,283,83,592,270,10530,865
vs Schalke 04,42,55.4,34.0,22218,1728,5928,10979,5514,940,22210,546,343,62.8,203,37.2,12453,65835,34429,641,497,177,538,349,14630,1468
vs Stuttgart,29,48.5,34.0,20718,2333,7138,8926,4875,835,20711,531,296,55.7,235,44.3,11049,59769,30399,619,431,166,567,261,12854,1278
vs Union Berlin,27,55.1,34.0,23260,1955,6932,12113,4383,564,23255,501,269,53.7,232,46.3,13397,67991,34287,479,354,94,585,271,15507,1364
vs Werder Bremen,27,56.2,34.0,23571,1826,6284,11760,5724,770,23565,556,328,59.0,228,41.0,13337,71235,37591,660,498,137,612,314,15854,1513
vs Wolfsburg,26,48.6,34.0,20357,2392,7539,8699,4299,673,20352,599,328,54.8,271,45.2,10821,52404,24966,449,308,126,604,323,12227,1181
