Date,Comp,venue,opponent,goals_for,goals_against,result
2023-08-19,Bundesliga,Away,Stuttgart,0,5,L
2023-08-26,Bundesliga,Home,Dortmund,1,1,D
2023-09-02,Bundesliga,Away,Augsburg,2,2,D
2023-09-16,Bundesliga,Home,Eint Frankfurt,1,1,D
2023-09-23,Bundesliga,Away,Bayern Munich,0,7,L
2023-09-30,Bundesliga,Home,Gladbach,1,3,L
2023-10-07,Bundesliga,Away,RB Leipzig,0,0,D
2023-10-21,Bundesliga,Away,Freiburg,1,2,L
2023-10-27,Bundesliga,Home,Mainz 05,2,2,D
2023-11-03,Bundesliga,Away,Darmstadt 98,2,1,W
2023-11-11,Bundesliga,Home,Köln,1,1,D
2023-11-26,Bundesliga,Away,Heidenheim,0,0,D
2023-12-02,Bundesliga,Home,Wolfsburg,3,1,W
2023-12-08,Bundesliga,Away,Hoffenheim,1,3,L
2023-12-16,Bundesliga,Home,Union Berlin,3,0,W
2023-12-20,Bundesliga,Away,Leverkusen,0,4,L
2024-01-14,Bundesliga,Home,Werder Bremen,1,1,D
2024-01-20,Bundesliga,Home,Stuttgart,1,0,W
2024-01-28,Bundesliga,Away,Dortmund,1,3,L
2024-02-03,Bundesliga,Home,Augsburg,1,1,D
2024-02-10,Bundesliga,Away,Eint Frankfurt,1,1,D
2024-02-18,Bundesliga,Home,Bayern Munich,3,2,W
2024-02-24,Bundesliga,Away,Gladbach,2,5,L
2024-03-02,Bundesliga,Home,RB Leipzig,1,4,L
2024-03-10,Bundesliga,Home,Freiburg,1,2,L
2024-03-16,Bundesliga,Away,Mainz 05,0,2,L
2024-03-31,Bundesliga,Home,Darmstadt 98,2,2,D
2024-04-06,Bundesliga,Away,Köln,1,2,L
2024-04-13,Bundesliga,Home,Heidenheim,1,1,D
2024-04-20,Bundesliga,Away,Wolfsburg,0,1,L
2024-04-26,Bundesliga,Home,Hoffenheim,3,2,W
2024-05-05,Bundesliga,Away,Union Berlin,4,3,W
2024-05-12,Bundesliga,Home,Leverkusen,0,5,L
2024-05-18,Bundesliga,Away,Werder Bremen,1,4,L
