Date,Comp,venue,opponent,goals_for,goals_against,result
2023-08-20,Bundesliga,Away,Eint Frankfurt,0,1,L
2023-08-26,Bundesliga,Home,Union Berlin,1,4,L
2023-09-02,Bundesliga,Away,Leverkusen,1,5,L
2023-09-17,Bundesliga,Home,Gladbach,3,3,D
2023-09-22,Bundesliga,Away,Stuttgart,1,3,L
2023-10-01,Bundesliga,Home,Werder Bremen,4,2,W
2023-10-07,Bundesliga,Away,Augsburg,2,1,W
2023-10-21,Bundesliga,Home,RB Leipzig,1,3,L
2023-10-28,Bundesliga,Away,Bayern Munich,0,8,L
2023-11-03,Bundesliga,Home,Bochum,1,2,L
2023-11-11,Bundesliga,Home,Mainz 05,0,0,D
2023-11-25,Bundesliga,Away,Freiburg,1,1,D
2023-12-01,Bundesliga,Home,Köln,0,1,L
2023-12-09,Bundesliga,Away,Heidenheim,2,3,L
2023-12-16,Bundesliga,Home,Wolfsburg,0,1,L
2023-12-19,Bundesliga,Away,Hoffenheim,3,3,D
2024-01-13,Bundesliga,Home,Dortmund,0,3,L
2024-01-20,Bundesliga,Home,Eint Frankfurt,2,2,D
2024-01-28,Bundesliga,Away,Union Berlin,0,1,L
2024-02-03,Bundesliga,Home,Leverkusen,0,2,L
2024-02-10,Bundesliga,Away,Gladbach,0,0,D
2024-02-17,Bundesliga,Home,Stuttgart,1,2,L
2024-02-24,Bundesliga,Away,Werder Bremen,1,1,D
2024-03-02,Bundesliga,Home,Augsburg,0,6,L
2024-03-09,Bundesliga,Away,RB Leipzig,0,2,L
2024-03-16,Bundesliga,Home,Bayern Munich,2,5,L
2024-03-31,Bundesliga,Away,Bochum,2,2,D
2024-04-06,Bundesliga,Away,Mainz 05,0,4,L
2024-04-14,Bundesliga,Home,Freiburg,0,1,L
2024-04-20,Bundesliga,Away,Köln,2,0,W
2024-04-28,Bundesliga,Home,Heidenheim,0,1,L
2024-05-04,Bundesliga,Away,Wolfsburg,0,3,L
2024-05-12,Bundesliga,Home,Hoffenheim,0,6,L
2024-05-18,Bundesliga,Away,Dortmund,0,4,L
