Date,Comp,venue,opponent,goals_for,goals_against,result
2023-08-19,Bundesliga,Home,Köln,1,0,W
2023-08-26,Bundesliga,Away,Bochum,1,1,D
2023-09-01,Bundesliga,Home,Heidenheim,2,2,D
2023-09-16,Bundesliga,Away,Freiburg,4,2,W
2023-09-23,Bundesliga,Home,Wolfsburg,1,0,W
2023-09-29,Bundesliga,Away,Hoffenheim,3,1,W
2023-10-07,Bundesliga,Home,Union Berlin,4,2,W
2023-10-20,Bundesliga,Home,Werder Bremen,1,0,W
2023-10-29,Bundesliga,Away,Eint Frankfurt,3,3,D
2023-11-04,Bundesliga,Home,Bayern Munich,0,4,L
2023-11-11,Bundesliga,Away,Stuttgart,1,2,L
2023-11-25,Bundesliga,Home,Gladbach,4,2,W
2023-12-03,Bundesliga,Away,Leverkusen,1,1,D
2023-12-09,Bundesliga,Home,RB Leipzig,2,3,L
2023-12-16,Bundesliga,Away,Augsburg,1,1,D
2023-12-19,Bundesliga,Home,Mainz 05,1,1,D
2024-01-13,Bundesliga,Away,Darmstadt 98,3,0,W
2024-01-20,Bundesliga,Away,Köln,4,0,W
2024-01-28,Bundesliga,Home,Bochum,3,1,W
2024-02-02,Bundesliga,Away,Heidenheim,0,0,D
2024-02-09,Bundesliga,Home,Freiburg,3,0,W
2024-02-17,Bundesliga,Away,Wolfsburg,1,1,D
2024-02-25,Bundesliga,Home,Hoffenheim,2,3,L
2024-03-02,Bundesliga,Away,Union Berlin,2,0,W
2024-03-09,Bundesliga,Away,Werder Bremen,2,1,W
2024-03-17,Bundesliga,Home,Eint Frankfurt,3,1,W
2024-03-30,Bundesliga,Away,Bayern Munich,2,0,W
2024-04-06,Bundesliga,Home,Stuttgart,0,1,L
2024-04-13,Bundesliga,Away,Gladbach,2,1,W
2024-04-21,Bundesliga,Home,Leverkusen,1,1,D
2024-04-27,Bundesliga,Away,RB Leipzig,1,4,L
2024-05-04,Bundesliga,Home,Augsburg,5,1,W
2024-05-11,Bundesliga,Away,Mainz 05,0,3,L
2024-05-18,Bundesliga,Home,Darmstadt 98,4,0,W
