Date,Comp,venue,opponent,goals_for,goals_against,result
2023-08-20,Bundesliga,Away,Union Berlin,1,4,L
2023-08-27,Bundesliga,Home,Eint Frankfurt,1,1,D
2023-09-02,Bundesliga,Away,Werder Bremen,0,4,L
2023-09-16,Bundesliga,Home,Stuttgart,1,3,L
2023-09-23,Bundesliga,Away,Augsburg,1,2,L
2023-09-30,Bundesliga,Home,Leverkusen,0,3,L
2023-10-06,Bundesliga,Away,Gladbach,2,2,D
2023-10-21,Bundesliga,Home,Bayern Munich,1,3,L
2023-10-27,Bundesliga,Away,Bochum,2,2,D
2023-11-04,Bundesliga,Home,RB Leipzig,2,0,W
2023-11-11,Bundesliga,Away,Darmstadt 98,0,0,D
2023-11-26,Bundesliga,Away,Hoffenheim,1,1,D
2023-12-03,Bundesliga,Home,Freiburg,0,1,L
2023-12-10,Bundesliga,Away,Köln,0,0,D
2023-12-16,Bundesliga,Home,Heidenheim,0,1,L
2023-12-19,Bundesliga,Away,Dortmund,1,1,D
2024-01-13,Bundesliga,Home,Wolfsburg,1,1,D
2024-01-26,Bundesliga,Away,Eint Frankfurt,0,1,L
2024-02-03,Bundesliga,Home,Werder Bremen,0,1,L
2024-02-07,Bundesliga,Home,Union Berlin,1,1,D
2024-02-11,Bundesliga,Away,Stuttgart,1,3,L
2024-02-17,Bundesliga,Home,Augsburg,1,0,W
2024-02-23,Bundesliga,Away,Leverkusen,1,2,L
2024-03-02,Bundesliga,Home,Gladbach,1,1,D
2024-03-09,Bundesliga,Away,Bayern Munich,1,8,L
2024-03-16,Bundesliga,Home,Bochum,2,0,W
2024-03-30,Bundesliga,Away,RB Leipzig,0,0,D
2024-04-06,Bundesliga,Home,Darmstadt 98,4,0,W
2024-04-13,Bundesliga,Home,Hoffenheim,4,1,W
2024-04-21,Bundesliga,Away,Freiburg,1,1,D
2024-04-28,Bundesliga,Home,Köln,1,1,D
2024-05-05,Bundesliga,Away,Heidenheim,1,1,D
2024-05-11,Bundesliga,Home,Dortmund,3,0,W
2024-05-18,Bundesliga,Away,Wolfsburg,3,1,W
