Date,Comp,venue,opponent,goals_for,goals_against,result
2023-08-18,Bundesliga,Home,Bayern Munich,0,4,L
2023-08-26,Bundesliga,Away,Freiburg,0,1,L
2023-09-02,Bundesliga,Home,Mainz 05,4,0,W
2023-09-17,Bundesliga,Away,Heidenheim,2,4,L
2023-09-23,Bundesliga,Home,Köln,2,1,W
2023-10-01,Bundesliga,Away,Darmstadt 98,2,4,L
2023-10-07,Bundesliga,Home,Hoffenheim,2,3,L
2023-10-20,Bundesliga,Away,Dortmund,0,1,L
2023-10-28,Bundesliga,Home,Union Berlin,2,0,W
2023-11-05,Bundesliga,Away,Wolfsburg,2,2,D
2023-11-12,Bundesliga,Home,Eint Frankfurt,2,2,D
2023-11-25,Bundesliga,Home,Leverkusen,0,3,L
2023-12-02,Bundesliga,Away,Stuttgart,0,2,L
2023-12-09,Bundesliga,Home,Augsburg,2,0,W
2023-12-15,Bundesliga,Away,Gladbach,2,2,D
2023-12-19,Bundesliga,Home,RB Leipzig,1,1,D
2024-01-14,Bundesliga,Away,Bochum,1,1,D
2024-01-21,Bundesliga,Away,Bayern Munich,1,0,W
2024-01-27,Bundesliga,Home,Freiburg,3,1,W
2024-02-03,Bundesliga,Away,Mainz 05,1,0,W
2024-02-10,Bundesliga,Home,Heidenheim,1,2,L
2024-02-16,Bundesliga,Away,Köln,1,0,W
2024-02-24,Bundesliga,Home,Darmstadt 98,1,1,D
2024-03-03,Bundesliga,Away,Hoffenheim,1,2,L
2024-03-09,Bundesliga,Home,Dortmund,1,2,L
2024-03-16,Bundesliga,Away,Union Berlin,1,2,L
2024-03-30,Bundesliga,Home,Wolfsburg,0,2,L
2024-04-05,Bundesliga,Away,Eint Frankfurt,1,1,D
2024-04-14,Bundesliga,Away,Leverkusen,0,5,L
2024-04-21,Bundesliga,Home,Stuttgart,2,1,W
2024-04-27,Bundesliga,Away,Augsburg,3,0,W
2024-05-04,Bundesliga,Home,Gladbach,2,2,D
2024-05-11,Bundesliga,Away,RB Leipzig,1,1,D
2024-05-18,Bundesliga,Home,Bochum,4,1,W
