Date,Comp,venue,opponent,goals_for,goals_against,result
2024-08-24,Bundesliga,Away,Dortmund,0,2,L
2024-08-31,Bundesliga,Home,Hoffenheim,3,1,W
2024-09-14,Bundesliga,Away,Wolfsburg,2,1,W
2024-09-21,Bundesliga,Home,Gladbach,2,0,W
2024-09-29,Bundesliga,Away,Holstein Kiel,4,2,W
2024-10-06,Bundesliga,Home,Bayern Munich,3,3,D
2024-10-19,Bundesliga,Away,Leverkusen,1,2,L
2024-10-27,Bundesliga,Away,Union Berlin,1,1,D
2024-11-02,Bundesliga,Home,Bochum,7,2,W
2024-11-10,Bundesliga,Away,Stuttgart,3,2,W
2024-11-23,Bundesliga,Home,Werder Bremen,1,0,W
2024-12-01,Bundesliga,Away,Heidenheim,4,0,W
2024-12-07,Bundesliga,Home,Augsburg,2,2,D
2024-12-15,Bundesliga,Away,RB Leipzig,1,2,L
2024-12-21,Bundesliga,Home,Mainz 05,1,3,L
2025-01-11,Bundesliga,Away,St. Pauli,1,0,W
2025-01-14,Bundesliga,Home,Freiburg,4,1,W
2025-01-17,Bundesliga,Home,Dortmund,2,0,W
2025-01-26,Bundesliga,Away,Hoffenheim,2,2,D
2025-02-02,Bundesliga,Home,Wolfsburg,1,1,D
2025-02-08,Bundesliga,Away,Gladbach,1,1,D
2025-02-16,Bundesliga,Home,Holstein Kiel,3,1,W
2025-02-23,Bundesliga,Away,Bayern Munich,0,4,L
2025-03-01,Bundesliga,Home,Leverkusen,1,4,L
2025-03-09,Bundesliga,Home,Union Berlin,1,2,L
2025-03-16,Bundesliga,Away,Bochum,3,1,W
2025-03-29,Bundesliga,Home,Stuttgart,1,0,W
2025-04-05,Bundesliga,Away,Werder Bremen,0,2,L
2025-04-13,Bundesliga,Home,Heidenheim,3,0,W
2025-04-20,Bundesliga,Away,Augsburg,0,0,D
2025-04-26,Bundesliga,Home,RB Leipzig,4,0,W
2025-05-04,Bundesliga,Away,Mainz 05,1,1,D
2025-05-11,Bundesliga,Home,St. Pauli,2,2,D
2025-05-17,Bundesliga,Away,Freiburg,3,1,W
