Date,Comp,venue,opponent,goals_for,goals_against,result
2024-08-24,Bundesliga,Home,Holstein Kiel,3,2,W
2024-08-31,Bundesliga,Away,Eint Frankfurt,1,3,L
2024-09-14,Bundesliga,Home,Leverkusen,1,4,L
2024-09-21,Bundesliga,Away,Union Berlin,1,2,L
2024-09-29,Bundesliga,Home,Werder Bremen,3,4,L
2024-10-06,Bundesliga,Away,Stuttgart,1,1,D
2024-10-19,Bundesliga,Home,Bochum,3,1,W
2024-10-27,Bundesliga,Away,Heidenheim,0,0,D
2024-11-02,Bundesliga,Home,St. Pauli,0,2,L
2024-11-10,Bundesliga,Away,Augsburg,0,0,D
2024-11-23,Bundesliga,Home,RB Leipzig,4,3,W
2024-12-01,Bundesliga,Away,Mainz 05,0,2,L
2024-12-08,Bundesliga,Home,Freiburg,1,1,D
2024-12-15,Bundesliga,Away,Dortmund,1,1,D
2024-12-21,Bundesliga,Home,Gladbach,1,2,L
2025-01-11,Bundesliga,Home,Wolfsburg,0,1,L
2025-01-15,Bundesliga,Away,Bayern Munich,0,5,L
2025-01-18,Bundesliga,Away,Holstein Kiel,3,1,W
2025-01-26,Bundesliga,Home,Eint Frankfurt,2,2,D
2025-02-02,Bundesliga,Away,Leverkusen,1,3,L
2025-02-08,Bundesliga,Home,Union Berlin,0,4,L
2025-02-16,Bundesliga,Away,Werder Bremen,3,1,W
2025-02-23,Bundesliga,Home,Stuttgart,1,1,D
2025-03-01,Bundesliga,Away,Bochum,1,0,W
2025-03-09,Bundesliga,Home,Heidenheim,1,1,D
2025-03-14,Bundesliga,Away,St. Pauli,0,1,L
2025-03-29,Bundesliga,Home,Augsburg,1,1,D
2025-04-05,Bundesliga,Away,RB Leipzig,1,3,L
2025-04-12,Bundesliga,Home,Mainz 05,2,0,W
2025-04-19,Bundesliga,Away,Freiburg,2,3,L
2025-04-26,Bundesliga,Home,Dortmund,2,3,L
2025-05-03,Bundesliga,Away,Gladbach,4,4,D
2025-05-09,Bundesliga,Away,Wolfsburg,2,2,D
2025-05-17,Bundesliga,Home,Bayern Munich,0,4,L
