Date,Comp,venue,opponent,goals_for,goals_against,result
2024-08-24,Bundesliga,Away,Hoffenheim,2,3,L
2024-08-31,Bundesliga,Home,Wolfsburg,0,2,L
2024-09-14,Bundesliga,Home,Bayern Munich,1,6,L
2024-09-21,Bundesliga,Away,Bochum,2,2,D
2024-09-29,Bundesliga,Home,Eint Frankfurt,2,4,L
2024-10-05,Bundesliga,Away,Leverkusen,2,2,D
2024-10-20,Bundesliga,Home,Union Berlin,0,2,L
2024-10-26,Bundesliga,Away,Stuttgart,1,2,L
2024-11-02,Bundesliga,Home,Heidenheim,1,0,W
2024-11-09,Bundesliga,Away,Werder Bremen,1,2,L
2024-11-24,Bundesliga,Home,Mainz 05,0,3,L
2024-11-29,Bundesliga,Away,St. Pauli,1,3,L
2024-12-07,Bundesliga,Home,RB Leipzig,0,2,L
2024-12-14,Bundesliga,Away,Gladbach,1,4,L
2024-12-21,Bundesliga,Home,Augsburg,5,1,W
2025-01-11,Bundesliga,Away,Freiburg,2,3,L
2025-01-14,Bundesliga,Home,Dortmund,4,2,W
2025-01-18,Bundesliga,Home,Hoffenheim,1,3,L
2025-01-24,Bundesliga,Away,Wolfsburg,2,2,D
2025-02-01,Bundesliga,Away,Bayern Munich,3,4,L
2025-02-09,Bundesliga,Home,Bochum,2,2,D
2025-02-16,Bundesliga,Away,Eint Frankfurt,1,3,L
2025-02-22,Bundesliga,Home,Leverkusen,0,2,L
2025-03-02,Bundesliga,Away,Union Berlin,1,0,W
2025-03-08,Bundesliga,Home,Stuttgart,2,2,D
2025-03-16,Bundesliga,Away,Heidenheim,1,3,L
2025-03-29,Bundesliga,Home,Werder Bremen,0,3,L
2025-04-05,Bundesliga,Away,Mainz 05,1,1,D
2025-04-12,Bundesliga,Home,St. Pauli,1,2,L
2025-04-19,Bundesliga,Away,RB Leipzig,1,1,D
2025-04-26,Bundesliga,Home,Gladbach,4,3,W
2025-05-04,Bundesliga,Away,Augsburg,3,1,W
2025-05-10,Bundesliga,Home,Freiburg,1,2,L
2025-05-17,Bundesliga,Away,Dortmund,0,3,L
