Date,Comp,venue,opponent,goals_for,goals_against,result
2024-08-25,Bundesliga,Home,Heidenheim,0,2,L
2024-08-30,Bundesliga,Away,Union Berlin,0,1,L
2024-09-15,Bundesliga,Away,Augsburg,1,3,L
2024-09-22,Bundesliga,Home,RB Leipzig,0,0,D
2024-09-28,Bundesliga,Away,Freiburg,3,0,W
2024-10-05,Bundesliga,Home,Mainz 05,0,3,L
2024-10-18,Bundesliga,Away,Dortmund,1,2,L
2024-10-26,Bundesliga,Home,Wolfsburg,0,0,D
2024-11-02,Bundesliga,Away,Hoffenheim,2,0,W
2024-11-09,Bundesliga,Home,Bayern Munich,0,1,L
2024-11-24,Bundesliga,Away,Gladbach,0,2,L
2024-11-29,Bundesliga,Home,Holstein Kiel,3,1,W
2024-12-07,Bundesliga,Away,Leverkusen,1,2,L
2024-12-14,Bundesliga,Home,Werder Bremen,0,2,L
2024-12-21,Bundesliga,Away,Stuttgart,1,0,W
2025-01-11,Bundesliga,Home,Eint Frankfurt,0,1,L
2025-01-15,Bundesliga,Away,Bochum,0,1,L
2025-01-18,Bundesliga,Away,Heidenheim,2,0,W
2025-01-26,Bundesliga,Home,Union Berlin,3,0,W
2025-02-01,Bundesliga,Home,Augsburg,1,1,D
2025-02-09,Bundesliga,Away,RB Leipzig,0,2,L
2025-02-15,Bundesliga,Home,Freiburg,0,1,L
2025-02-22,Bundesliga,Away,Mainz 05,0,2,L
2025-03-01,Bundesliga,Home,Dortmund,0,2,L
2025-03-08,Bundesliga,Away,Wolfsburg,1,1,D
2025-03-14,Bundesliga,Home,Hoffenheim,1,0,W
2025-03-29,Bundesliga,Away,Bayern Munich,2,3,L
2025-04-06,Bundesliga,Home,Gladbach,1,1,D
2025-04-12,Bundesliga,Away,Holstein Kiel,2,1,W
2025-04-20,Bundesliga,Home,Leverkusen,1,1,D
2025-04-27,Bundesliga,Away,Werder Bremen,0,0,D
2025-05-03,Bundesliga,Home,Stuttgart,0,1,L
2025-05-11,Bundesliga,Away,Eint Frankfurt,2,2,D
2025-05-17,Bundesliga,Home,Bochum,0,2,L
