Date,Comp,venue,opponent,goals_for,goals_against,result
2024-08-25,Bundesliga,Home,Bayern Munich,2,3,L
2024-08-31,Bundesliga,Away,Holstein Kiel,2,0,W
2024-09-14,Bundesliga,Home,Eint Frankfurt,1,2,L
2024-09-22,Bundesliga,Away,Leverkusen,3,4,L
2024-09-28,Bundesliga,Home,Stuttgart,2,2,D
2024-10-05,Bundesliga,Away,Bochum,3,1,W
2024-10-20,Bundesliga,Home,Werder Bremen,2,4,L
2024-10-26,Bundesliga,Away,St. Pauli,0,0,D
2024-11-02,Bundesliga,Home,Augsburg,1,1,D
2024-11-10,Bundesliga,Away,Heidenheim,3,1,W
2024-11-23,Bundesliga,Home,Union Berlin,1,0,W
2024-11-30,Bundesliga,Away,RB Leipzig,5,1,W
2024-12-08,Bundesliga,Home,Mainz 05,4,3,W
2024-12-13,Bundesliga,Away,Freiburg,2,3,L
2024-12-22,Bundesliga,Home,Dortmund,1,3,L
2025-01-11,Bundesliga,Away,Hoffenheim,1,0,W
2025-01-14,Bundesliga,Home,Gladbach,5,1,W
2025-01-18,Bundesliga,Away,Bayern Munich,2,3,L
2025-01-24,Bundesliga,Home,Holstein Kiel,2,2,D
2025-02-02,Bundesliga,Away,Eint Frankfurt,1,1,D
2025-02-08,Bundesliga,Home,Leverkusen,0,0,D
2025-02-15,Bundesliga,Away,Stuttgart,2,1,W
2025-02-22,Bundesliga,Home,Bochum,1,1,D
2025-03-01,Bundesliga,Away,Werder Bremen,2,1,W
2025-03-08,Bundesliga,Home,St. Pauli,1,1,D
2025-03-15,Bundesliga,Away,Augsburg,0,1,L
2025-03-29,Bundesliga,Home,Heidenheim,0,1,L
2025-04-06,Bundesliga,Away,Union Berlin,0,1,L
2025-04-11,Bundesliga,Home,RB Leipzig,2,3,L
2025-04-19,Bundesliga,Away,Mainz 05,2,2,D
2025-04-26,Bundesliga,Home,Freiburg,0,1,L
2025-05-03,Bundesliga,Away,Dortmund,0,4,L
2025-05-09,Bundesliga,Home,Hoffenheim,2,2,D
2025-05-17,Bundesliga,Away,Gladbach,1,0,W
