Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Augsburg,34,34.0,921,27.09,672,93,39,64,43,10,108,3.18,75,9,6,8,8,2
vs Bayern Munich,28,34.0,523,15.38,359,53,28,35,28,20,65,1.91,40,7,1,6,9,2
vs Bochum,26,34.0,923,27.15,631,102,56,68,54,12,112,3.29,60,11,9,18,12,2
vs Dortmund,30,34.0,703,20.68,505,68,34,44,39,13,73,2.15,57,5,2,6,2,1
vs Eint Frankfurt,28,34.0,644,18.94,437,65,47,48,42,5,92,2.71,54,9,13,6,9,1
vs Freiburg,27,34.0,760,22.35,565,76,30,37,39,13,77,2.26,62,2,2,5,5,1
vs Gladbach,27,34.0,844,24.82,594,73,55,60,44,18,93,2.74,68,3,6,7,8,1
vs Hertha BSC,32,34.0,832,24.47,587,90,44,52,46,13,120,3.53,78,12,10,11,8,1
vs Hoffenheim,31,34.0,838,24.65,625,76,41,54,32,10,94,2.76,70,6,6,9,3,0
vs Köln,27,34.0,664,19.53,465,66,44,45,40,4,93,2.74,65,5,7,6,10,0
vs Leverkusen,27,34.0,651,19.15,465,64,25,42,38,17,79,2.32,56,6,1,5,9,2
vs Mainz 05,27,34.0,777,22.85,554,67,48,43,56,9,97,2.85,70,5,11,6,4,1
vs RB Leipzig,25,34.0,540,15.88,386,45,36,33,33,7,64,1.88,44,4,1,7,8,0
vs Schalke 04,35,34.0,886,26.06,650,79,58,49,39,11,128,3.76,100,2,11,5,7,3
vs Stuttgart,30,34.0,707,20.79,519,52,43,44,40,9,103,3.03,78,6,3,6,9,1
vs Union Berlin,28,34.0,668,19.65,459,70,46,49,36,8,65,1.91,39,7,10,4,5,0
vs Werder Bremen,25,34.0,802,23.59,564,75,62,49,38,14,103,3.03,77,3,10,8,2,3
vs Wolfsburg,28,34.0,816,24.0,572,96,33,54,48,13,76,2.24,56,2,5,6,4,3
