Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Augsburg,29,26.6,56.1,34,374,3060,34.0,58,40,98,51,7,10,63,1,57.4,49.7,39.0,88.6,665,1420,1.71,1.18,2.88,1.5,2.68,1.69,1.15,2.84,1.46,2.61
vs Bayern Munich,30,26.5,38.7,34,374,3060,34.0,45,35,80,42,3,4,62,3,32.1,29.0,22.3,51.3,504,1001,1.32,1.03,2.35,1.24,2.26,0.95,0.65,1.6,0.85,1.51
vs Bochum,25,26.5,53.4,34,374,3060,34.0,70,55,125,61,9,11,75,2,63.9,55.4,46.9,102.3,597,1264,2.06,1.62,3.68,1.79,3.41,1.88,1.38,3.26,1.63,3.01
vs Darmstadt 98,32,26.7,54.3,34,374,3060,34.0,84,68,152,83,1,2,59,4,73.1,71.6,58.3,129.8,647,1458,2.47,2.0,4.47,2.44,4.44,2.15,1.71,3.86,2.1,3.82
vs Dortmund,32,26.6,42.2,34,374,3060,34.0,41,28,69,36,5,6,70,1,52.0,47.8,35.0,82.8,608,1283,1.21,0.82,2.03,1.06,1.88,1.53,1.03,2.56,1.41,2.44
vs Eint Frankfurt,34,26.7,47.9,34,374,3060,34.0,50,34,84,41,9,11,56,4,52.1,43.3,33.5,76.8,499,1283,1.47,1.0,2.47,1.21,2.21,1.53,0.99,2.52,1.27,2.26
vs Freiburg,25,26.6,53.4,34,374,3060,34.0,57,45,102,54,3,5,69,1,50.5,46.5,38.1,84.6,623,1334,1.68,1.32,3.0,1.59,2.91,1.48,1.12,2.61,1.37,2.49
vs Gladbach,27,26.7,53.2,34,374,3060,34.0,67,52,119,61,6,6,64,3,54.2,49.5,39.1,88.6,671,1599,1.97,1.53,3.5,1.79,3.32,1.6,1.15,2.75,1.46,2.61
vs Heidenheim,22,26.6,57.5,34,374,3060,34.0,52,36,88,45,7,10,73,0,61.8,54.1,42.7,96.8,702,1587,1.53,1.06,2.59,1.32,2.38,1.82,1.26,3.07,1.59,2.85
vs Hoffenheim,30,26.4,50.5,34,374,3060,34.0,65,51,116,63,2,5,70,5,60.8,56.9,44.7,101.6,683,1514,1.91,1.5,3.41,1.85,3.35,1.79,1.32,3.1,1.67,2.99
vs Köln,26,26.6,53.5,34,374,3060,34.0,60,39,99,57,3,3,75,4,64.6,62.2,44.8,107.0,502,1442,1.76,1.15,2.91,1.68,2.82,1.9,1.32,3.22,1.83,3.15
vs Leverkusen,24,26.5,38.2,34,374,3060,34.0,24,18,42,24,0,0,67,5,29.9,29.9,22.1,51.9,398,940,0.71,0.53,1.24,0.71,1.24,0.88,0.65,1.53,0.88,1.53
vs Mainz 05,30,26.5,53.9,34,374,3060,34.0,50,40,90,47,3,4,78,3,44.5,41.4,34.2,75.6,522,1205,1.47,1.18,2.65,1.38,2.56,1.31,1.01,2.31,1.22,2.22
vs RB Leipzig,26,26.7,44.7,34,374,3060,34.0,38,29,67,34,4,5,90,5,40.1,36.4,30.1,66.5,495,1128,1.12,0.85,1.97,1.0,1.85,1.18,0.89,2.07,1.07,1.96
vs Stuttgart,27,26.6,40.1,34,374,3060,34.0,36,24,60,33,3,3,75,3,38.1,35.8,26.7,62.5,466,1013,1.06,0.71,1.76,0.97,1.68,1.12,0.78,1.91,1.05,1.84
vs Union Berlin,30,26.5,57.1,34,374,3060,34.0,57,37,94,52,5,7,60,1,50.5,45.2,33.6,78.7,664,1565,1.68,1.09,2.76,1.53,2.62,1.49,0.99,2.47,1.33,2.32
vs Werder Bremen,30,26.7,53.2,34,374,3060,34.0,53,39,92,47,6,6,84,6,56.5,51.9,41.0,92.9,638,1428,1.56,1.15,2.71,1.38,2.53,1.66,1.21,2.87,1.53,2.73
vs Wolfsburg,28,26.4,52.0,34,374,3060,34.0,53,43,96,51,2,3,79,4,44.7,42.4,34.3,76.6,532,1346,1.56,1.26,2.82,1.5,2.76,1.32,1.01,2.32,1.25,2.25
