Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Augsburg,2,34,34,3056,34.0,35,1.03,116,80,70.7,13,10,11,12,35.3,2,1,1,0,50.0
vs Bayern Munich,4,34,34,3060,34.0,99,2.91,264,168,65.9,2,7,25,1,2.9,10,9,0,1,0.0
vs Bochum,2,34,34,3060,34.0,32,0.94,136,101,77.2,21,8,5,13,38.2,3,1,2,0,66.7
vs Dortmund,2,34,34,3060,34.0,71,2.09,163,93,59.5,11,6,17,5,14.7,6,5,1,0,16.7
vs Eint Frankfurt,2,34,34,3060,34.0,68,2.0,177,107,63.3,8,9,17,4,11.8,5,3,2,0,40.0
vs Freiburg,2,34,34,3060,34.0,49,1.44,135,86,63.7,11,7,16,8,23.5,4,0,3,1,100.0
vs Gladbach,4,34,34,3060,34.0,55,1.62,158,104,67.7,15,6,13,6,17.6,5,4,1,0,20.0
vs Heidenheim,2,34,34,3060,34.0,37,1.09,129,92,75.2,21,5,8,14,41.2,5,5,0,0,0.0
vs Hoffenheim,2,34,34,3060,34.0,46,1.35,151,105,71.5,16,11,7,9,26.5,3,3,0,0,0.0
vs Holstein Kiel,2,34,34,3060,34.0,49,1.44,138,88,67.4,21,7,6,7,20.6,5,4,1,0,20.0
vs Leverkusen,2,34,34,3060,34.0,72,2.12,187,114,63.1,3,12,19,5,14.7,6,3,3,0,50.0
vs Mainz 05,2,34,34,3060,34.0,55,1.62,146,93,65.1,10,10,14,8,23.5,4,4,0,0,0.0
vs RB Leipzig,2,34,34,3060,34.0,53,1.56,148,96,66.2,9,12,13,9,26.5,4,3,1,0,25.0
vs St. Pauli,2,34,34,3060,34.0,28,0.82,111,84,75.7,18,8,8,17,50.0,2,1,1,0,50.0
vs Stuttgart,1,34,34,3060,34.0,64,1.88,178,113,65.2,12,8,14,6,17.6,6,2,4,0,66.7
vs Union Berlin,2,34,34,3060,34.0,36,1.06,123,87,73.2,13,11,10,13,38.2,3,3,0,0,0.0
vs Werder Bremen,1,34,34,3060,34.0,54,1.59,143,88,64.3,11,9,14,9,26.5,5,3,2,0,40.0
vs Wolfsburg,2,34,34,3060,34.0,56,1.65,142,88,63.4,13,10,11,7,20.6,5,4,1,0,20.0
