Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2020-09-13,15:30,DFB-Pokal,First round,Sun,Away,D,2 (3),2 (2),Chemnitzer FC,,,68,3095.0,Oliver Baumann,3-4-1-2,4-1-4-1,Patrick Hanslbauer,Match Report,Hoffenheim won on penalty kicks following extra time
2020-09-19,15:30,Bundesliga,Matchweek 1,Sat,Away,W,3,2,Köln,2.6,2.7,51,,Oliver Baumann,3-4-1-2,4-2-3-1,Daniel Siebert,Match Report,
2020-09-27,15:30,Bundesliga,Matchweek 2,Sun,Home,W,4,1,Bayern Munich,2.6,1.4,29,,Oliver Baumann,3-4-3,4-2-3-1,Benjamin Brand,Match Report,
2020-10-03,15:30,Bundesliga,Matchweek 3,Sat,Away,L,1,2,Eint Frankfurt,1.4,2.9,48,8000.0,Oliver Baumann,3-1-4-2,3-4-1-2,Manuel Gräfe,Match Report,
2020-10-17,15:30,Bundesliga,Matchweek 4,Sat,Home,L,0,1,Dortmund,1.2,2.0,45,6030.0,Oliver Baumann,3-4-3,3-4-3,Sascha Stegemann,Match Report,
2020-10-22,21:00,Europa Lg,Group stage,Thu,Home,W,2,0,rs Red Star,1.3,1.0,60,,Oliver Baumann,4-1-2-1-2◆,3-4-3,Alejandro Hernández,Match Report,
2020-10-25,18:00,Bundesliga,Matchweek 5,Sun,Away,D,1,1,Werder Bremen,1.0,0.3,51,,Kevin Vogt,3-4-3,3-4-3,Daniel Schlager,Match Report,
2020-10-29,18:55,Europa Lg,Group stage,Thu,Away,W,4,1,be Gent,2.5,1.9,57,,Oliver Baumann,3-5-2,3-4-1-2,Sandro Schärer,Match Report,
2020-11-02,20:30,Bundesliga,Matchweek 6,Mon,Home,L,1,3,Union Berlin,1.3,3.6,60,,Oliver Baumann,3-1-4-2,3-4-1-2,Robert Hartmann,Match Report,
2020-11-05,21:00,Europa Lg,Group stage,Thu,Home,W,5,0,cz Slovan Liberec,3.9,0.3,79,,Oliver Baumann,5-3-2,5-4-1,Sergey Karasev,Match Report,
2020-11-08,15:30,Bundesliga,Matchweek 7,Sun,Away,L,1,2,Wolfsburg,2.8,1.9,54,,Oliver Baumann,3-1-4-2,4-2-3-1,Sven Jablonski,Match Report,
2020-11-21,15:30,Bundesliga,Matchweek 8,Sat,Home,D,3,3,Stuttgart,1.7,1.6,43,,Oliver Baumann,5-3-2,3-4-3,Daniel Siebert,Match Report,
2020-11-26,18:55,Europa Lg,Group stage,Thu,Away,W,2,0,cz Slovan Liberec,1.8,0.4,71,,Oliver Baumann,4-1-2-1-2◆,5-4-1,Jérôme Brisard,Match Report,
2020-11-29,18:00,Bundesliga,Matchweek 9,Sun,Away,D,1,1,Mainz 05,1.1,1.6,64,,Oliver Baumann,4-1-2-1-2◆,3-4-3,Sascha Stegemann,Match Report,
2020-12-03,18:55,Europa Lg,Group stage,Thu,Away,D,0,0,rs Red Star,1.3,0.2,62,,Oliver Baumann,3-4-3,5-3-2,Bobby Madden,Match Report,
2020-12-07,20:30,Bundesliga,Matchweek 10,Mon,Home,W,3,1,Augsburg,1.5,0.9,55,,Oliver Baumann,4-1-2-1-2◆,4-2-2-2,Florian Badstübner,Match Report,
2020-12-10,21:00,Europa Lg,Group stage,Thu,Home,W,4,1,be Gent,2.2,1.2,63,,Dennis Geiger,4-2-3-1,3-5-2,Anastasios Papapetrou,Match Report,
2020-12-13,18:00,Bundesliga,Matchweek 11,Sun,Away,L,1,4,Leverkusen,1.6,2.2,40,,Oliver Baumann,4-1-3-2,4-3-3,Martin Petersen,Match Report,
2020-12-16,20:30,Bundesliga,Matchweek 12,Wed,Home,L,0,1,RB Leipzig,0.6,0.5,45,,Oliver Baumann,4-2-3-1,3-4-3,Daniel Schlager,Match Report,
2020-12-19,15:30,Bundesliga,Matchweek 13,Sat,Away,W,2,1,Gladbach,2.1,1.9,52,,Oliver Baumann,4-2-3-1,4-2-3-1,Frank Willenborg,Match Report,
2020-12-22,18:30,DFB-Pokal,Second round,Tue,Home,D,2 (6),2 (7),Greuther Fürth,,,57,,Oliver Baumann,4-4-2◆,4-2-3-1,Sören Storks,Match Report,Greuther Fürth won on penalty kicks following extra time
2021-01-02,15:30,Bundesliga,Matchweek 14,Sat,Home,L,1,3,Freiburg,1.2,2.0,69,,Oliver Baumann,4-2-3-1,3-4-3,Robert Hartmann,Match Report,
2021-01-09,15:30,Bundesliga,Matchweek 15,Sat,Away,L,0,4,Schalke 04,1.9,2.0,60,,Oliver Baumann,3-4-3,4-4-2,Felix Zwayer,Match Report,
2021-01-16,15:30,Bundesliga,Matchweek 16,Sat,Home,D,0,0,Arminia,0.6,0.7,53,,Oliver Baumann,3-5-2,4-1-3-2,Marco Fritz,Match Report,
2021-01-19,20:30,Bundesliga,Matchweek 17,Tue,Away,W,3,0,Hertha BSC,1.3,1.7,43,,Oliver Baumann,3-5-2,4-1-2-1-2,Harm Osmers,Match Report,
2021-01-24,18:00,Bundesliga,Matchweek 18,Sun,Home,W,3,0,Köln,2.1,2.1,45,,Oliver Baumann,3-5-2,3-4-3,Sven Jablonski,Match Report,
2021-01-30,15:30,Bundesliga,Matchweek 19,Sat,Away,L,1,4,Bayern Munich,1.9,2.0,40,,Oliver Baumann,3-5-2,4-2-3-1,Benjamin Cortus,Match Report,
