Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2022-07-30,15:30,DFB-Pokal,Round of 64,Sat,Away,D,2 (3),2 (4),Jahn R'burg,,,61.0,13236,Anthony Modeste,4-4-2◆,4-2-3-1,Felix Brych,Match Report,Jahn R'burg won on penalty kicks following extra time
2022-08-07,17:30,Bundesliga,Matchweek 1,Sun,Home,W,3,1,Schalke 04,4.1,0.2,75.0,50000,Jonas Hector,4-1-3-2,4-1-4-1,Robert Schröder,Match Report,
2022-08-13,15:30,Bundesliga,Matchweek 2,Sat,Away,D,2,2,RB Leipzig,1.5,1.0,48.0,49579,Jonas Hector,4-2-3-1,3-1-4-2,Benjamin Brand,Match Report,
2022-08-18,20:30,Conf Lg,Play-off round,Thu,Home,L,1,2,hu Vidi,,,,44000,Jonas Hector,4-2-3-1,5-4-1,Tiago Martins,Match Report,Leg 1 of 2
2022-08-21,15:30,Bundesliga,Matchweek 3,Sun,Away,D,1,1,Eint Frankfurt,0.3,0.9,46.0,50800,Jonas Hector,4-1-2-1-2◆,4-2-3-1,Martin Petersen,Match Report,
2022-08-25,19:00,Conf Lg,Play-off round,Thu,Away,W,3,0,hu Vidi,,,,10411,Florian Kainz,4-2-3-1,5-4-1,Ali Palabıyık,Match Report,Leg 2 of 2; Köln won
2022-08-28,15:30,Bundesliga,Matchweek 4,Sun,Home,D,0,0,Stuttgart,0.6,2.1,63.0,50000,Jonas Hector,4-1-3-2,3-4-3,Harm Osmers,Match Report,
2022-09-03,15:30,Bundesliga,Matchweek 5,Sat,Away,W,4,2,Wolfsburg,2.7,1.0,49.0,25654,Jonas Hector,4-2-3-1,3-4-1-2,Matthias Jöllenbeck,Match Report,
2022-09-08,19:40,Conf Lg,Group stage,Thu,Away,D,1,1,fr Nice,1.3,1.9,53.0,19000,Jonas Hector,4-1-2-1-2◆,4-4-2,Luís Godinho,Match Report,
2022-09-11,15:30,Bundesliga,Matchweek 6,Sun,Home,L,0,1,Union Berlin,0.6,1.5,53.0,49500,Jonas Hector,4-2-3-1,3-5-2,Benjamin Cortus,Match Report,
2022-09-15,21:00,Conf Lg,Group stage,Thu,Home,W,4,2,cz Slovácko,3.3,1.6,58.0,47700,Marvin Schwäbe,4-2-3-1,4-3-3,Yevhen Aranovskyi,Match Report,
2022-09-18,17:30,Bundesliga,Matchweek 7,Sun,Away,D,1,1,Bochum,2.1,0.2,65.0,25800,Jonas Hector,4-2-3-1,4-2-3-1,Bastian Dankert,Match Report,
2022-10-01,15:30,Bundesliga,Matchweek 8,Sat,Home,W,3,2,Dortmund,1.9,2.5,42.0,50000,Jonas Hector,4-1-3-2,4-2-3-1,Harm Osmers,Match Report,
2022-10-06,21:00,Conf Lg,Group stage,Thu,Home,L,0,1,rs Partizan,1.9,1.1,73.0,47000,Florian Kainz,4-4-2,4-4-2,Ricardo de Burgos,Match Report,
2022-10-09,15:30,Bundesliga,Matchweek 9,Sun,Away,L,2,5,Gladbach,1.3,3.0,35.0,54042,Jonas Hector,4-1-3-2,4-2-3-1,Sven Jablonski,Match Report,
2022-10-13,18:45,Conf Lg,Group stage,Thu,Away,L,0,2,rs Partizan,0.9,0.7,68.0,15467,Jonas Hector,4-2-2-2,4-2-3-1,Roi Reinshreiber,Match Report,
2022-10-16,15:30,Bundesliga,Matchweek 10,Sun,Home,W,3,2,Augsburg,1.5,0.4,64.0,49000,Jonas Hector,4-1-3-2,4-4-2,Felix Zwayer,Match Report,
2022-10-21,20:30,Bundesliga,Matchweek 11,Fri,Away,L,0,5,Mainz 05,0.7,1.9,45.0,31610,Jonas Hector,4-3-1-2,3-5-2,Matthias Jöllenbeck,Match Report,
2022-10-28,13:00,Conf Lg,Group stage,Fri,Away,W,1,0,cz Slovácko,3.0,0.5,57.0,7333,Florian Kainz,4-4-2,4-3-3,Giorgi Kruashvili,Match Report,
2022-10-30,19:30,Bundesliga,Matchweek 12,Sun,Home,D,1,1,Hoffenheim,1.2,0.9,36.0,49000,Florian Kainz,4-4-2,3-5-2,Frank Willenborg,Match Report,
2022-11-03,21:00,Conf Lg,Group stage,Thu,Home,D,2,2,fr Nice,1.6,1.0,56.0,47000,Florian Kainz,4-4-2,4-4-2,César Soto,Match Report,
2022-11-06,17:30,Bundesliga,Matchweek 13,Sun,Away,L,0,2,Freiburg,0.5,1.4,45.0,33800,Florian Kainz,4-2-3-1,4-2-3-1,Florian Badstübner,Match Report,
2022-11-09,18:30,Bundesliga,Matchweek 14,Wed,Home,L,1,2,Leverkusen,1.4,1.4,58.0,50000,Jonas Hector,4-2-3-1,3-4-3,Tobias Stieler,Match Report,
2022-11-12,15:30,Bundesliga,Matchweek 15,Sat,Away,L,0,2,Hertha BSC,1.8,1.8,52.0,60827,Jonas Hector,4-2-3-1,4-2-2-2,Christian Dingert,Match Report,
2023-01-21,18:30,Bundesliga,Matchweek 16,Sat,Home,W,7,1,Werder Bremen,3.0,0.3,50.0,50000,Jonas Hector,4-2-2-2,3-1-4-2,Robert Schröder,Match Report,
