Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2020-09-11,20:45,DFB-Pokal,First round,Fri,Away,W,5,1,Havelse,,,72,1000.0,Danny Latza,4-4-2,4-3-3,Aarne Aarnink,Match Report,
2020-09-20,15:30,Bundesliga,Matchweek 1,Sun,Away,L,1,3,RB Leipzig,1.2,2.8,28,8500.0,Danny Latza,4-2-3-1,3-4-3,Manuel Gräfe,Match Report,
2020-09-26,15:30,Bundesliga,Matchweek 2,Sat,Home,L,1,4,Stuttgart,1.3,2.6,49,3403.0,Danny Latza,4-2-3-1,3-1-4-2,Daniel Schlager,Match Report,
2020-10-02,20:30,Bundesliga,Matchweek 3,Fri,Away,L,0,4,Union Berlin,0.3,2.5,50,4400.0,Danny Latza,4-2-3-1,3-4-3,Sascha Stegemann,Match Report,
2020-10-17,15:30,Bundesliga,Matchweek 4,Sat,Home,L,0,1,Leverkusen,0.3,0.5,39,250.0,Danny Latza,4-2-3-1,4-1-4-1,Bastian Dankert,Match Report,
2020-10-24,15:30,Bundesliga,Matchweek 5,Sat,Home,L,2,3,Gladbach,1.9,3.0,40,100.0,Danny Latza,4-2-3-1,3-5-2,Frank Willenborg,Match Report,
2020-10-31,15:30,Bundesliga,Matchweek 6,Sat,Away,L,1,3,Augsburg,1.0,1.9,50,,Danny Latza,4-2-3-1,4-4-2,Marco Fritz,Match Report,
2020-11-07,15:30,Bundesliga,Matchweek 7,Sat,Home,D,2,2,Schalke 04,3.7,1.9,33,,Danny Latza,4-2-3-1,3-1-4-2,Patrick Ittrich,Match Report,
2020-11-22,15:30,Bundesliga,Matchweek 8,Sun,Away,W,3,1,Freiburg,2.9,2.0,29,,Moussa Niakhate,3-5-2,4-4-2,Martin Petersen,Match Report,
2020-11-29,18:00,Bundesliga,Matchweek 9,Sun,Home,D,1,1,Hoffenheim,1.6,1.1,36,,Moussa Niakhate,3-4-3,4-1-2-1-2,Sascha Stegemann,Match Report,
2020-12-05,15:30,Bundesliga,Matchweek 10,Sat,Away,L,1,2,Arminia,2.8,1.2,52,,Moussa Niakhate,3-4-3,4-4-2,Marco Fritz,Match Report,
2020-12-12,15:30,Bundesliga,Matchweek 11,Sat,Home,L,0,1,Köln,1.7,0.8,60,,Danny Latza,3-4-3,3-1-4-2,Felix Zwayer,Match Report,
2020-12-15,20:30,Bundesliga,Matchweek 12,Tue,Away,D,0,0,Hertha BSC,0.8,0.8,36,,Moussa Niakhate,5-3-2,4-3-3,Matthias Jöllenbeck,Match Report,
