Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2021-08-07,15:30,DFB-Pokal,Round of 64,Sat,Away,W,4,0,Sandhausen,,,73.0,4067.0,Péter Gulácsi,4-2-3-1,5-4-1,Daniel Schlager,Match Report,
2021-08-15,15:30,Bundesliga,Matchweek 1,Sun,Away,L,0,1,Mainz 05,1.1,1.2,70.0,10500.0,Willi Orban,4-2-3-1,3-4-1-2,Daniel Siebert,Match Report,
2021-08-20,20:30,Bundesliga,Matchweek 2,Fri,Home,W,4,0,Stuttgart,3.6,1.1,52.0,23100.0,Emil Forsberg,4-2-3-1,3-4-3,Florian Badstübner,Match Report,
2021-08-29,17:30,Bundesliga,Matchweek 3,Sun,Away,L,0,1,Wolfsburg,1.1,0.8,52.0,12058.0,Péter Gulácsi,4-2-3-1,4-2-3-1,Tobias Stieler,Match Report,
2021-09-11,18:30,Bundesliga,Matchweek 4,Sat,Home,L,1,4,Bayern Munich,0.5,3.9,52.0,34000.0,Péter Gulácsi,4-2-3-1,4-2-3-1,Deniz Aytekin,Match Report,
2021-09-15,20:00,Champions Lg,Group stage,Wed,Away,L,3,6,eng Manchester City,0.9,1.9,50.0,38062.0,Péter Gulácsi,4-2-3-1,4-3-3,Serdar Gözübüyük,Match Report,
2021-09-18,18:30,Bundesliga,Matchweek 5,Sat,Away,D,1,1,Köln,2.7,1.7,53.0,25000.0,Péter Gulácsi,4-2-3-1,4-1-3-2,Felix Brych,Match Report,
2021-09-25,15:30,Bundesliga,Matchweek 6,Sat,Home,W,6,0,Hertha BSC,3.8,0.2,61.0,23500.0,Péter Gulácsi,3-4-3,3-4-3,Sascha Stegemann,Match Report,
2021-09-28,21:00,Champions Lg,Group stage,Tue,Home,L,1,2,be Club Brugge,1.3,1.4,66.0,23500.0,Péter Gulácsi,3-4-3,4-4-1-1,Slavko Vinčič,Match Report,
2021-10-02,18:30,Bundesliga,Matchweek 7,Sat,Home,W,3,0,Bochum,3.2,1.5,59.0,25598.0,Péter Gulácsi,3-4-3,4-2-3-1,Robert Hartmann,Match Report,
2021-10-16,15:30,Bundesliga,Matchweek 8,Sat,Away,D,1,1,Freiburg,1.7,1.4,47.0,20000.0,Péter Gulácsi,4-3-3,3-4-3,Daniel Siebert,Match Report,
2021-10-19,21:00,Champions Lg,Group stage,Tue,Away,L,2,3,fr Paris S-G,2.1,3.0,36.0,47359.0,Péter Gulácsi,3-5-2,4-3-3,Marco Guida,Match Report,
2021-10-23,15:30,Bundesliga,Matchweek 9,Sat,Home,W,4,1,Greuther Fürth,2.3,1.4,56.0,24758.0,Péter Gulácsi,3-4-3,4-2-3-1,Christian Dingert,Match Report,
2021-10-26,18:30,DFB-Pokal,Round of 32,Tue,Away,W,1,0,Babelsberg 03,,,73.0,6218.0,Willi Orban,4-2-2-2,4-4-1-1,Benjamin Cortus,Match Report,
2021-10-30,18:30,Bundesliga,Matchweek 10,Sat,Away,D,1,1,Eint Frankfurt,3.0,0.6,53.0,31000.0,Péter Gulácsi,3-4-3,3-4-3,Daniel Schlager,Match Report,
2021-11-03,21:00,Champions Lg,Group stage,Wed,Home,D,2,2,fr Paris S-G,3.3,2.1,54.0,39794.0,Péter Gulácsi,3-4-3,4-3-3,Andreas Ekberg,Match Report,
2021-11-06,18:30,Bundesliga,Matchweek 11,Sat,Home,W,2,1,Dortmund,2.6,0.9,54.0,43429.0,Péter Gulácsi,3-4-3,3-4-3,Felix Zwayer,Match Report,
2021-11-20,15:30,Bundesliga,Matchweek 12,Sat,Away,L,0,2,Hoffenheim,0.2,3.1,58.0,13233.0,Péter Gulácsi,3-4-3,3-4-3,Tobias Welz,Match Report,
2021-11-24,21:00,Champions Lg,Group stage,Wed,Away,W,5,0,be Club Brugge,3.8,0.9,44.0,24072.0,Kevin Kampl,4-1-2-1-2◆,3-4-3,Davide Massa,Match Report,
2021-11-28,17:30,Bundesliga,Matchweek 13,Sun,Home,L,1,3,Leverkusen,1.5,1.4,58.0,,Kevin Kampl,4-3-1-2,4-2-3-1,Benjamin Cortus,Match Report,
2021-12-03,20:30,Bundesliga,Matchweek 14,Fri,Away,L,1,2,Union Berlin,1.4,2.4,63.0,13506.0,Péter Gulácsi,3-4-3,5-3-2,Harm Osmers,Match Report,
2021-12-07,18:45,Champions Lg,Group stage,Tue,Home,W,2,1,eng Manchester City,1.7,1.2,44.0,,Péter Gulácsi,4-2-3-1,4-3-3,Sandro Schärer,Match Report,
2021-12-11,15:30,Bundesliga,Matchweek 15,Sat,Home,W,4,1,Gladbach,4.7,1.2,53.0,,Péter Gulácsi,3-4-1-2,4-3-3,Bastian Dankert,Match Report,
2021-12-15,20:30,Bundesliga,Matchweek 16,Wed,Away,D,1,1,Augsburg,2.2,1.2,68.0,,Péter Gulácsi,3-4-1-2,4-4-2,Florian Badstübner,Match Report,
2021-12-18,15:30,Bundesliga,Matchweek 17,Sat,Home,L,0,2,Arminia,1.6,0.8,77.0,,Péter Gulácsi,3-5-2,4-2-3-1,Frank Willenborg,Match Report,
2022-01-08,15:30,Bundesliga,Matchweek 18,Sat,Home,W,4,1,Mainz 05,2.9,0.3,68.0,,Péter Gulácsi,3-4-1-2,3-5-2,Deniz Aytekin,Match Report,
2022-01-15,15:30,Bundesliga,Matchweek 19,Sat,Away,W,2,0,Stuttgart,1.5,1.0,49.0,500.0,Péter Gulácsi,3-4-3,3-4-3,Daniel Schlager,Match Report,
2022-01-19,18:30,DFB-Pokal,Round of 16,Wed,Home,W,2,0,Hansa Rostock,,,74.0,1000.0,Péter Gulácsi,3-4-3,5-3-2,Sven Jablonski,Match Report,
2022-01-23,15:30,Bundesliga,Matchweek 20,Sun,Home,W,2,0,Wolfsburg,1.5,0.8,53.0,1000.0,Péter Gulácsi,3-4-3,3-4-3,Daniel Siebert,Match Report,
2022-02-05,18:30,Bundesliga,Matchweek 21,Sat,Away,L,2,3,Bayern Munich,2.1,3.1,42.0,10000.0,Péter Gulácsi,3-4-3,3-4-3,Sven Jablonski,Match Report,
2022-02-11,20:30,Bundesliga,Matchweek 22,Fri,Home,W,3,1,Köln,0.9,0.9,50.0,15000.0,Péter Gulácsi,3-4-1-2,4-2-3-1,Florian Badstübner,Match Report,
2022-02-17,21:00,Europa Lg,Knockout round play-offs,Thu,Home,D,2,2,es Real Sociedad,1.7,0.9,69.0,21113.0,Péter Gulácsi,3-4-1-2,5-4-1,Cüneyt Çakιr,Match Report,Leg 1 of 2
2022-02-20,19:30,Bundesliga,Matchweek 23,Sun,Away,W,6,1,Hertha BSC,3.4,1.0,64.0,10000.0,Péter Gulácsi,3-1-4-2,4-3-3,Patrick Ittrich,Match Report,
2022-02-24,18:45,Europa Lg,Knockout round play-offs,Thu,Away,W,3,1,es Real Sociedad,2.6,1.2,52.0,30113.0,Péter Gulácsi,3-4-1-2,5-4-1,Anthony Taylor,Match Report,Leg 2 of 2; RB Leipzig won
2022-02-27,15:30,Bundesliga,Matchweek 24,Sun,Away,W,1,0,Bochum,0.7,0.8,49.0,10000.0,Péter Gulácsi,3-4-1-2,4-3-3,Felix Brych,Match Report,
2022-03-02,18:30,DFB-Pokal,Quarter-finals,Wed,Away,W,4,0,Hannover 96,,,65.0,25000.0,Péter Gulácsi,3-4-1-2,4-2-3-1,Marco Fritz,Match Report,
2022-03-05,15:30,Bundesliga,Matchweek 25,Sat,Home,D,1,1,Freiburg,0.6,0.4,71.0,24758.0,Péter Gulácsi,3-4-1-2,3-5-2,Felix Zwayer,Match Report,
2022-03-10,18:45,Europa Lg,Round of 16,Thu,Home,,,,ru Spartak Moscow,,,,,,,,,Match Report,Leg 1 of 2; Match Cancelled
2022-03-13,19:30,Bundesliga,Matchweek 26,Sun,Away,W,6,1,Greuther Fürth,1.7,0.3,53.0,9418.0,Péter Gulácsi,3-4-1-2,4-1-2-1-2,Sven Jablonski,Match Report,
2022-03-17,,Europa Lg,Round of 16,Thu,Away,,,,ru Spartak Moscow,,,,,,,,,Match Report,Leg 2 of 2; RB Leipzig won; Match Cancelled
2022-03-20,15:30,Bundesliga,Matchweek 27,Sun,Home,D,0,0,Eint Frankfurt,1.2,0.2,55.0,43058.0,Péter Gulácsi,3-4-1-2,3-1-4-2,Christian Dingert,Match Report,
