Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2020-09-20,18:00,Serie A,Matchweek 1,Sun,Away,D,1,1,Sassuolo,0.9,2.1,33.0,850.0,João Pedro,4-1-4-1,4-2-3-1,Livio Marinelli,Match Report,
2020-09-26,18:00,Serie A,Matchweek 2,Sat,Home,L,0,2,Lazio,1.2,2.3,45.0,1000.0,João Pedro,4-3-3,3-5-2,Davide Massa,Match Report,
2020-10-04,12:30,Serie A,Matchweek 3,Sun,Away,L,2,5,Atalanta,0.8,3.4,41.0,1000.0,João Pedro,4-4-2,3-4-1-2,Fabrizio Pasqua,Match Report,
2020-10-18,15:00,Serie A,Matchweek 4,Sun,Away,W,3,2,Torino,1.9,1.4,42.0,1000.0,João Pedro,4-4-2,4-1-2-1-2,Federico La Penna,Match Report,
2020-10-25,12:30,Serie A,Matchweek 5,Sun,Home,W,4,2,Crotone,2.2,1.6,43.0,1000.0,João Pedro,4-4-1-1,3-5-2,Antonio Di Martino,Match Report,
2020-10-28,14:30,Coppa Italia,Third round,Wed,Home,W,1,0,Cremonese,,,,,,,,Antonio Giua,Match Report,
2020-10-31,20:45,Serie A,Matchweek 6,Sat,Away,L,2,3,Bologna,1.2,1.1,48.0,,João Pedro,4-2-3-1,4-2-3-1,Michael Fabbri,Match Report,
2020-11-07,15:00,Serie A,Matchweek 7,Sat,Home,W,2,0,Sampdoria,1.9,0.2,56.0,,João Pedro,4-4-1-1,4-4-2,Giovanni Ayroldi,Match Report,
2020-11-21,20:45,Serie A,Matchweek 8,Sat,Away,L,0,2,Juventus,0.1,2.2,34.0,,João Pedro,3-4-3,4-4-2,Fabio Maresca,Match Report,
2020-11-25,17:30,Coppa Italia,Fourth round,Wed,Home,W,2,1,Hellas Verona,,,67.0,,,,,Alessandro Prontera,Match Report,
2020-11-29,18:00,Serie A,Matchweek 9,Sun,Home,D,2,2,Spezia,1.9,2.5,40.0,,João Pedro,4-2-3-1,4-3-3,Valerio Marini,Match Report,
2020-12-06,12:30,Serie A,Matchweek 10,Sun,Away,D,1,1,Hellas Verona,1.5,2.7,48.0,,João Pedro,4-2-3-1,3-4-3,Gianluca Manganiello,Match Report,
2020-12-13,12:45,Serie A,Matchweek 11,Sun,Home,L,1,3,Inter,1.6,2.8,42.0,,João Pedro,4-2-3-1,3-5-2,Fabrizio Pasqua,Match Report,
2020-12-16,20:45,Serie A,Matchweek 12,Wed,Away,D,0,0,Parma,0.4,1.1,43.0,,João Pedro,4-2-3-1,4-3-3,Ivan Pezzuto,Match Report,
2020-12-20,15:00,Serie A,Matchweek 13,Sun,Home,D,1,1,Udinese,0.6,1.5,53.0,,João Pedro,4-2-3-1,3-5-2,Marco Piccinini,Match Report,
2020-12-23,20:45,Serie A,Matchweek 14,Wed,Away,L,2,3,Roma,1.3,2.8,38.0,,João Pedro,3-5-2,3-4-3,Luca Pairetto,Match Report,
2021-01-03,15:00,Serie A,Matchweek 15,Sun,Home,L,1,4,Napoli,0.9,4.6,38.0,,João Pedro,4-2-3-1,4-2-3-1,Gianluca Manganiello,Match Report,
2021-01-06,12:30,Serie A,Matchweek 16,Wed,Home,L,1,2,Benevento,1.0,1.4,61.0,,João Pedro,4-3-2-1,4-3-2-1,Eugenio Abbattista,Match Report,
2021-01-10,18:00,Serie A,Matchweek 17,Sun,Away,L,0,1,Fiorentina,1.2,1.9,48.0,,João Pedro,4-1-2-1-2◆,3-4-3,Piero Giacomelli,Match Report,
2021-01-14,21:15,Coppa Italia,Round of 16,Thu,Away,L,1,3,Atalanta,,,42.0,,,,,Federico Dionisi,Match Report,
2021-01-18,20:45,Serie A,Matchweek 18,Mon,Home,L,0,2,Milan,1.3,1.7,45.0,,João Pedro,4-3-2-1,4-2-3-1,Rosario Abisso,Match Report,
2021-01-24,15:00,Serie A,Matchweek 19,Sun,Away,L,0,1,Genoa,1.0,1.7,59.0,,João Pedro,4-3-2-1,3-5-2,Marco Di Bello,Match Report,
2021-01-31,15:00,Serie A,Matchweek 20,Sun,Home,D,1,1,Sassuolo,0.8,1.9,30.0,,João Pedro,4-3-2-1,4-2-3-1,Maurizio Mariani,Match Report,
2021-02-07,20:45,Serie A,Matchweek 21,Sun,Away,L,0,1,Lazio,0.8,1.2,37.0,,João Pedro,3-4-3,3-5-2,Massimiliano Irrati,Match Report,
2021-02-14,15:00,Serie A,Matchweek 22,Sun,Home,L,0,1,Atalanta,0.2,0.6,36.0,,João Pedro,3-4-1-2,3-4-3,Marco Piccinini,Match Report,
2021-02-19,20:45,Serie A,Matchweek 23,Fri,Home,L,0,1,Torino,1.0,1.1,47.0,,João Pedro,3-4-1-2,3-1-4-2,Daniele Orsato,Match Report,
2021-02-28,15:00,Serie A,Matchweek 24,Sun,Away,W,2,0,Crotone,1.5,1.0,45.0,,João Pedro,3-4-1-2,3-4-3,Michael Fabbri,Match Report,
2021-03-03,20:45,Serie A,Matchweek 25,Wed,Home,W,1,0,Bologna,1.2,0.6,37.0,,João Pedro,3-4-1-2,4-2-3-1,Marco Di Bello,Match Report,
2021-03-07,18:00,Serie A,Matchweek 26,Sun,Away,D,2,2,Sampdoria,0.6,0.6,49.0,,João Pedro,3-5-2,4-4-2,Piero Giacomelli,Match Report,
2021-03-14,18:00,Serie A,Matchweek 27,Sun,Home,L,1,3,Juventus,0.9,2.0,51.0,,João Pedro,3-5-2,4-4-2,Giampaolo Calvarese,Match Report,
2021-03-20,18:00,Serie A,Matchweek 28,Sat,Away,L,1,2,Spezia,2.7,0.9,46.0,,João Pedro,3-5-2,4-3-3,Maurizio Mariani,Match Report,
