Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2021-08-15,17:45,Coppa Italia,First round,Sun,Home,W,4,2,Vicenza Virtus,,,50,,Simone Romagnoli,4-3-1-2,4-3-1-2,Juan Sacchi,Match Report,
2021-08-21,20:45,Serie A,Matchweek 1,Sat,Home,L,1,3,Lazio,1.2,1.5,46,3655.0,Simone Romagnoli,4-1-2-1-2◆,4-3-3,Simone Sozza,Match Report,
2021-08-28,20:45,Serie A,Matchweek 2,Sat,Away,W,1,0,Juventus,0.7,1.2,46,17584.0,Leonardo Mancuso,4-3-1-2,4-3-1-2,Davide Ghersini,Match Report,
2021-09-11,15:00,Serie A,Matchweek 3,Sat,Home,L,1,2,Venezia,1.9,1.7,68,2511.0,Leonardo Mancuso,4-1-3-2,4-3-3,Antonio Rapuano,Match Report,
2021-09-19,12:30,Serie A,Matchweek 4,Sun,Home,L,0,3,Sampdoria,1.4,1.0,54,3064.0,Leonardo Mancuso,4-3-1-2,4-4-2,Maurizio Mariani,Match Report,
2021-09-22,20:45,Serie A,Matchweek 5,Wed,Away,W,2,0,Cagliari,0.9,1.0,50,7226.0,Simone Romagnoli,4-3-1-2,3-5-2,Marco Di Bello,Match Report,
2021-09-26,15:00,Serie A,Matchweek 6,Sun,Home,W,4,2,Bologna,1.7,2.9,37,5022.0,Simone Romagnoli,4-3-1-2,4-2-3-1,Piero Giacomelli,Match Report,
2021-10-03,18:00,Serie A,Matchweek 7,Sun,Away,L,0,2,Roma,0.7,1.3,37,31946.0,Simone Romagnoli,4-3-1-2,4-2-3-1,Giovanni Ayroldi,Match Report,
2021-10-17,15:00,Serie A,Matchweek 8,Sun,Home,L,1,4,Atalanta,0.6,3.9,48,6214.0,Simone Romagnoli,4-3-3,3-4-1-2,Marco Serra,Match Report,
2021-10-23,15:00,Serie A,Matchweek 9,Sat,Away,W,4,2,Salernitana,2.4,1.2,40,11142.0,Filippo Bandinelli,4-3-1-2,3-4-1-2,Daniele Doveri,Match Report,
2021-10-27,20:45,Serie A,Matchweek 10,Wed,Home,L,0,2,Inter,0.5,2.1,31,9335.0,Filippo Bandinelli,4-3-1-2,3-5-2,Daniele Chiffi,Match Report,
2021-10-31,15:00,Serie A,Matchweek 11,Sun,Away,W,2,1,Sassuolo,1.6,1.2,43,3539.0,Filippo Bandinelli,4-3-1-2,4-3-3,Luca Massimi,Match Report,
2021-11-05,20:45,Serie A,Matchweek 12,Fri,Home,D,2,2,Genoa,0.7,1.6,53,5631.0,Filippo Bandinelli,4-3-1-2,3-4-1-2,Luca Pairetto,Match Report,
2021-11-22,18:30,Serie A,Matchweek 13,Mon,Away,L,1,2,Hellas Verona,1.7,1.3,43,13797.0,Simone Romagnoli,4-3-1-2,3-4-3,Matteo Gariglio,Match Report,
