Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2020-09-19,20:45,Serie A,Matchweek 1,Sat,Home,W,3,0,Roma,,,40.0,,Miguel Veloso,3-4-3,3-4-3,Daniele Chiffi,Match Report,Match awarded to Hellas Verona
2020-09-27,15:00,Serie A,Matchweek 2,Sun,Home,W,1,0,Udinese,0.9,2.2,47.0,1000.0,Miguel Veloso,3-4-3,3-5-2,Manuel Volpi,Match Report,
2020-10-04,15:00,Serie A,Matchweek 3,Sun,Away,L,0,1,Parma,0.6,1.1,60.0,1000.0,Davide Faraoni,3-4-3,4-3-1-2,Antonio Giua,Match Report,
2020-10-19,20:45,Serie A,Matchweek 4,Mon,Home,D,0,0,Genoa,1.1,0.4,58.0,10002.0,Davide Faraoni,3-4-3,3-5-2,Antonio Rapuano,Match Report,
2020-10-25,20:45,Serie A,Matchweek 5,Sun,Away,D,1,1,Juventus,0.7,1.5,38.0,1000.0,Davide Faraoni,3-4-3,3-5-2,Fabrizio Pasqua,Match Report,
2020-10-28,17:00,Coppa Italia,Third round,Wed,Home,D,3 (3),3 (1),Venezia,,,,,,,,Giacomo Camplone,Match Report,Hellas Verona won on penalty kicks following extra time
2020-11-02,20:45,Serie A,Matchweek 6,Mon,Home,W,3,1,Benevento,2.1,1.5,44.0,,Darko Lazović,3-4-3,4-3-2-1,Juan Sacchi,Match Report,
2020-11-08,20:45,Serie A,Matchweek 7,Sun,Away,D,2,2,Milan,1.6,3.5,34.0,,Darko Lazović,3-4-3,4-2-3-1,Marco Guida,Match Report,
2020-11-22,15:00,Serie A,Matchweek 8,Sun,Home,L,0,2,Sassuolo,1.5,0.4,52.0,,Mattia Zaccagni,4-4-2,4-2-3-1,Daniele Chiffi,Match Report,
2020-11-25,17:30,Coppa Italia,Fourth round,Wed,Away,L,1,2,Cagliari,,,33.0,,,,,Alessandro Prontera,Match Report,
2020-11-28,20:45,Serie A,Matchweek 9,Sat,Away,W,2,0,Atalanta,1.9,1.4,42.0,,Davide Faraoni,3-4-3,3-4-3,Davide Massa,Match Report,
2020-12-06,12:30,Serie A,Matchweek 10,Sun,Home,D,1,1,Cagliari,2.7,1.5,52.0,,Miguel Veloso,3-4-3,4-2-3-1,Gianluca Manganiello,Match Report,
2020-12-12,20:45,Serie A,Matchweek 11,Sat,Away,W,2,1,Lazio,0.9,0.7,41.0,,Miguel Veloso,4-2-3-1,3-5-2,Rosario Abisso,Match Report,
2020-12-16,20:45,Serie A,Matchweek 12,Wed,Home,L,1,2,Sampdoria,1.8,1.0,55.0,,Miguel Veloso,3-4-3,4-4-1-1,Riccardo Ros,Match Report,
2020-12-19,15:00,Serie A,Matchweek 13,Sat,Away,D,1,1,Fiorentina,1.5,1.6,41.0,,Miguel Veloso,3-4-3,3-5-1-1,Francesco Fourneau,Match Report,
2020-12-23,18:30,Serie A,Matchweek 14,Wed,Home,L,1,2,Inter,1.5,1.8,41.0,,Miguel Veloso,3-4-3,3-4-3,Piero Giacomelli,Match Report,
2021-01-03,15:00,Serie A,Matchweek 15,Sun,Away,W,1,0,Spezia,1.3,0.9,47.0,,Miguel Veloso,3-4-3,4-3-3,Luca Pairetto,Match Report,
2021-01-06,15:00,Serie A,Matchweek 16,Wed,Away,D,1,1,Torino,0.4,1.4,54.0,,Miguel Veloso,3-4-3,3-5-2,Marco Di Bello,Match Report,
2021-01-10,15:00,Serie A,Matchweek 17,Sun,Home,W,2,1,Crotone,1.4,0.9,44.0,,Davide Faraoni,3-4-3,3-5-2,Luca Massimi,Match Report,
2021-01-16,15:00,Serie A,Matchweek 18,Sat,Away,L,0,1,Bologna,0.8,2.0,52.0,,Davide Faraoni,3-4-3,4-2-3-1,Maurizio Mariani,Match Report,
