Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Atalanta,2,38,38,3420,38.0,90,2.37,228,137,63.2,6,9,23,5,13.2,7,6,1,0,14.3
vs Benevento,2,38,38,3420,38.0,40,1.05,134,93,73.9,19,12,7,11,28.9,7,5,1,1,16.7
vs Bologna,3,38,38,3420,38.0,51,1.34,179,129,73.2,17,11,10,11,28.9,4,3,1,0,25.0
vs Cagliari,2,38,38,3420,38.0,43,1.13,127,83,69.3,19,10,9,14,36.8,5,4,1,0,20.0
vs Crotone,3,38,38,3420,38.0,45,1.18,120,76,70.0,27,5,6,14,36.8,9,9,0,0,0.0
vs Fiorentina,2,38,38,3420,38.0,47,1.24,121,77,66.1,16,13,9,12,31.6,6,6,0,0,0.0
vs Genoa,3,38,38,3420,38.0,47,1.24,124,78,65.3,16,12,10,9,23.7,4,4,0,0,0.0
vs Hellas Verona,3,38,38,3420,38.0,46,1.21,121,83,64.5,15,12,11,9,23.7,3,3,0,0,0.0
vs Inter,3,38,38,3420,38.0,89,2.34,203,118,60.1,3,7,28,1,2.6,9,8,1,0,11.1
vs Juventus,3,38,38,3420,38.0,77,2.03,216,138,68.1,6,9,23,6,15.8,10,8,2,0,20.0
vs Lazio,2,38,38,3420,38.0,61,1.61,184,122,70.1,12,5,21,6,15.8,10,6,3,1,33.3
vs Milan,2,38,38,3420,38.0,74,1.95,203,127,70.9,7,7,24,6,15.8,20,15,4,1,21.1
vs Napoli,2,38,38,3420,38.0,86,2.26,225,141,64.9,9,5,24,3,7.9,8,7,1,0,12.5
vs Parma,2,38,38,3420,38.0,39,1.03,128,89,73.4,24,11,3,15,39.5,5,5,0,0,0.0
vs Roma,3,38,38,3420,38.0,68,1.79,199,131,69.3,12,8,18,9,23.7,8,7,1,0,12.5
vs Sampdoria,2,38,38,3420,38.0,52,1.37,140,87,66.4,16,7,15,8,21.1,6,5,1,0,16.7
vs Sassuolo,2,38,38,3417,38.0,64,1.69,178,116,71.3,10,11,17,4,10.5,14,13,1,0,7.1
vs Spezia,3,38,38,3420,38.0,52,1.37,135,82,64.4,17,12,9,8,21.1,5,4,1,0,20.0
vs Torino,3,38,38,3420,38.0,50,1.32,150,100,70.0,15,16,7,9,23.7,6,5,1,0,16.7
vs Udinese,4,38,38,3419,38.0,42,1.11,129,89,70.5,18,10,10,12,31.6,4,4,0,0,0.0
