Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Atalanta,30,27.0,38,3420,90,100,38.0,418,80,251,165,24,276,0.71,47,90,-43,-1.13,41.0,74.7,-33.7,-0.89
vs Benevento,29,27.2,38,3420,90,100,38.0,418,80,244,170,20,267,1.82,75,40,35,0.92,64.3,40.6,23.6,0.62
vs Bologna,37,27.3,38,3420,90,100,38.0,418,81,257,162,21,278,1.63,65,51,14,0.37,62.6,54.6,7.9,0.21
vs Cagliari,32,27.3,38,3420,90,100,38.0,418,84,242,175,21,254,1.76,59,43,16,0.42,61.7,47.1,14.6,0.38
vs Crotone,31,27.1,38,3420,90,100,38.0,418,83,246,168,23,264,2.26,92,45,47,1.24,70.8,40.4,30.5,0.8
vs Fiorentina,30,27.4,38,3420,90,100,38.0,418,82,258,159,21,275,1.61,59,47,12,0.32,61.5,44.9,16.6,0.44
vs Genoa,34,27.2,38,3420,90,100,38.0,418,79,248,169,21,270,1.58,58,47,11,0.29,60.4,38.8,21.6,0.57
vs Hellas Verona,32,27.0,38,3420,90,100,38.0,418,79,263,154,20,274,1.5,48,46,2,0.05,49.5,45.3,4.1,0.11
vs Inter,25,26.9,38,3420,90,100,38.0,418,83,248,169,23,273,0.42,35,89,-54,-1.42,39.8,74.2,-34.3,-0.9
vs Juventus,30,27.0,38,3420,90,100,38.0,418,83,254,164,22,266,0.71,38,77,-39,-1.03,39.4,74.4,-35.0,-0.92
vs Lazio,30,26.9,38,3420,90,100,38.0,418,80,251,166,21,273,1.08,55,61,-6,-0.16,47.3,58.2,-10.9,-0.29
vs Milan,29,27.4,38,3420,90,100,38.0,418,82,252,162,21,276,0.74,41,74,-33,-0.87,47.0,70.7,-23.7,-0.62
vs Napoli,25,27.1,38,3420,90,100,38.0,418,82,257,157,19,278,0.84,41,86,-45,-1.18,42.6,67.7,-25.2,-0.66
vs Parma,42,27.1,38,3420,90,100,38.0,418,80,254,163,21,271,2.18,83,39,44,1.16,61.0,42.5,18.5,0.49
vs Roma,31,27.3,38,3420,90,100,38.0,418,83,248,166,22,272,1.16,58,68,-10,-0.26,45.6,65.3,-19.7,-0.52
vs Sampdoria,27,27.1,38,3420,90,100,38.0,418,82,257,161,20,267,1.45,54,52,2,0.05,56.1,45.4,10.7,0.28
vs Sassuolo,28,27.2,38,3420,90,100,38.0,418,80,259,157,20,277,1.08,56,64,-8,-0.21,55.4,58.4,-3.0,-0.08
vs Spezia,35,27.3,38,3420,90,100,38.0,418,80,257,161,22,265,1.66,72,52,20,0.53,65.1,46.5,18.7,0.49
vs Torino,29,27.1,38,3420,90,100,38.0,418,83,247,169,23,267,1.61,69,50,19,0.5,62.0,50.0,11.9,0.31
vs Udinese,33,27.1,38,3420,90,100,38.0,418,83,249,166,22,268,1.68,58,42,16,0.42,52.6,45.7,6.9,0.18
