Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Atalanta,27,38.0,781,20.55,586,61,44,39,40,11,79,2.08,59,4,7,5,3,1
vs Bologna,27,38.0,824,21.68,569,82,55,64,41,13,74,1.95,49,5,5,7,7,1
vs Cremonese,33,38.0,1027,27.03,721,109,59,73,47,18,122,3.21,83,7,8,13,9,2
vs Empoli,32,38.0,1086,28.58,797,110,38,72,50,19,84,2.21,58,11,2,10,3,0
vs Fiorentina,30,38.0,596,15.68,419,56,45,36,28,12,71,1.87,52,3,5,5,5,1
vs Hellas Verona,36,38.0,935,24.61,675,89,53,60,46,12,97,2.55,76,5,10,3,3,0
vs Inter,25,38.0,759,19.97,579,64,27,38,39,12,70,1.84,54,7,0,4,5,0
vs Juventus,29,38.0,795,20.92,614,66,35,39,28,13,53,1.39,35,3,4,8,2,1
vs Lazio,24,38.0,812,21.37,583,76,55,54,31,13,53,1.39,38,3,2,5,3,2
vs Lecce,29,38.0,781,20.55,561,78,40,42,52,8,73,1.92,53,3,6,4,7,0
vs Milan,30,38.0,709,18.66,513,70,32,37,44,13,74,1.95,46,7,6,5,8,2
vs Monza,31,38.0,869,22.87,635,84,43,54,39,14,85,2.24,62,5,4,11,2,1
vs Napoli,27,38.0,644,16.95,459,61,39,38,24,23,48,1.26,32,2,5,7,0,2
vs Roma,30,38.0,703,18.5,512,62,36,39,46,8,60,1.58,41,3,1,11,4,0
vs Salernitana,30,38.0,1030,27.11,754,80,65,73,46,12,106,2.79,73,4,6,13,9,1
vs Sampdoria,40,38.0,1044,27.47,741,101,57,80,54,11,119,3.13,89,8,7,8,6,1
vs Sassuolo,31,38.0,845,22.24,622,86,40,45,29,23,97,2.55,74,4,8,7,2,2
vs Spezia,34,38.0,1044,27.47,731,107,63,85,45,13,104,2.74,74,7,9,9,5,0
vs Torino,28,38.0,755,19.87,561,71,26,49,37,11,70,1.84,47,8,2,8,5,0
vs Udinese,30,38.0,806,21.21,555,80,45,57,53,16,86,2.26,64,2,6,6,7,1
