Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Atalanta,27,38.0,15427,19505,79.1,273586,101214,6905,7793,88.6,6372,7476,85.2,1676,3037,55.2,35,30.5,25.9,4.5,330,1087,255,70,1264
vs Bologna,27,38.0,13164,16931,77.8,234130,89159,5899,6781,87.0,5442,6412,84.9,1412,2682,52.6,29,31.6,29.2,-2.6,353,1034,283,86,1294
vs Cremonese,33,38.0,16894,21008,80.4,305504,110776,7478,8539,87.6,7053,8191,86.1,1949,3246,60.0,46,49.1,40.9,-3.1,443,1215,351,92,1615
vs Empoli,32,38.0,15100,18872,80.0,278255,98045,6646,7495,88.7,6067,7180,84.5,1969,3152,62.5,32,40.7,38.9,-8.7,456,1222,390,130,1684
vs Fiorentina,30,38.0,11306,15020,75.3,210397,83839,4808,5582,86.1,4825,5776,83.5,1372,2746,50.0,28,30.7,24.7,-2.7,264,736,216,62,922
vs Hellas Verona,36,38.0,15647,19989,78.3,278418,106781,7008,8032,87.3,6619,7759,85.3,1616,3152,51.3,48,39.2,32.5,8.8,406,1263,337,80,1494
vs Inter,25,38.0,13657,17072,80.0,245378,87243,6054,6798,89.1,5662,6544,86.5,1563,2764,56.5,34,29.0,25.0,5.0,336,972,273,87,1227
vs Juventus,29,38.0,15647,19135,81.8,274800,93218,7322,8116,90.2,6348,7337,86.5,1614,2728,59.2,25,31.4,27.8,-6.4,347,1270,268,89,1357
vs Lazio,24,38.0,16443,19956,82.4,304989,97577,6647,7401,89.8,7571,8410,90.0,1844,3111,59.3,21,31.5,27.5,-10.5,352,1088,276,86,1302
vs Lecce,29,38.0,16184,20584,78.6,286658,104995,7209,8304,86.8,6925,8101,85.5,1605,2979,53.9,30,31.8,32.7,-1.8,332,1133,276,80,1408
vs Milan,30,38.0,12205,15832,77.1,212581,85792,5812,6649,87.4,4641,5621,82.6,1349,2581,52.3,32,31.0,25.9,1.0,326,906,246,64,1168
vs Monza,31,38.0,13250,16713,79.3,238725,90981,5915,6743,87.7,5352,6296,85.0,1602,2737,58.5,32,38.0,34.0,-6.0,380,1085,326,89,1449
vs Napoli,27,38.0,11634,15077,77.2,205352,78029,5405,6156,87.8,4729,5618,84.2,1189,2442,48.7,18,24.6,23.0,-6.6,280,769,235,66,1013
vs Roma,30,38.0,15388,19029,80.9,273127,94749,6807,7696,88.4,6604,7609,86.8,1582,2803,56.4,26,21.9,19.4,4.1,296,1133,201,60,1362
vs Salernitana,30,38.0,16535,20352,81.2,291866,99799,7385,8294,89.0,7107,8175,86.9,1654,2900,57.0,40,44.7,37.3,-4.7,445,1291,371,85,1624
vs Sampdoria,40,38.0,15794,19629,80.5,277239,99370,7152,8055,88.8,6539,7575,86.3,1632,2881,56.6,53,47.6,39.8,5.4,449,1206,376,98,1603
vs Sassuolo,31,38.0,15353,18941,81.1,277380,98492,6716,7463,90.0,6573,7529,87.3,1663,2915,57.0,44,38.7,30.4,5.3,369,1068,315,100,1349
vs Spezia,34,38.0,14451,18557,77.9,262276,95389,6199,7221,85.8,6169,7259,85.0,1659,2991,55.5,41,43.2,38.9,-2.2,448,1031,325,88,1440
vs Torino,28,38.0,12945,17004,76.1,234230,92299,5705,6603,86.4,5320,6442,82.6,1530,3025,50.6,28,28.2,24.4,-0.2,324,932,241,74,1100
vs Udinese,30,38.0,14910,18518,80.5,265354,93482,6731,7585,88.7,6024,6967,86.5,1712,2866,59.7,32,36.5,33.1,-4.5,331,1105,284,82,1462
