Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Atalanta,32,38.0,51,2,1,416,416,50,458,330,399,1,7,2,1618,490,585,45.6
vs Bologna,30,38.0,95,3,1,643,502,51,421,305,375,1,7,1,1343,616,579,51.5
vs Cagliari,28,38.0,61,5,1,423,469,72,692,268,338,3,3,2,1578,600,606,49.8
vs Como,38,38.0,95,5,4,547,475,74,571,325,385,5,2,5,1502,487,472,50.8
vs Empoli,34,38.0,58,3,3,487,541,39,714,255,373,3,3,2,1532,710,577,55.2
vs Fiorentina,34,38.0,92,7,3,588,426,43,639,237,316,3,8,2,1359,487,508,48.9
vs Genoa,37,38.0,75,2,0,478,467,59,682,284,326,3,2,2,1521,696,666,51.1
vs Hellas Verona,32,38.0,53,2,0,374,534,48,687,221,263,2,2,3,1387,699,671,51.0
vs Inter,26,38.0,52,4,1,435,393,38,581,259,265,1,9,3,1284,419,604,41.0
vs Juventus,29,38.0,73,2,1,392,449,39,679,298,359,4,6,2,1312,461,458,50.2
vs Lazio,27,38.0,116,14,9,509,400,34,655,272,332,2,7,1,1390,491,473,50.9
vs Lecce,31,38.0,81,5,1,453,435,81,775,292,327,7,4,0,1600,651,676,49.1
vs Milan,35,38.0,75,3,1,447,395,95,590,291,339,2,8,2,1348,391,434,47.4
vs Monza,36,38.0,63,2,1,564,481,41,680,225,336,4,3,1,1505,605,567,51.6
vs Napoli,27,38.0,72,1,1,470,392,39,577,330,366,3,5,3,1445,460,530,46.5
vs Parma,32,38.0,80,3,2,483,380,119,856,279,354,4,7,1,1558,502,499,50.1
vs Roma,28,38.0,87,6,1,507,391,47,617,261,328,3,8,1,1436,476,441,51.9
vs Torino,31,38.0,63,1,0,413,451,50,767,289,293,6,4,3,1407,564,538,51.2
vs Udinese,31,38.0,61,5,4,405,505,84,677,270,350,5,4,0,1411,493,550,47.3
vs Venezia,36,38.0,70,2,1,496,473,63,765,304,420,8,5,1,1589,626,490,56.1
