Date,Comp,venue,opponent,goals_for,goals_against,result
2020-09-26,Serie A,Away,Sampdoria,3,2,W
2020-09-30,Serie A,Home,Inter,2,5,L
2020-10-04,Serie A,Home,Bologna,1,0,W
2020-10-18,Serie A,Away,Roma,2,5,L
2020-10-25,Serie A,Home,Napoli,1,2,L
2020-11-02,Serie A,Away,Hellas Verona,1,3,L
2020-11-07,Serie A,Home,Spezia,0,3,L
2020-11-22,Serie A,Away,Fiorentina,1,0,W
2020-11-28,Serie A,Home,Juventus,1,1,D
2020-12-06,Serie A,Away,Parma,0,0,D
2020-12-11,Serie A,Away,Sassuolo,0,1,L
2020-12-15,Serie A,Home,Lazio,1,1,D
2020-12-20,Serie A,Home,Genoa,2,0,W
2020-12-23,Serie A,Away,Udinese,2,0,W
2021-01-03,Serie A,Home,Milan,0,2,L
2021-01-06,Serie A,Away,Cagliari,2,1,W
2021-01-09,Serie A,Home,Atalanta,1,4,L
2021-01-17,Serie A,Away,Crotone,1,4,L
2021-01-22,Serie A,Home,Torino,2,2,D
2021-01-30,Serie A,Away,Inter,0,4,L
2021-02-07,Serie A,Home,Sampdoria,1,1,D
2021-02-12,Serie A,Away,Bologna,1,1,D
2021-02-21,Serie A,Home,Roma,0,0,D
2021-02-28,Serie A,Away,Napoli,0,2,L
2021-03-03,Serie A,Home,Hellas Verona,0,3,L
2021-03-06,Serie A,Away,Spezia,1,1,D
2021-03-13,Serie A,Home,Fiorentina,1,4,L
2021-03-21,Serie A,Away,Juventus,1,0,W
2021-04-03,Serie A,Home,Parma,2,2,D
2021-04-12,Serie A,Home,Sassuolo,0,1,L
2021-04-18,Serie A,Away,Lazio,3,5,L
2021-04-21,Serie A,Away,Genoa,2,2,D
2021-04-25,Serie A,Home,Udinese,2,4,L
2021-05-01,Serie A,Away,Milan,0,2,L
2021-05-09,Serie A,Home,Cagliari,1,3,L
2021-05-12,Serie A,Away,Atalanta,0,2,L
2021-05-16,Serie A,Home,Crotone,1,1,D
2021-05-23,Serie A,Away,Torino,1,1,D
