Date,Comp,venue,opponent,goals_for,goals_against,result
2020-09-20,Serie A,Away,Sassuolo,1,1,D
2020-09-26,Serie A,Home,Lazio,0,2,L
2020-10-04,Serie A,Away,Atalanta,2,5,L
2020-10-18,Serie A,Away,Torino,3,2,W
2020-10-25,Serie A,Home,Crotone,4,2,W
2020-10-31,Serie A,Away,Bologna,2,3,L
2020-11-07,Serie A,Home,Sampdoria,2,0,W
2020-11-21,Serie A,Away,Juventus,0,2,L
2020-11-29,Serie A,Home,Spezia,2,2,D
2020-12-06,Serie A,Away,Hellas Verona,1,1,D
2020-12-13,Serie A,Home,Inter,1,3,L
2020-12-16,Serie A,Away,Parma,0,0,D
2020-12-20,Serie A,Home,Udinese,1,1,D
2020-12-23,Serie A,Away,Roma,2,3,L
2021-01-03,Serie A,Home,Napoli,1,4,L
2021-01-06,Serie A,Home,Benevento,1,2,L
2021-01-10,Serie A,Away,Fiorentina,0,1,L
2021-01-18,Serie A,Home,Milan,0,2,L
2021-01-24,Serie A,Away,Genoa,0,1,L
2021-01-31,Serie A,Home,Sassuolo,1,1,D
2021-02-07,Serie A,Away,Lazio,0,1,L
2021-02-14,Serie A,Home,Atalanta,0,1,L
2021-02-19,Serie A,Home,Torino,0,1,L
2021-02-28,Serie A,Away,Crotone,2,0,W
2021-03-03,Serie A,Home,Bologna,1,0,W
2021-03-07,Serie A,Away,Sampdoria,2,2,D
2021-03-14,Serie A,Home,Juventus,1,3,L
2021-03-20,Serie A,Away,Spezia,1,2,L
2021-04-03,Serie A,Home,Hellas Verona,0,2,L
2021-04-11,Serie A,Away,Inter,0,1,L
2021-04-17,Serie A,Home,Parma,4,3,W
2021-04-21,Serie A,Away,Udinese,1,0,W
2021-04-25,Serie A,Home,Roma,3,2,W
2021-05-02,Serie A,Away,Napoli,1,1,D
2021-05-09,Serie A,Away,Benevento,3,1,W
2021-05-12,Serie A,Home,Fiorentina,0,0,D
2021-05-16,Serie A,Away,Milan,0,0,D
2021-05-22,Serie A,Home,Genoa,0,1,L
