Date,Comp,venue,opponent,goals_for,goals_against,result
2020-09-20,Serie A,Away,Genoa,1,4,L
2020-09-27,Serie A,Home,Milan,0,2,L
2020-10-03,Serie A,Away,Sassuolo,1,4,L
2020-10-17,Serie A,Home,Juventus,1,1,D
2020-10-25,Serie A,Away,Cagliari,2,4,L
2020-10-31,Serie A,Home,Atalanta,1,2,L
2020-11-08,Serie A,Away,Torino,0,0,D
2020-11-21,Serie A,Home,Lazio,0,2,L
2020-11-29,Serie A,Away,Bologna,0,1,L
2020-12-06,Serie A,Home,Napoli,0,4,L
2020-12-12,Serie A,Home,Spezia,4,1,W
2020-12-15,Serie A,Away,Udinese,0,0,D
2020-12-19,Serie A,Away,Sampdoria,1,3,L
2020-12-22,Serie A,Home,Parma,2,1,W
2021-01-03,Serie A,Away,Inter,2,6,L
2021-01-06,Serie A,Home,Roma,1,3,L
2021-01-10,Serie A,Away,Hellas Verona,1,2,L
2021-01-17,Serie A,Home,Benevento,4,1,W
2021-01-23,Serie A,Away,Fiorentina,1,2,L
2021-01-31,Serie A,Home,Genoa,0,3,L
2021-02-07,Serie A,Away,Milan,0,4,L
2021-02-14,Serie A,Home,Sassuolo,1,2,L
2021-02-22,Serie A,Away,Juventus,0,3,L
2021-02-28,Serie A,Home,Cagliari,0,2,L
2021-03-03,Serie A,Away,Atalanta,1,5,L
2021-03-07,Serie A,Home,Torino,4,2,W
2021-03-12,Serie A,Away,Lazio,2,3,L
2021-03-20,Serie A,Home,Bologna,2,3,L
2021-04-03,Serie A,Away,Napoli,3,4,L
2021-04-10,Serie A,Away,Spezia,2,3,L
2021-04-17,Serie A,Home,Udinese,1,2,L
2021-04-21,Serie A,Home,Sampdoria,0,1,L
2021-04-24,Serie A,Away,Parma,4,3,W
2021-05-01,Serie A,Home,Inter,0,2,L
2021-05-09,Serie A,Away,Roma,0,5,L
2021-05-13,Serie A,Home,Hellas Verona,2,1,W
2021-05-16,Serie A,Away,Benevento,1,1,D
2021-05-22,Serie A,Home,Fiorentina,0,0,D
