Date,Comp,venue,opponent,goals_for,goals_against,result
2020-09-20,Serie A,Home,Napoli,0,2,L
2020-09-28,Serie A,Away,Bologna,1,4,L
2020-10-04,Serie A,Home,Hellas Verona,1,0,W
2020-10-18,Serie A,Away,Udinese,2,3,L
2020-10-25,Serie A,Home,Spezia,2,2,D
2020-10-31,Serie A,Away,Inter,2,2,D
2020-11-07,Serie A,Home,Fiorentina,0,0,D
2020-11-22,Serie A,Away,Roma,0,3,L
2020-11-30,Serie A,Away,Genoa,2,1,W
2020-12-06,Serie A,Home,Benevento,0,0,D
2020-12-13,Serie A,Away,Milan,2,2,D
2020-12-16,Serie A,Home,Cagliari,0,0,D
2020-12-19,Serie A,Home,Juventus,0,4,L
2020-12-22,Serie A,Away,Crotone,1,2,L
2021-01-03,Serie A,Home,Torino,0,3,L
2021-01-06,Serie A,Away,Atalanta,0,3,L
2021-01-10,Serie A,Home,Lazio,0,2,L
2021-01-17,Serie A,Away,Sassuolo,1,1,D
2021-01-24,Serie A,Home,Sampdoria,0,2,L
2021-01-31,Serie A,Away,Napoli,0,2,L
2021-02-07,Serie A,Home,Bologna,0,3,L
2021-02-15,Serie A,Away,Hellas Verona,1,2,L
2021-02-21,Serie A,Home,Udinese,2,2,D
2021-02-27,Serie A,Away,Spezia,2,2,D
2021-03-04,Serie A,Home,Inter,1,2,L
2021-03-07,Serie A,Away,Fiorentina,3,3,D
2021-03-14,Serie A,Home,Roma,2,0,W
2021-03-19,Serie A,Home,Genoa,1,2,L
2021-04-03,Serie A,Away,Benevento,2,2,D
2021-04-10,Serie A,Home,Milan,1,3,L
2021-04-17,Serie A,Away,Cagliari,3,4,L
2021-04-21,Serie A,Away,Juventus,1,3,L
2021-04-24,Serie A,Home,Crotone,3,4,L
2021-05-03,Serie A,Away,Torino,0,1,L
2021-05-09,Serie A,Home,Atalanta,2,5,L
2021-05-12,Serie A,Away,Lazio,0,1,L
2021-05-16,Serie A,Home,Sassuolo,1,3,L
2021-05-22,Serie A,Away,Sampdoria,0,3,L
