Date,Comp,venue,opponent,goals_for,goals_against,result
2022-08-13,Serie A,Away,Sampdoria,2,0,W
2022-08-21,Serie A,Home,Milan,1,1,D
2022-08-28,Serie A,Away,Hellas Verona,1,0,W
2022-09-01,Serie A,Home,Torino,3,1,W
2022-09-05,Serie A,Away,Monza,2,0,W
2022-09-11,Serie A,Home,Cremonese,1,1,D
2022-09-18,Serie A,Away,Roma,1,0,W
2022-10-02,Serie A,Home,Fiorentina,1,0,W
2022-10-09,Serie A,Away,Udinese,2,2,D
2022-10-15,Serie A,Home,Sassuolo,2,1,W
2022-10-23,Serie A,Home,Lazio,0,2,L
2022-10-30,Serie A,Away,Empoli,2,0,W
2022-11-05,Serie A,Home,Napoli,1,2,L
2022-11-09,Serie A,Away,Lecce,1,2,L
2022-11-13,Serie A,Home,Inter,2,3,L
2023-01-04,Serie A,Away,Spezia,2,2,D
2023-01-09,Serie A,Away,Bologna,2,1,W
2023-01-15,Serie A,Home,Salernitana,8,2,W
2023-01-22,Serie A,Away,Juventus,3,3,D
2023-01-28,Serie A,Home,Sampdoria,2,0,W
2023-02-04,Serie A,Away,Sassuolo,0,1,L
2023-02-11,Serie A,Away,Lazio,2,0,W
2023-02-19,Serie A,Home,Lecce,1,2,L
2023-02-26,Serie A,Away,Milan,0,2,L
2023-03-04,Serie A,Home,Udinese,0,0,D
2023-03-11,Serie A,Away,Napoli,0,2,L
2023-03-17,Serie A,Home,Empoli,2,1,W
2023-04-01,Serie A,Away,Cremonese,3,1,W
2023-04-08,Serie A,Home,Bologna,0,2,L
2023-04-17,Serie A,Away,Fiorentina,1,1,D
2023-04-24,Serie A,Home,Roma,3,1,W
2023-04-29,Serie A,Away,Torino,2,1,W
2023-05-03,Serie A,Home,Spezia,3,2,W
2023-05-07,Serie A,Home,Juventus,0,2,L
2023-05-13,Serie A,Away,Salernitana,0,1,L
2023-05-20,Serie A,Home,Hellas Verona,3,1,W
2023-05-27,Serie A,Away,Inter,2,3,L
2023-06-04,Serie A,Home,Monza,5,2,W
