Date,Comp,venue,opponent,goals_for,goals_against,result
2022-08-14,Serie A,Home,Cremonese,3,2,W
2022-08-21,Serie A,Away,Empoli,0,0,D
2022-08-28,Serie A,Home,Napoli,0,0,D
2022-08-31,Serie A,Away,Udinese,0,1,L
2022-09-03,Serie A,Home,Juventus,1,1,D
2022-09-11,Serie A,Away,Bologna,1,2,L
2022-09-18,Serie A,Home,Hellas Verona,2,0,W
2022-10-02,Serie A,Away,Atalanta,0,1,L
2022-10-10,Serie A,Home,Lazio,0,4,L
2022-10-17,Serie A,Away,Lecce,1,1,D
2022-10-22,Serie A,Home,Inter,3,4,L
2022-10-30,Serie A,Away,Spezia,2,1,W
2022-11-06,Serie A,Away,Sampdoria,2,0,W
2022-11-09,Serie A,Home,Salernitana,2,1,W
2022-11-13,Serie A,Away,Milan,1,2,L
2023-01-04,Serie A,Home,Monza,1,1,D
2023-01-07,Serie A,Home,Sassuolo,2,1,W
2023-01-15,Serie A,Away,Roma,0,2,L
2023-01-21,Serie A,Home,Torino,0,1,L
2023-01-29,Serie A,Away,Lazio,1,1,D
2023-02-05,Serie A,Home,Bologna,1,2,L
2023-02-12,Serie A,Away,Juventus,0,1,L
2023-02-19,Serie A,Home,Empoli,1,1,D
2023-02-27,Serie A,Away,Hellas Verona,3,0,W
2023-03-04,Serie A,Home,Milan,2,1,W
2023-03-12,Serie A,Away,Cremonese,2,0,W
2023-03-19,Serie A,Home,Lecce,1,0,W
2023-04-01,Serie A,Away,Inter,1,0,W
2023-04-08,Serie A,Home,Spezia,1,1,D
2023-04-17,Serie A,Home,Atalanta,1,1,D
2023-04-23,Serie A,Away,Monza,2,3,L
2023-04-30,Serie A,Home,Sampdoria,5,0,W
2023-05-03,Serie A,Away,Salernitana,3,3,D
2023-05-07,Serie A,Away,Napoli,0,1,L
2023-05-14,Serie A,Home,Udinese,2,0,W
2023-05-21,Serie A,Away,Torino,1,1,D
2023-05-27,Serie A,Home,Roma,2,1,W
2023-06-02,Serie A,Away,Sassuolo,3,1,W
