Date,Comp,venue,opponent,goals_for,goals_against,result
2022-08-13,Serie A,Home,Torino,1,2,L
2022-08-21,Serie A,Away,Napoli,0,4,L
2022-08-26,Serie A,Home,Udinese,1,2,L
2022-08-30,Serie A,Away,Roma,0,3,L
2022-09-05,Serie A,Home,Atalanta,0,2,L
2022-09-11,Serie A,Away,Lecce,1,1,D
2022-09-18,Serie A,Home,Juventus,1,0,W
2022-10-02,Serie A,Away,Sampdoria,3,0,W
2022-10-09,Serie A,Home,Spezia,2,0,W
2022-10-15,Serie A,Away,Empoli,0,1,L
2022-10-22,Serie A,Away,Milan,1,4,L
2022-10-31,Serie A,Home,Bologna,1,2,L
2022-11-06,Serie A,Home,Hellas Verona,2,0,W
2022-11-10,Serie A,Away,Lazio,0,1,L
2022-11-13,Serie A,Home,Salernitana,3,0,W
2023-01-04,Serie A,Away,Fiorentina,1,1,D
2023-01-07,Serie A,Home,Inter,2,2,D
2023-01-14,Serie A,Away,Cremonese,3,2,W
2023-01-22,Serie A,Home,Sassuolo,1,1,D
2023-01-29,Serie A,Away,Juventus,2,0,W
2023-02-06,Serie A,Home,Sampdoria,2,2,D
2023-02-12,Serie A,Away,Bologna,1,0,W
2023-02-18,Serie A,Home,Milan,0,1,L
2023-02-26,Serie A,Away,Salernitana,0,3,L
2023-03-04,Serie A,Home,Empoli,2,1,W
2023-03-12,Serie A,Away,Hellas Verona,1,1,D
2023-03-18,Serie A,Home,Cremonese,1,1,D
2023-04-02,Serie A,Home,Lazio,0,2,L
2023-04-08,Serie A,Away,Udinese,2,2,D
2023-04-15,Serie A,Away,Inter,1,0,W
2023-04-23,Serie A,Home,Fiorentina,3,2,W
2023-04-28,Serie A,Away,Spezia,2,0,W
2023-05-03,Serie A,Home,Roma,1,1,D
2023-05-07,Serie A,Away,Torino,1,1,D
2023-05-14,Serie A,Home,Napoli,2,0,W
2023-05-19,Serie A,Away,Sassuolo,2,1,W
2023-05-28,Serie A,Home,Lecce,0,1,L
2023-06-04,Serie A,Away,Atalanta,2,5,L
