Date,Comp,venue,opponent,goals_for,goals_against,result
2022-08-14,Serie A,Home,Roma,0,1,L
2022-08-20,Serie A,Away,Udinese,0,0,D
2022-08-28,Serie A,Home,Sampdoria,4,0,W
2022-09-01,Serie A,Away,Bologna,1,1,D
2022-09-05,Serie A,Home,Empoli,2,2,D
2022-09-11,Serie A,Away,Juventus,2,2,D
2022-09-16,Serie A,Home,Lecce,1,2,L
2022-10-02,Serie A,Away,Sassuolo,0,5,L
2022-10-09,Serie A,Home,Hellas Verona,2,1,W
2022-10-16,Serie A,Away,Inter,0,2,L
2022-10-22,Serie A,Home,Spezia,1,0,W
2022-10-30,Serie A,Away,Lazio,3,1,W
2022-11-05,Serie A,Home,Cremonese,2,2,D
2022-11-09,Serie A,Away,Fiorentina,1,2,L
2022-11-13,Serie A,Away,Monza,0,3,L
2023-01-04,Serie A,Home,Milan,1,2,L
2023-01-08,Serie A,Home,Torino,1,1,D
2023-01-15,Serie A,Away,Atalanta,2,8,L
2023-01-21,Serie A,Home,Napoli,0,2,L
2023-01-27,Serie A,Away,Lecce,2,1,W
2023-02-07,Serie A,Home,Juventus,0,3,L
2023-02-13,Serie A,Away,Hellas Verona,0,1,L
2023-02-19,Serie A,Home,Lazio,0,2,L
2023-02-26,Serie A,Home,Monza,3,0,W
2023-03-05,Serie A,Away,Sampdoria,0,0,D
2023-03-13,Serie A,Away,Milan,1,1,D
2023-03-18,Serie A,Home,Bologna,2,2,D
2023-04-02,Serie A,Away,Spezia,1,1,D
2023-04-07,Serie A,Home,Inter,1,1,D
2023-04-16,Serie A,Away,Torino,1,1,D
2023-04-22,Serie A,Home,Sassuolo,3,0,W
2023-04-30,Serie A,Away,Napoli,1,1,D
2023-05-03,Serie A,Home,Fiorentina,3,3,D
2023-05-08,Serie A,Away,Empoli,1,2,L
2023-05-13,Serie A,Home,Atalanta,1,0,W
2023-05-22,Serie A,Away,Roma,2,2,D
2023-05-27,Serie A,Home,Udinese,3,2,W
2023-06-03,Serie A,Away,Cremonese,0,2,L
